level,label,beta,seed,status,completed_updates,failure_reason,deterministic_return,paired_return_difference_vs_reward_only,strict_solved,near_solved,numerical_rank,full_numerical_rank,effective_rank,minimum_eigenvalue,positive_condition_number,log10_positive_condition_number,components_90
20pct,20%,3.842895034095024e-07,28,completed,400,,-110.66,5.010000000000005,False,True,42,True,1.490335579713211,1.4855132111176522e-12,24268427003689.05,13.385041627763458,1
20pct,20%,3.842895034095024e-07,29,completed,400,,-117.11,45.02999999999999,False,False,42,True,2.3065198084821614,1.1364170307173474e-08,2787586719.4004593,9.445228386790307,3
35pct,35%,6.725066309666292e-07,24,completed,400,,-118.39,-5.260000000000005,False,False,42,True,2.1106246183724844,2.260947567066281e-10,165094704264.6797,11.217733142641874,3
35pct,35%,6.725066309666292e-07,25,completed,400,,-111.05,4.829999999999998,False,True,42,True,1.8338383509148481,1.4082235881519372e-12,17290387765708.291,13.237804733159347,2
35pct,35%,6.725066309666292e-07,26,completed,400,,-113.86,-5.170000000000002,False,True,42,True,2.1864250459893744,4.858252106130117e-11,568993477387.2734,11.755107287922398,3
35pct,35%,6.725066309666292e-07,27,completed,400,,-128.04,33.74000000000001,False,False,41,False,1.6662930428910276,8.081297429603112e-14,90446854668978.98,13.956393468667834,2
35pct,35%,6.725066309666292e-07,28,completed,400,,-107.07,8.600000000000009,True,True,41,False,1.6686495178171432,5.2961445509872036e-14,16875165326053.229,13.22724803630845,2
35pct,35%,6.725066309666292e-07,29,completed,400,,-113.54,48.59999999999998,False,True,42,True,2.233863295709763,9.010168363697578e-12,2714841800615.0537,12.433744527434376,3
50pct,50%,9.60723758523756e-07,24,completed,400,,-122.41,-9.280000000000001,False,False,41,False,1.4075762287703586,1.5474804369821808e-15,4041293618220.783,12.606520405043149,1
50pct,50%,9.60723758523756e-07,25,completed,400,,-115.05,0.8299999999999983,False,False,42,True,1.8518460009431992,5.678414394409578e-11,653442511426.8544,11.81520738523205,2
50pct,50%,9.60723758523756e-07,26,completed,400,,-151.76,-43.06999999999999,False,False,42,True,2.073993896148265,6.854245879938568e-10,48040692697.32039,10.681609260855243,2
50pct,50%,9.60723758523756e-07,27,completed,400,,-112.74,49.040000000000006,False,True,38,False,2.0763863535587,4.790491951477509e-15,13702154452707.305,13.136788858642454,2
50pct,50%,9.60723758523756e-07,28,completed,400,,-116.35,-0.6799999999999926,False,False,42,True,1.5073220992305347,1.656157747942896e-11,2895024192557.652,12.461652197303659,1
50pct,50%,9.60723758523756e-07,29,completed,400,,-114.57,47.56999999999999,False,True,42,True,1.73613962449113,5.992351964463222e-11,438203013055.658,11.641675359415803,2
