method,initialization,n_trajectories,n,successes,success_rate,success_rate_wilson95_low,success_rate_wilson95_high,finite_rate,final_return_mean,final_return_median,final_return_ci95_low,final_return_ci95_high,final_q_mean,final_q_median,final_q_ci95_low,final_q_ci95_high,final_pi1_good_mean,final_pi1_good_median,final_pi1_good_ci95_low,final_pi1_good_ci95_high,zero_s1_batch_fraction_mean,zero_s1_batch_fraction_median,zero_s1_batch_fraction_ci95_low,zero_s1_batch_fraction_ci95_high,delta_safe_positive_count,delta_safe_positive_rate,first_delta_safe_positive_update_median_when_reached
sampled_pg_logbarrier_fixed,adverse,32,20,0,0.0,0.0,0.16112515805281938,1.0,0.6192044591425505,0.6187655110067076,0.6176831364508242,0.6207257818342768,0.6226123954329442,0.6218369140368247,0.61922058450858,0.6260042063573085,0.7664197530368869,0.7661861770938212,0.7657253669491728,0.767114139124601,0.008537500000000002,0.0085,0.007891856357649489,0.009183143642350514,20,1.0,1174.5
sampled_npg_logbarrier_fixed,adverse,32,20,0,0.0,0.0,0.16112515805281938,1.0,0.6361400434470814,0.6300161536381595,0.6243026337308609,0.6479774531633019,0.6495482271712427,0.6515067968831367,0.6264305878314721,0.6726658665110133,0.7788156678251189,0.7771586132665068,0.7715505416690884,0.7860807939811494,0.00037500000000000006,0.000375,0.00031497841881888576,0.00043502158118111436,20,1.0,19.5
sampled_pg_reward_only,adverse,128,20,0,0.0,0.0,0.16112515805281938,1.0,0.4951254289513514,0.4951231189589467,0.49512072474805136,0.4951301331546515,0.0010245592410565215,0.001023861987347221,0.001022127865057836,0.001026990617055207,0.0159302463234976,0.01593536632504925,0.015902069146704396,0.0159584235002908,0.697175,0.6990000000000001,0.6932201106528237,0.7011298893471762,0,0.0,
sampled_pg_logbarrier_handoff,adverse,128,20,20,1.0,0.8388748419471806,1.0,1.0,0.9794126910084969,0.979401422094732,0.9793740407376301,0.9794513412793637,0.9868660546486719,0.9868825173227105,0.9868147167745343,0.9869173925228096,0.9891690224183265,0.989172401697404,0.9891576602847905,0.9891803845518625,0.0006875000000000001,0.00075,0.0005059409176095781,0.000869059082390422,20,1.0,1161.0
sampled_npg_reward_only,adverse,128,20,0,0.0,0.0,0.16112515805281938,0.0,0.49076847008749097,0.4910057070157047,0.48997898787917454,0.4915579522958074,0.0022532833571229484,0.002251011070429602,0.0019046313680929352,0.002601935346152962,0.015663172047581716,0.014917574819629117,0.014909513037397598,0.016416831057765834,0.4978682306255835,0.4666666666666667,0.4436226729966586,0.5521137882545084,0,0.0,
sampled_npg_logbarrier_handoff,adverse,128,20,20,1.0,0.8388748419471806,1.0,0.0,0.975714013898763,0.9756987908892274,0.969311547383092,0.982116480414434,0.9668750246793236,0.9678888893888378,0.9579376138641412,0.975812435494506,0.9945003522806342,0.9941741351618651,0.9929422712634687,0.9960584332977996,7.394019459455256e-05,0.0,-1.0576373846001534e-05,0.00015845676303510666,20,1.0,22.5
sampled_pg_logbarrier_fixed,adverse,128,20,0,0.0,0.0,0.16112515805281938,1.0,0.6183008188314649,0.6185230154478006,0.6175625289741257,0.6190391086888042,0.6222512450846888,0.6226490359676573,0.62089318879866,0.6236093013707176,0.7649413774754055,0.7650324909939095,0.7643310199008859,0.765551735049925,0.0006875000000000001,0.00075,0.0005059409176095781,0.000869059082390422,20,1.0,1161.0
sampled_npg_logbarrier_fixed,adverse,128,20,0,0.0,0.0,0.16112515805281938,1.0,0.6192063952506499,0.6172287651138522,0.6125114250976302,0.6259013654036696,0.6290268371616542,0.6282497270772691,0.6174751907765753,0.6405784835467331,0.7629571756389995,0.7634493903643759,0.756427457349292,0.769486893928707,3.7500000000000003e-05,0.0,-5.363982617290231e-06,8.036398261729023e-05,20,1.0,22.5
sampled_pg_reward_only,uniform,4,20,20,1.0,0.8388748419471806,1.0,1.0,0.9885707571771756,0.9885631908137158,0.9884092841873079,0.9887322301670433,0.9929372017569664,0.9928622017372536,0.9927416034546442,0.9931328000592886,0.994055023980532,0.994058188421947,0.9939841156304237,0.9941259323306404,0.015112499999999997,0.012875000000000001,0.011531172644008629,0.018693827355991365,20,1.0,117.0
sampled_pg_logbarrier_handoff,uniform,4,20,20,1.0,0.8388748419471806,1.0,1.0,0.9798116868225589,0.9799393664753706,0.9795941862795658,0.980029187365552,0.9869968241475474,0.9871457105762207,0.9867247707289656,0.9872688775661292,0.9893866894743961,0.989400620440603,0.9893165228975317,0.9894568560512605,0.028712500000000002,0.029625,0.026648848403880765,0.03077615159611924,20,1.0,130.0
sampled_npg_reward_only,uniform,4,20,6,0.3,0.1454772448676043,0.5189728183535235,0.0,0.6707827060351381,0.5001612872361615,0.540176186336519,0.8013892257337573,0.5296577617007419,0.40810532384413223,0.3431320942293546,0.7161834291721292,0.7358480545935795,0.8999794012889286,0.5931450024662241,0.8785511067209348,0.1565654005129758,0.07125000000000001,0.06904862703106407,0.24408217399488752,16,0.8,9.0
sampled_npg_logbarrier_handoff,uniform,4,20,6,0.3,0.1454772448676043,0.5189728183535235,0.0,0.802992695036185,0.799385467445116,0.7115653977838774,0.8944199922884926,0.8367729536852592,0.8726676388750085,0.7497910763315178,0.9237548310390006,0.8565515304192752,0.8774775618603092,0.7675078045166817,0.9455952563218688,0.02769916932936824,0.023847992369511115,0.01693835820444252,0.03845998045429396,18,0.9,11.5
sampled_pg_logbarrier_fixed,uniform,4,20,0,0.0,0.0,0.16112515805281938,1.0,0.6246581956010419,0.6236442663620634,0.6193908289026625,0.6299255622994212,0.6263972345120721,0.6225161391453375,0.6153482228375015,0.6374462461866427,0.7746657763945914,0.7756437033085599,0.7716194940169443,0.7777120587722386,0.03845,0.038375,0.036505967790581656,0.04039403220941834,20,1.0,130.0
sampled_npg_logbarrier_fixed,uniform,4,20,0,0.0,0.0,0.16112515805281938,0.9,0.6540606439604728,0.6885613643770535,0.5946122064900033,0.7135090814309423,0.7144227561806661,0.7680234121882528,0.6487136690905011,0.7801318432708311,0.7573659524259039,0.7997266137438661,0.6887441836947176,0.8259877211570902,0.0204625,0.017125,0.014314194964140079,0.026610805035859924,18,0.9,11.5
sampled_pg_reward_only,uniform,32,20,20,1.0,0.8388748419471806,1.0,1.0,0.9886673269565615,0.9886992824405139,0.9886229172268096,0.9887117366863133,0.993062586389815,0.993073705918635,0.9930038027520601,0.99312137002757,0.9940684956040375,0.9940742054983592,0.9940501437937943,0.9940868474142808,0.0,0.0,0.0,0.0,20,1.0,116.0
sampled_pg_logbarrier_handoff,uniform,32,20,20,1.0,0.8388748419471806,1.0,1.0,0.9797832781395129,0.9797760499824415,0.9797054715186804,0.9798610847603455,0.9869385877472577,0.9869656763853816,0.9868309178273175,0.987046257667198,0.9893919761006554,0.989388349115198,0.9893697704562745,0.9894141817450364,0.0,0.0,0.0,0.0,20,1.0,133.5
sampled_npg_reward_only,uniform,32,20,19,0.95,0.763868806553258,0.9911185511992047,0.0,0.9810440344745203,0.9834281312169406,0.9709275390006089,0.9911605299484316,0.9674708579110287,0.9715253952081959,0.9503038710233742,0.9846378447986832,0.9981817058770004,0.9986244029648182,0.9970805346338285,0.9992828771201723,0.0,0.0,0.0,0.0,20,1.0,4.0
sampled_npg_logbarrier_handoff,uniform,32,20,18,0.9,0.6989663547715128,0.9721335187862319,0.0,0.9714580196879046,0.9863518610672075,0.9534463781103162,0.989469661265493,0.9649029132464007,0.9785963794559677,0.945617477290606,0.9841883492021953,0.9914594369570221,0.9984298560676336,0.9843588180342512,0.998560055879793,0.0,0.0,0.0,0.0,20,1.0,4.0
sampled_pg_logbarrier_fixed,uniform,32,20,0,0.0,0.0,0.16112515805281938,1.0,0.6196932079515521,0.6191962194887037,0.6182045823479717,0.6211818335551326,0.622966274270071,0.6221527591414437,0.6196440289058602,0.6262885196342818,0.766800124631571,0.7667836377136148,0.7661119037428259,0.7674883455203161,0.0,0.0,0.0,0.0,20,1.0,133.5
sampled_npg_logbarrier_fixed,uniform,32,20,0,0.0,0.0,0.16112515805281938,1.0,0.6361400434470814,0.6300161536381595,0.6243026337308609,0.6479774531633019,0.6495482271712427,0.6515067968831367,0.6264305878314721,0.6726658665110133,0.7788156678251189,0.7771586132665068,0.7715505416690884,0.7860807939811494,0.0,0.0,0.0,0.0,20,1.0,4.0
sampled_pg_reward_only,uniform,128,20,20,1.0,0.8388748419471806,1.0,1.0,0.9886667720445151,0.9886589560482038,0.9886498962347243,0.988683647854306,0.9930647088726671,0.9930618768725661,0.9930429626949295,0.9930864550504046,0.994067100542863,0.994064489643577,0.9940588130908524,0.9940753879948735,0.0,0.0,0.0,0.0,20,1.0,116.5
sampled_pg_logbarrier_handoff,uniform,128,20,20,1.0,0.8388748419471806,1.0,1.0,0.979782455542758,0.9797901129500182,0.979740572107091,0.979824338978425,0.9869728150779997,0.9869779051975196,0.9869181581155038,0.9870274720404957,0.9893625744000973,0.9893581101592994,0.989349871518931,0.9893752772812637,0.0,0.0,0.0,0.0,20,1.0,133.5
sampled_npg_reward_only,uniform,128,20,20,1.0,0.8388748419471806,1.0,0.0,0.9817712870974182,0.9804092405459803,0.9782091541809202,0.9853334200139162,0.9731703984790359,0.9725419724712139,0.967701052658009,0.9786397443000627,0.9966144950112679,0.9962571028357554,0.9958517493711672,0.9973772406513686,0.0,0.0,0.0,0.0,20,1.0,4.0
sampled_npg_logbarrier_handoff,uniform,128,20,20,1.0,0.8388748419471806,1.0,0.0,0.975714013898763,0.9756987908892274,0.969311547383092,0.982116480414434,0.9668750246793236,0.9678888893888378,0.9579376138641412,0.975812435494506,0.9945003522806342,0.9941741351618651,0.9929422712634687,0.9960584332977996,0.0,0.0,0.0,0.0,20,1.0,4.0
sampled_pg_logbarrier_fixed,uniform,128,20,0,0.0,0.0,0.16112515805281938,1.0,0.6187950779760701,0.6190288796394456,0.6180356538432441,0.6195545021088962,0.622640935401891,0.6232054574871884,0.6212437486564253,0.6240381221473568,0.7653107514571397,0.7653776947938731,0.7646896603333454,0.7659318425809339,0.0,0.0,0.0,0.0,20,1.0,133.5
sampled_npg_logbarrier_fixed,uniform,128,20,0,0.0,0.0,0.16112515805281938,1.0,0.6192063952506499,0.6172287651138523,0.6125114250976302,0.6259013654036696,0.6290268371616542,0.6282497270772691,0.6174751907765753,0.6405784835467331,0.7629571756389995,0.7634493903643759,0.756427457349292,0.769486893928707,0.0,0.0,0.0,0.0,20,1.0,4.0
