comparison_family,method,reference,initialization,n_trajectories,metric,n,mean_difference,median_difference,ci95_low,ci95_high,method_failed_reference_succeeded,method_succeeded_reference_failed
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,uniform,4,zero_s1_batch_fraction,20,0.013600000000000001,0.015125,0.011147943933618636,0.016052056066381368,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,uniform,4,near_optimal_basin,20,0.0,0.0,0.0,0.0,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,uniform,4,exact_mcnemar_p,20,1.0,,,,0,0
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,uniform,4,final_return,20,0.1322099890010467,0.06860845152943051,-0.005400166410135576,0.26982014441222896,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,uniform,4,final_q,20,0.30711519198451737,0.11957234092688496,0.11160339700500033,0.5026269869640344,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,uniform,4,final_pi1_good,20,0.12070347582569588,0.0018597450115532266,-0.02106797511109268,0.2624749267624844,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,uniform,4,zero_s1_batch_fraction,20,-0.12886623118360757,-0.055090245449233986,-0.2123021558693422,-0.045430306497872955,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,uniform,4,near_optimal_basin,20,0.0,0.0,-0.3395333365656384,0.3395333365656384,,
barrier_within_natural,sampled_npg_logbarrier_handoff,sampled_npg_reward_only,uniform,4,exact_mcnemar_p,20,1.0,,,,5,5
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,uniform,4,final_return,20,-0.3177880511420372,-0.4885747264888282,-0.4483362300016034,-0.18723987228247094,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,uniform,4,final_q,20,-0.4632794400562247,-0.5850177621661223,-0.6497516020369012,-0.2768072780755481,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,uniform,4,final_pi1_good,20,-0.25820696938695237,-0.09404533516135982,-0.40088750439670084,-0.11552643437720392,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,uniform,4,zero_s1_batch_fraction,20,0.14145290051297582,0.058374999999999996,0.05459675018133579,0.22830905084461584,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,uniform,4,near_optimal_basin,20,-0.7,-1.0,-0.9200427512747146,-0.47995724872528533,,
optimizer_reward_only,sampled_npg_reward_only,sampled_pg_reward_only,uniform,4,exact_mcnemar_p,20,0.0001220703125,,,,14,0
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,uniform,4,final_return,20,-0.1768189917863742,-0.18070841531123777,-0.2682031486240405,-0.08543483494870788,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,uniform,4,final_q,20,-0.15022387046228813,-0.11445169235635605,-0.23718604358354456,-0.06326169734103171,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,uniform,4,final_pi1_good,20,-0.13283515905512075,-0.11191907455873706,-0.22184842826636564,-0.043821889843875875,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,uniform,4,zero_s1_batch_fraction,20,-0.001013330670631763,-0.00739084137738715,-0.011977572194684472,0.009950910853420945,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,uniform,4,near_optimal_basin,20,-0.7,-1.0,-0.9200427512747146,-0.47995724872528533,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,uniform,4,exact_mcnemar_p,20,0.0001220703125,,,,14,0
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,uniform,4,final_return,20,-0.3551534912215172,-0.3560978524621238,-0.3603920340172107,-0.34991494842582366,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,uniform,4,final_q,20,-0.3605995896354753,-0.36471922915683,-0.3716156967803878,-0.34958348249056276,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,uniform,4,final_pi1_good,20,-0.21472091307980454,-0.21366331138021522,-0.21773947204892705,-0.21170235411068203,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,uniform,4,zero_s1_batch_fraction,20,0.0097375,0.009375000000000001,0.00887229353954533,0.010602706460454669,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,uniform,4,near_optimal_basin,20,-1.0,-1.0,-1.0,-1.0,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,uniform,4,exact_mcnemar_p,20,1.9073486328125e-06,,,,20,0
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,uniform,4,final_return,20,-0.1489320510757121,-0.12216435406263981,-0.2029122457248289,-0.0949518564265953,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,uniform,4,final_q,20,-0.12235019750459324,-0.10038454656031581,-0.1694897846115809,-0.07521061039760557,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,uniform,4,final_pi1_good,20,-0.09918557799337147,-0.08811067578888532,-0.13443905058102718,-0.06393210540571577,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,uniform,4,zero_s1_batch_fraction,20,-0.007236669329368237,-0.007601278736998642,-0.014961565103591506,0.00048822644485503174,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,uniform,4,near_optimal_basin,20,-0.3,0.0,-0.5200427512747146,-0.07995724872528537,,
fixed_vs_handoff_natural,sampled_npg_logbarrier_fixed,sampled_npg_logbarrier_handoff,uniform,4,exact_mcnemar_p,20,0.03125,,,,6,0
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,uniform,32,final_return,20,-0.008884048817048362,-0.00889388680919101,-0.008954501671511935,-0.008813595962584788,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,uniform,32,final_q,20,-0.00612399864255731,-0.006119915083040661,-0.006213658776099587,-0.006034338509015033,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,uniform,32,final_pi1_good,20,-0.00467651950338206,-0.004676261918907132,-0.0047089781245737835,-0.004644060882190336,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,uniform,32,zero_s1_batch_fraction,20,0.0,0.0,0.0,0.0,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,uniform,32,near_optimal_basin,20,0.0,0.0,0.0,0.0,,
barrier_within_euclidean,sampled_pg_logbarrier_handoff,sampled_pg_reward_only,uniform,32,exact_mcnemar_p,20,1.0,,,,0,0
