iteration,train_reward,best_reward,kl,grad_norm,nat_grad_norm,entropy,mean_std,return_mean,return_std,episode_len,rollout_time,update_time,total_time
46,685.8198,752.7568,5.756561e-02,4.596498e+01,1.283831e+02,2.579508,0.571701,264.0828,121.7849,280.67,12.2658,0.4055,12.6713
47,606.5934,752.7568,2.926548e-02,5.531861e+01,1.021972e+02,2.527385,0.562179,254.978,127.9138,246.88,12.1841,0.1189,12.303
48,950.5337,950.5337,4.450658e-02,6.271639e+01,1.410906e+02,2.518291,0.560096,308.2379,130.5403,379.53,11.6919,0.1955,11.8874
49,1021.1999,1021.1999,4.875034e-02,5.474909e+01,1.501980e+02,2.515469,0.559881,322.732,133.1732,394.45,12.1513,0.5965,12.7478
50,1063.0797,1063.0797,5.825928e-02,8.034100e+01,1.438258e+02,2.561123,0.567926,305.5322,129.2628,447.48,11.8769,0.2397,12.1166
51,1060.1722,1063.0797,5.585546e-02,7.492704e+01,1.666916e+02,2.553001,0.566993,323.9989,130.9223,417.86,12.6045,0.3688,12.9733
52,1037.5861,1063.0797,7.189202e-02,6.746632e+01,1.524595e+02,2.541977,0.565107,304.8686,128.3613,434.87,12.9963,0.3243,13.3206
53,960.3576,1063.0797,6.085430e-02,1.281797e+02,1.483842e+02,2.556032,0.567652,331.6261,141.3914,346.8,12.9481,0.3465,13.2946
54,1236.6318,1236.6318,4.660050e-02,7.561526e+01,1.551337e+02,2.548126,0.565925,359.9837,136.5618,449.79,13.9484,0.6978,14.6462
55,1215.0229,1236.6318,6.773048e-02,4.392926e+01,1.767165e+02,2.540703,0.564891,358.8771,136.7368,438.23,13.6151,0.6244,14.2395
56,1197.1018,1236.6318,7.977660e-02,1.188227e+02,1.694220e+02,2.540344,0.56441,363.5745,141.6635,426.49,13.2419,0.2006,13.4425
57,1273.2314,1273.2314,8.565873e-02,8.054834e+01,1.690325e+02,2.47026,0.551407,371.3885,140.7101,448.82,12.322,0.3285,12.6505
58,1205.7804,1273.2314,5.281217e-02,7.667491e+01,1.587145e+02,2.49107,0.554864,347.2004,136.2086,454.93,11.9494,0.3674,12.3167
