seed,method,learning_rate,beta,gamma,episodes_per_update,center_returns,normalize_returns,handoff_fraction,updates,evaluation_episodes,environment_steps,final_training_mean,stochastic_evaluation_mean,deterministic_evaluation_mean,mean_min_probability
10038,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,6045304,54.69702011284097,21.928469781680374,-45.398160664336764,
10038,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,6036515,27.20532092591153,65.14026957133143,-35.28563940714312,0.19905333772301673
10039,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5814814,21.8970654063764,83.91056663547438,-34.86090532284277,
10039,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5656145,57.39881425056352,74.47982974345355,-37.42759167769778,0.18578163519501686
10040,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5557084,55.78473380371364,24.681455290619084,-61.40848902461684,
10040,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5332199,85.18121940894189,51.699811315037365,-41.32995839284693,0.1709059263765812
10041,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5770207,46.04040717299394,67.91463839602231,-31.325467747320744,
10041,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5746639,26.429017709202476,28.51953974644278,-68.43806491352254,0.1740483708679676
10042,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5596965,7.124498815573853,-39.96123796040678,-93.00837021986506,
10042,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5189871,134.85016311795488,138.1339384393828,-22.503142327197843,0.14799138270318507
10043,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5755959,22.897659593346066,61.32357474009173,-62.23156136080081,
10043,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5595376,22.270260741130755,68.53467339242984,-30.395641937784987,0.1779503183066845
10044,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5750556,58.938700987089696,102.61390518001043,52.497389651639885,
10044,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5728934,60.48000963869004,52.84879015120445,-42.725376257051835,0.156579452753067
10045,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5285865,79.32013746683278,19.053042121903427,-100.68654215242438,
10045,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,4574021,145.5760328886115,111.28525779170681,-90.3648887946413,0.18645397990942
10046,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5397647,13.963409106076687,63.37712897661449,-44.21916380978293,
10046,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5523346,69.62307105488924,70.44477020480035,-3.650244221861837,0.19451503604650497
10047,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5587783,57.50000609050747,65.29833898961179,-39.820619815034036,
10047,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5617809,50.132969470635956,97.98050797239469,-31.47641892905728,0.20175135478377343
10048,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5594254,51.432311978740735,59.82527066634768,-9.228596361665575,
10048,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5613740,52.67719122326194,44.18601965239482,-52.8588244258109,0.18532554641366006
10049,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5504924,36.665440268021605,-3.215884901123226,-80.82985703608264,
10049,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5320493,35.49240199777366,61.110387900887815,-57.67476021021362,0.1833707296848297
10050,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5815504,20.462531019995264,5.261443655720092,-42.541185234162306,
10050,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5709923,29.22885134993087,34.80925455783009,-59.039690910212656,0.1786419390141964
10051,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,4770984,111.82064141153451,79.2831862665239,-76.40892383700562,
10051,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,4940736,130.7334003639713,180.50831002057453,140.94846858606735,0.1646955728530884
10052,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5453157,26.667630642657336,-15.040846497122516,-108.26252315516918,
10052,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5279340,54.24886707377331,51.10678335028207,-93.14580082384089,0.20754840567708016
10053,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5796785,61.29896792492921,37.72733311551103,-42.94351380241517,
10053,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5654561,19.967837815137926,54.856792118888805,-38.055986833361,0.18207692354917526
10054,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5793313,27.429607771079308,115.22558687999671,37.97009147740188,
10054,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5041934,146.32499701181692,185.73187098956765,165.8919380813966,0.17430855602025985
10055,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5469372,54.52873054241156,27.504254400215515,-35.32210805433529,
10055,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,4425401,127.74089674241473,73.15129469494596,-49.10553838897574,0.21147352263331412
10056,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5858967,52.43338814800977,-8.732149018853892,-84.85487719233886,
10056,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5751930,62.67730196252245,37.5861749770589,-49.099330019736556,0.17426108315587044
10057,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5625575,43.00095166412782,104.50616083173122,-37.28070612939904,
10057,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5683931,61.81483820420576,105.9088014156977,37.30201819069831,0.19345762759447097
10058,reward_only,0.003,0.0,0.97,8,True,False,0.1,1000,32,5865875,56.599441838567806,73.43376247063874,-33.10702273528054,
10058,log_barrier,0.003,10.0,0.97,8,True,False,0.1,1000,32,5954390,35.332911931576504,5.764486659745372,-58.496399098884154,0.13325648330152035
