comparison_family,method,reference,initialization,n_trajectories,metric,n,mean_difference,median_difference,ci95_low,ci95_high,method_failed_reference_succeeded,method_succeeded_reference_failed
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,128,final_q,100,0.9075371282098823,0.9075601679859284,0.9037552251812667,0.9113190312384979,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,128,final_pi1_good,100,0.9689161370227515,0.9688326425467532,0.9681868365559525,0.9696454374895505,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,128,zero_s1_batch_fraction,100,-0.004642348341423106,-0.004,-0.00532780854290747,-0.0039568881399387424,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,128,near_optimal_basin,100,1.0,1.0,1.0,1.0,,
optimizer_with_barrier,sampled_npg_logbarrier_handoff,sampled_pg_logbarrier_handoff,adverse,128,exact_mcnemar_p,100,1.5777218104420236e-30,,,,0,100
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,128,final_return,100,-0.10676974330748695,-0.1067408338074792,-0.10688101965747414,-0.10665846695749977,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,128,final_q,100,0.17467775081408854,0.174639486012726,0.17443324235833835,0.17492225926983873,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,128,final_pi1_good,100,0.03485242725467712,0.034751781442130814,0.03468844816514019,0.035016406344214046,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,128,zero_s1_batch_fraction,100,-4e-05,0.0,-9.583796549278766e-05,1.5837965492787652e-05,,
fixed_vs_handoff_euclidean,sampled_pg_logbarrier_fixed,sampled_pg_logbarrier_handoff,adverse,128,near_optimal_basin,100,0.0,0.0,0.0,0.0,,
