method,beta,q,p_good,dq_dt,dp_good_dt,speed,pooled_regularizer_dq_dt,joint_regularizer_dq_dt,joint_correction_dq_dt,cosine_pooled_joint_regularizer,cosine_pooled_joint_defined
pooled_policy_logdet,0.1,0.265,0.91125,0.0357239579845653,-0.006861055789311219,0.036376850614463975,0.1289301757040514,0.11018645009881423,-0.01874372560523715,0.9977407150286612,True
pooled_policy_logdet,0.1,0.265,0.97,0.03823137644774889,-0.003227140893749995,0.03836733745567448,0.1289301757040514,0.11018645009881423,-0.01874372560523715,0.9979685345404848,True
pooled_policy_logdet,0.1,0.32375,0.03,-0.006775317428370946,0.0017350242984375001,0.006993942777243436,0.09847837057111845,0.07584714076516759,-0.022631229805950864,0.9925611724020769,True
pooled_policy_logdet,0.1,0.32375,0.08875,-0.0036072493626883454,0.005494506376255416,0.006572811292234617,0.09847837057111845,0.07584714076516759,-0.022631229805950864,0.9917224062761085,True
pooled_policy_logdet,0.1,0.32375,0.1475,-0.0004391812970057432,0.009272603103094483,0.009282997819624708,0.09847837057111845,0.07584714076516759,-0.022631229805950864,0.991666172719427,True
pooled_policy_logdet,0.1,0.32375,0.20625,0.0027288867686768572,0.012610703276395796,0.012902583466947977,0.09847837057111845,0.07584714076516759,-0.022631229805950864,0.9933559126932989,True
pooled_policy_logdet,0.1,0.32375,0.265,0.005896954834359466,0.015154332684667971,0.016261238434881625,0.09847837057111845,0.07584714076516759,-0.022631229805950864,0.997056864462475,True
pooled_policy_logdet,0.1,0.32375,0.32375,0.009065022900042068,0.016653154107487113,0.018960542764013957,0.09847837057111845,0.07584714076516759,-0.022631229805950864,0.9999292621129683,True
pooled_policy_logdet,0.1,0.32375,0.38249999999999995,0.012233090965724669,0.016960967315496824,0.020912267377141247,0.09847837057111845,0.07584714076516759,-0.022631229805950864,0.9983227942744777,True
pooled_policy_logdet,0.1,0.32375,0.44125,0.015401159031407272,0.016035709070408254,0.022233750581075414,0.09847837057111845,0.07584714076516759,-0.022631229805950864,0.9943979430474708,True
pooled_policy_logdet,0.1,0.32375,0.5,0.01856922709708988,0.013939453125000001,0.02321905571739233,0.09847837057111845,0.07584714076516759,-0.022631229805950864,0.991977697023437,True
pooled_policy_logdet,0.1,0.32375,0.55875,0.02173729516277247,0.01083841022311822,0.02428952731442267,0.09847837057111845,0.07584714076516759,-0.022631229805950864,0.9915762224538381,True
pooled_policy_logdet,0.1,0.32375,0.6174999999999999,0.024905363228455078,0.007002928099676519,0.025871183187293954,0.09847837057111845,0.07584714076516759,-0.022631229805950864,0.9922468151340156,True
pooled_policy_logdet,0.1,0.32375,0.67625,0.028073431294137686,0.0028074914806560493,0.028213464038303156,0.09847837057111845,0.07584714076516759,-0.022631229805950864,0.9932526562104876,True
pooled_policy_logdet,0.1,0.32375,0.735,0.031241499359820284,-0.001269277916894531,0.03126727280528264,0.09847837057111845,0.07584714076516759,-0.022631229805950864,0.9942532420372684,True
pooled_policy_logdet,0.1,0.32375,0.79375,0.034409567425502885,-0.00464462138485908,0.034721619176226785,0.09847837057111845,0.07584714076516759,-0.022631229805950864,0.9951320366142102,True
pooled_policy_logdet,0.1,0.32375,0.8525,0.0375776354911855,-0.006631643224053961,0.038158319944142524,0.09847837057111845,0.07584714076516759,-0.022631229805950864,0.9958676507172973,True
pooled_policy_logdet,0.1,0.32375,0.91125,0.040745703556868094,-0.006439310744227981,0.04125138883970943,0.09847837057111845,0.07584714076516759,-0.022631229805950864,0.9964724204787937,True
pooled_policy_logdet,0.1,0.32375,0.97,0.0439137716225507,-0.003172454264062495,0.044028216000368534,0.09847837057111845,0.07584714076516759,-0.022631229805950864,0.9969674418147909,True
