experiment,method,initialization,n,beta,metric,mean_paired_difference,ci_lower,ci_upper,n_pairs
main,uniform_action_oracle,uniform,128,0.2,q,-0.3444155092129682,-0.3468151460302173,-0.3420158723957191,20
main,uniform_action_oracle,uniform,128,0.2,pi1_a0,-0.2704976043395443,-0.2718102253679632,-0.2691849833111254,20
main,visitation_only_oracle,uniform,128,0.2,population_return,0.002160212842550735,0.002095811039941434,0.0022246146451600354,20
main,visitation_only_oracle,uniform,128,0.2,q,0.002098925618408687,0.0020305613619188436,0.00216728987489853,20
main,visitation_only_oracle,uniform,128,0.2,pi1_a0,0.001051044680354174,0.0010186327498018382,0.0010834566109065096,20
main,full_pooled_fisher_oracle,uniform,128,0.2,population_return,-0.3510749226179352,-0.3522969710532286,-0.3498528741826418,20
main,full_pooled_fisher_oracle,uniform,128,0.2,q,-0.30453653557404736,-0.3064282703922609,-0.30264480075583383,20
main,full_pooled_fisher_oracle,uniform,128,0.2,pi1_a0,-0.2569571363798082,-0.2580484588701391,-0.2558658138894773,20
main,detached_conditional_sampled,uniform,128,0.2,population_return,-0.35790517143141953,-0.35908423063110284,-0.3567261122317362,20
main,detached_conditional_sampled,uniform,128,0.2,q,-0.36303385507273855,-0.36536170849549765,-0.36070600164997946,20
main,detached_conditional_sampled,uniform,128,0.2,pi1_a0,-0.2226732821507628,-0.22343567625667518,-0.2219108880448504,20
main,detached_conditional_oracle,adverse,4,0.01,population_return,-0.013402309960348685,-0.013590578488991346,-0.013214041431706024,20
main,detached_conditional_oracle,adverse,4,0.01,q,0.008234688653722321,0.008046540591670755,0.008422836715773888,20
main,detached_conditional_oracle,adverse,4,0.01,pi1_a0,0.0005438602912348679,0.00024306439548408567,0.0008446561869856501,20
main,complete_weighted_oracle,adverse,4,0.01,population_return,-0.013527150324760004,-0.013713652680076868,-0.01334064796944314,20
main,complete_weighted_oracle,adverse,4,0.01,q,0.008376372781938151,0.008188409614484325,0.008564335949391978,20
main,complete_weighted_oracle,adverse,4,0.01,pi1_a0,0.0005236097934180099,0.00022532312638777648,0.0008218964604482432,20
main,uniform_action_oracle,adverse,4,0.01,population_return,-0.006031423056411902,-0.006128777217996754,-0.005934068894827051,20
main,uniform_action_oracle,adverse,4,0.01,q,0.0029651344215934025,0.0028936858324658085,0.0030365830107209964,20
main,uniform_action_oracle,adverse,4,0.01,pi1_a0,0.028675194908349366,0.028202349176557413,0.02914804064014132,20
main,visitation_only_oracle,adverse,4,0.01,population_return,-0.00654781864182572,-0.006638746374630694,-0.006456890909020746,20
main,visitation_only_oracle,adverse,4,0.01,q,0.005550894824477496,0.005461409063434767,0.005640380585520224,20
main,visitation_only_oracle,adverse,4,0.01,pi1_a0,9.255586670981068e-05,-0.00010786861689698916,0.0002929803503166105,20
main,full_pooled_fisher_oracle,adverse,4,0.01,population_return,-0.014270058892823196,-0.014440921678350233,-0.01409919610729616,20
main,full_pooled_fisher_oracle,adverse,4,0.01,q,0.013129269051226442,0.0129124842025627,0.013346053899890185,20
main,full_pooled_fisher_oracle,adverse,4,0.01,pi1_a0,0.02953192760190932,0.028795076241617177,0.030268778962201464,20
main,detached_conditional_sampled,adverse,4,0.01,population_return,-0.01343101212448718,-0.013604987624135586,-0.013257036624838774,20
main,detached_conditional_sampled,adverse,4,0.01,q,0.008257789645610277,0.008082196457665022,0.008433382833555532,20
main,detached_conditional_sampled,adverse,4,0.01,pi1_a0,0.00042374474329833395,0.00014517857178449018,0.0007023109148121777,20
main,detached_conditional_oracle,adverse,4,0.1,population_return,-0.0848495131677027,-0.09236067122290907,-0.07733835511249633,20
main,detached_conditional_oracle,adverse,4,0.1,q,0.2549202658901299,0.23742100869106433,0.2724195230891955,20
main,detached_conditional_oracle,adverse,4,0.1,pi1_a0,0.30852032473263946,0.26838137101129844,0.3486592784539805,20
main,complete_weighted_oracle,adverse,4,0.1,population_return,-0.10167027990027618,-0.10573258469971408,-0.09760797510083827,20
