configuration,lb_algorithm,baseline,metric,paired_runs,mean_lb_minus_baseline,ci95_lower,ci95_upper
K0100_alpha0p1,lb_sgb,entropy_sgb,minimum_probability,10,0.000192637294827901,0.00012408210646879116,0.00026119248318701084
K0100_alpha0p1,lb_sgb,entropy_sgb,normalized_log_fisher_volume,10,1.847738675792214,1.3669184958130085,2.3285588557714196
K0100_alpha0p1,lb_sgb,entropy_sgb,entropy,10,0.5682451785379683,0.3537678733365102,0.7827224837394264
K0100_alpha0p1,lb_sgb,entropy_sgb,numerically_collapsed,10,0.0,0.0,0.0
K0100_alpha0p1,lb_sgb,npg,optimal_arm_probability,10,0.458997349978277,0.119364943482976,0.798629756473578
K0100_alpha0p1,lb_sgb,npg,expected_reward,10,0.28733858347525754,0.092281553393158,0.48239561355735705
K0100_alpha0p1,lb_sgb,npg,expected_pseudo_regret,10,-0.28733858347525754,-0.48239561355735705,-0.092281553393158
K0100_alpha0p1,lb_sgb,npg,cumulative_pseudo_regret,10,-229.79487929913725,-764.543732494422,304.95397389614743
K0100_alpha0p1,lb_sgb,npg,minimum_probability,10,0.00022833809249628062,0.00016154482708681468,0.00029513135790574656
K0100_alpha0p1,lb_sgb,npg,normalized_log_fisher_volume,10,165.59432287721773,83.3477386518026,247.84090710263285
K0100_alpha0p1,lb_sgb,npg,entropy,10,0.7275685637215449,0.546439720931537,0.9086974065115527
K0100_alpha0p1,lb_sgb,npg,numerically_collapsed,10,-1.0,-1.0,-1.0
