configuration,algorithm,num_runs,finite_runs,failed_fraction,incorrect_modal_action_rate,optimal_probability_below_0p5_fraction,metric,mean,ci95_lower,ci95_upper
K0100_alpha0p01,entropy_sgb,10,10,0.0,0.8,1.0,entropy,4.5936792797150625,4.592324703768348,4.595033855661777
K0100_alpha0p01,entropy_sgb,10,10,0.0,0.8,1.0,numerically_collapsed,0.0,0.0,0.0
K0100_alpha0p01,npg,10,10,0.0,1.0,1.0,optimal_arm_probability,1.8584673734572656e-09,-2.2390519881878743e-09,5.955986735102406e-09
K0100_alpha0p01,npg,10,10,0.0,1.0,1.0,expected_reward,0.5370717166570042,0.27866547637493877,0.7954779569390695
K0100_alpha0p01,npg,10,10,0.0,1.0,1.0,expected_pseudo_regret,0.46292828334299585,0.20452204306093047,0.7213345236250612
K0100_alpha0p01,npg,10,10,0.0,1.0,1.0,cumulative_pseudo_regret,1421.9850337221103,757.4295742293356,2086.540493214885
K0100_alpha0p01,npg,10,10,0.0,1.0,1.0,minimum_probability,1.26863502250111e-14,-1.600638815119416e-14,4.137908860121636e-14
K0100_alpha0p01,npg,10,10,0.0,1.0,1.0,normalized_log_fisher_volume,-74.74900242876797,-151.29845972452728,1.8004548669913305
K0100_alpha0p01,npg,10,10,0.0,1.0,1.0,entropy,0.087516941663068,-0.11044379382343975,0.2854776771495757
K0100_alpha0p01,npg,10,10,0.0,1.0,1.0,numerically_collapsed,1.0,1.0,1.0
K0100_alpha0p01,lb_sgb,10,10,0.0,0.7,1.0,optimal_arm_probability,0.012872833242506895,0.012243717099641225,0.013501949385372565
K0100_alpha0p01,lb_sgb,10,10,0.0,0.7,1.0,expected_reward,0.04978356437159417,-0.004696587941023345,0.10426371668421168
K0100_alpha0p01,lb_sgb,10,10,0.0,0.7,1.0,expected_pseudo_regret,0.9502164356284059,0.8957362833157884,1.0046965879410235
K0100_alpha0p01,lb_sgb,10,10,0.0,0.7,1.0,cumulative_pseudo_regret,2482.45159871588,2346.076500096093,2618.8266973356676
K0100_alpha0p01,lb_sgb,10,10,0.0,0.7,1.0,minimum_probability,0.0072118107270952424,0.007011847051437749,0.007411774402752736
K0100_alpha0p01,lb_sgb,10,10,0.0,0.7,1.0,normalized_log_fisher_volume,-0.011382844244421087,-0.012606422298835653,-0.010159266190006521
K0100_alpha0p01,lb_sgb,10,10,0.0,0.7,1.0,entropy,4.59372983230809,4.592461235449438,4.594998429166742
K0100_alpha0p01,lb_sgb,10,10,0.0,0.7,1.0,numerically_collapsed,0.0,0.0,0.0
K0100_alpha0p1,sgb,10,10,0.0,0.4,0.4,optimal_arm_probability,0.5945101201220375,0.22874626825595218,0.9602739719881228
K0100_alpha0p1,sgb,10,10,0.0,0.4,0.4,expected_reward,0.9024640791316723,0.8081382789542181,0.9967898793091264
K0100_alpha0p1,sgb,10,10,0.0,0.4,0.4,expected_pseudo_regret,0.09753592086832771,0.0032101206908735636,0.19186172104578186
K0100_alpha0p1,sgb,10,10,0.0,0.4,0.4,cumulative_pseudo_regret,943.5506881285958,725.4649359393902,1161.6364403178013
K0100_alpha0p1,sgb,10,10,0.0,0.4,0.4,minimum_probability,3.810693624212694e-05,2.0774369197662484e-05,5.5439503286591394e-05
