update,true_environment_steps,training_return,training_episode_length,beta
160,215913,-84.875,85.875,0.0
161,216620,-87.375,88.375,0.0
162,217279,-81.375,82.375,0.0
163,218420,-141.625,142.625,0.0
164,219070,-80.25,81.25,0.0
165,219753,-84.375,85.375,0.0
166,220511,-93.75,94.75,0.0
167,221214,-86.875,87.875,0.0
168,221904,-85.25,86.25,0.0
169,222770,-107.25,108.25,0.0
170,223529,-93.875,94.875,0.0
171,224235,-87.25,88.25,0.0
172,225227,-123.0,124.0,0.0
173,226103,-108.5,109.5,0.0
174,226870,-94.875,95.875,0.0
175,227687,-101.125,102.125,0.0
176,228459,-95.5,96.5,0.0
177,229199,-91.5,92.5,0.0
178,229982,-96.875,97.875,0.0
179,230931,-117.625,118.625,0.0
180,231632,-86.625,87.625,0.0
181,232384,-93.0,94.0,0.0
182,233342,-118.75,119.75,0.0
183,234112,-95.25,96.25,0.0
184,234814,-86.75,87.75,0.0
185,235536,-89.25,90.25,0.0
186,236341,-99.625,100.625,0.0
187,237002,-81.625,82.625,0.0
188,237694,-85.5,86.5,0.0
189,238495,-99.125,100.125,0.0
190,239226,-90.375,91.375,0.0
191,239958,-90.5,91.5,0.0
192,240710,-93.0,94.0,0.0
193,241442,-90.5,91.5,0.0
194,242223,-96.625,97.625,0.0
195,242943,-89.0,90.0,0.0
196,243708,-94.625,95.625,0.0
197,244462,-93.25,94.25,0.0
198,245331,-107.625,108.625,0.0
199,246064,-90.625,91.625,0.0
200,246832,-95.0,96.0,0.0
201,247764,-115.5,116.5,0.0
202,248559,-98.375,99.375,0.0
203,249593,-128.25,129.25,0.0
204,250445,-105.5,106.5,0.0
205,251236,-97.875,98.875,0.0
206,252037,-99.125,100.125,0.0
207,252711,-83.25,84.25,0.0
208,253402,-85.375,86.375,0.0
209,254217,-100.875,101.875,0.0
210,255066,-105.125,106.125,0.0
211,255896,-102.75,103.75,0.0
212,256600,-87.0,88.0,0.0
213,257427,-102.375,103.375,0.0
214,258282,-105.875,106.875,0.0
215,259024,-91.75,92.75,0.0
216,259804,-96.5,97.5,0.0
217,260700,-111.0,112.0,0.0
218,261362,-81.75,82.75,0.0
219,262078,-88.5,89.5,0.0
220,262918,-104.0,105.0,0.0
221,263646,-90.0,91.0,0.0
222,264405,-93.875,94.875,0.0
223,265058,-80.625,81.625,0.0
224,266106,-130.0,131.0,0.0
225,267069,-119.375,120.375,0.0
226,267842,-95.625,96.625,0.0
227,268647,-99.625,100.625,0.0
228,269542,-110.875,111.875,0.0
229,270511,-120.125,121.125,0.0
230,271289,-96.25,97.25,0.0
231,272036,-92.375,93.375,0.0
232,272748,-88.0,89.0,0.0
233,273469,-89.125,90.125,0.0
234,274213,-92.0,93.0,0.0
235,274994,-96.625,97.625,0.0
236,275697,-86.875,87.875,0.0
237,276362,-82.125,83.125,0.0
238,277130,-95.0,96.0,0.0
239,277916,-97.25,98.25,0.0
240,278710,-98.25,99.25,0.0
241,279437,-89.875,90.875,0.0
242,280191,-93.25,94.25,0.0
243,280920,-90.125,91.125,0.0
244,281783,-106.875,107.875,0.0
245,282522,-91.375,92.375,0.0
246,283155,-78.125,79.125,0.0
247,283892,-91.125,92.125,0.0
248,284684,-98.0,99.0,0.0
249,285388,-87.0,88.0,0.0
250,286066,-83.75,84.75,0.0
251,286722,-81.0,82.0,0.0
252,287394,-83.0,84.0,0.0
253,288180,-97.25,98.25,0.0
254,289059,-108.875,109.875,0.0
255,289796,-91.125,92.125,0.0
256,290498,-86.75,87.75,0.0
257,291249,-92.875,93.875,0.0
258,292002,-93.125,94.125,0.0
259,292720,-88.75,89.75,0.0
260,293495,-95.875,96.875,0.0
261,294146,-80.375,81.375,0.0
262,295013,-107.375,108.375,0.0
263,295682,-82.625,83.625,0.0
264,296366,-84.5,85.5,0.0
265,297019,-80.625,81.625,0.0
266,297775,-93.5,94.5,0.0
267,298460,-84.625,85.625,0.0
268,299211,-92.875,93.875,0.0
269,300040,-102.625,103.625,0.0
270,300800,-94.0,95.0,0.0
271,301718,-113.75,114.75,0.0
272,302465,-92.375,93.375,0.0
273,303160,-85.875,86.875,0.0
274,303871,-87.875,88.875,0.0
275,304563,-85.5,86.5,0.0
276,305524,-119.125,120.125,0.0
277,306240,-88.5,89.5,0.0
278,307018,-96.25,97.25,0.0
279,307717,-86.375,87.375,0.0
280,308417,-86.5,87.5,0.0
281,309087,-82.75,83.75,0.0
282,309787,-86.5,87.5,0.0
283,310555,-95.0,96.0,0.0
284,311257,-86.75,87.75,0.0
285,311995,-91.25,92.25,0.0
286,312765,-95.25,96.25,0.0
287,313519,-93.25,94.25,0.0
288,314237,-88.75,89.75,0.0
289,314933,-86.0,87.0,0.0
290,315655,-89.25,90.25,0.0
291,316375,-89.0,90.0,0.0
292,317210,-103.375,104.375,0.0
293,317958,-92.5,93.5,0.0
294,318600,-79.25,80.25,0.0
295,319249,-80.125,81.125,0.0
296,319901,-80.5,81.5,0.0
297,320564,-81.875,82.875,0.0
298,321289,-89.625,90.625,0.0
299,322101,-100.5,101.5,0.0
300,322884,-96.875,97.875,0.0
