seed,reward_deterministic_return_at_handoff,handoff_deterministic_return_at_handoff,reference_greedy_action_agreement,reference_disagreement_state_count,reference_state_count,reward_reference_entropy_mean,handoff_reference_entropy_mean,reward_reference_entropy_q10,reward_reference_entropy_q50,reward_reference_entropy_q90,handoff_reference_entropy_q10,handoff_reference_entropy_q50,handoff_reference_entropy_q90,reward_reference_margin_mean,handoff_reference_margin_mean,reward_visitation_frequency_of_disagreement_region,handoff_visitation_frequency_of_disagreement_region
535,-461.625,-87.3125,0.8828125,30,256,0.7614150047302246,1.059218406677246,0.4726700186729431,0.7836242914199829,1.055334210395813,1.0065243244171143,1.0716592073440552,1.0956826210021973,0.5209909677505493,0.1458074152469635,0.08642578125,0.0947265625
536,-180.9375,-87.46875,0.765625,60,256,0.6444800496101379,1.0575398206710815,0.2091180980205536,0.767767071723938,1.0078837871551514,0.9921402931213379,1.0739120244979858,1.0978915691375732,0.46050727367401123,0.11913669109344482,0.24609375,0.22998046875
537,-82.34375,-500.0,0.1640625,214,256,0.8137872815132141,1.096017599105835,0.5540527701377869,0.7895617485046387,1.086897850036621,1.0916321277618408,1.0970470905303955,1.0984055995941162,0.41825899481773376,0.0236717090010643,0.82958984375,0.73583984375
538,-500.0,-191.25,0.109375,228,256,1.0570101737976074,1.09565269947052,0.9896209239959717,1.0694563388824463,1.0950756072998047,1.0922099351882935,1.0963869094848633,1.0976791381835938,0.10924552381038666,0.03104603849351406,0.91162109375,0.904296875
539,-500.0,-87.96875,0.08203125,235,256,0.9459702968597412,1.0648818016052246,0.9154365062713623,0.9337584376335144,1.0008223056793213,1.010789155960083,1.0754878520965576,1.0977925062179565,0.3372049927711487,0.09023378789424896,0.99169921875,0.94921875
540,-91.25,-500.0,0.75390625,63,256,0.6964690685272217,1.0617473125457764,0.41579049825668335,0.6277564764022827,1.0590784549713135,1.011802315711975,1.0748565196990967,1.0960384607315063,0.556637167930603,0.09132450819015503,0.22216796875,0.2587890625
541,-500.0,-500.0,0.12890625,223,256,1.0832786560058594,1.0941007137298584,1.0656471252441406,1.0866740942001343,1.0974006652832031,1.0879080295562744,1.0952863693237305,1.0984001159667969,0.09471557289361954,0.023880165070295334,0.96142578125,0.9326171875
542,-500.0,-94.9375,0.1015625,230,256,0.8540067672729492,1.0595910549163818,0.7968894839286804,0.8365563154220581,0.9448378086090088,1.0071015357971191,1.072615385055542,1.0962352752685547,0.4433896541595459,0.0960516408085823,0.83349609375,0.8994140625
543,-84.6875,-87.3125,0.84375,40,256,0.6551461219787598,1.0490732192993164,0.3382720947265625,0.5794004201889038,1.0490015745162964,0.9818576574325562,1.0623071193695068,1.0916473865509033,0.5820000171661377,0.1789732575416565,0.0947265625,0.1044921875
544,-436.09375,-97.21875,0.86328125,35,256,0.775993824005127,1.0814623832702637,0.4931515157222748,0.7660784125328064,1.0682553052902222,1.0538815259933472,1.0880098342895508,1.0976738929748535,0.4485553801059723,0.08736370503902435,0.13134765625,0.169921875
545,-500.0,-500.0,0.3125,176,256,1.057303786277771,1.0957324504852295,1.0042352676391602,1.0653226375579834,1.090652585029602,1.0927554368972778,1.096440076828003,1.0980812311172485,0.13737307488918304,0.036564018577337265,0.6708984375,0.6728515625
