run_label,method,seed,finite,learning_rate,final_stochastic_return,final_deterministic_return,final_stochastic_termination_rate,stochastic_return_auc,environment_steps,optimizer_updates,training_episodes,environment_step_return_auc,failure
reward_only,gpomdp_reward_only,540,True,0.003,-86.125,-92.125,1.0,-131.71328125,1067310,1000,8000,-211.19598693210034,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,540,True,0.003,-84.03125,-87.625,1.0,-159.77659375,1240791,1000,8000,-220.52558136301764,False
reward_only,gpomdp_reward_only,541,True,0.003,-91.65625,-81.90625,1.0,-306.33828125,2433653,1000,8000,-428.75733158393984,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,541,True,0.003,-90.40625,-81.75,1.0,-207.734140625,1674754,1000,8000,-350.5330080940246,False
reward_only,gpomdp_reward_only,542,True,0.003,-500.0,-500.0,0.0,-499.92265625,3998808,1000,8000,-499.9228315975661,True
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,542,True,0.003,-89.25,-82.9375,1.0,-193.613234375,1540316,1000,8000,-322.09336084486887,False
reward_only,gpomdp_reward_only,543,True,0.003,-81.6875,-78.6875,1.0,-107.159375,854327,1000,8000,-125.36926783816384,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,543,True,0.003,-85.15625,-108.96875,1.0,-140.98321875,1121123,1000,8000,-178.15926008174392,False
reward_only,gpomdp_reward_only,544,True,0.003,-84.375,-100.46875,1.0,-165.884375,1314969,1000,8000,-293.3157768001565,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,544,True,0.003,-82.0625,-82.78125,1.0,-199.41059375,1594750,1000,8000,-339.20744932591316,False
reward_only,gpomdp_reward_only,545,True,0.003,-97.0625,-86.5625,1.0,-434.4265625,3489304,1000,8000,-476.32504049786866,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,545,True,0.003,-484.46875,-500.0,0.25,-498.90703125,3993070,1000,8000,-498.91490835998366,True
reward_only,gpomdp_reward_only,546,True,0.003,-92.5,-83.4375,1.0,-120.7734375,972865,1000,8000,-171.87472927898526,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,546,True,0.003,-82.46875,-80.375,1.0,-149.239921875,1181544,1000,8000,-211.19346929473215,False
reward_only,gpomdp_reward_only,547,True,0.003,-88.15625,-86.625,1.0,-194.28046875,1579953,1000,8000,-336.15491260855543,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,547,True,0.003,-82.8125,-79.65625,1.0,-169.48940625,1331619,1000,8000,-265.2913144872895,False
reward_only,gpomdp_reward_only,548,True,0.003,-80.03125,-89.4375,1.0,-103.0734375,791282,1000,8000,-112.19259663432253,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,548,True,0.003,-86.03125,-82.4375,1.0,-139.313484375,1089500,1000,8000,-167.45565285107847,False
reward_only,gpomdp_reward_only,549,True,0.003,-81.28125,-81.46875,1.0,-109.13125,905146,1000,8000,-137.66244713560022,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,549,True,0.003,-86.3125,-89.46875,1.0,-142.94271875,1155020,1000,8000,-181.81657141218335,False
reward_only,gpomdp_reward_only,550,True,0.003,-500.0,-500.0,0.0,-500.0,4000000,1000,8000,-500.0,True
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,550,True,0.003,-87.6875,-90.8125,1.0,-218.223125,1759928,1000,8000,-360.76895885442474,False
reward_only,gpomdp_reward_only,551,True,0.003,-86.5,-80.3125,1.0,-109.71953125,865726,1000,8000,-129.2682395505333,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,551,True,0.003,-87.5,-77.75,1.0,-144.88965625,1161152,1000,8000,-181.19207997477935,False
reward_only,gpomdp_reward_only,552,True,0.003,-81.90625,-81.6875,1.0,-122.3515625,987699,1000,8000,-181.663296475571,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,552,True,0.003,-89.53125,-99.5625,1.0,-161.637921875,1305917,1000,8000,-239.00512640255852,False
reward_only,gpomdp_reward_only,553,True,0.003,-81.3125,-93.71875,1.0,-206.784375,1662271,1000,8000,-352.4220399663322,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,553,True,0.003,-92.9375,-90.71875,1.0,-157.11809375,1276631,1000,8000,-237.9841327608565,False
reward_only,gpomdp_reward_only,554,True,0.003,-85.75,-87.71875,1.0,-226.2140625,1801248,1000,8000,-364.3371766148387,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,554,True,0.003,-88.6875,-84.5625,1.0,-258.0515625,2093011,1000,8000,-393.5156513973768,False
reward_only,gpomdp_reward_only,555,True,0.003,-89.46875,-81.0,1.0,-107.728125,880295,1000,8000,-137.22315709861468,False
