initialization,switch_time,metric,mean,ci_lower,ci_upper,median,p05,p95,minimum,maximum,n
uniform,2000,q,0.9869803944357087,0.9869366003770907,0.9870241884943267,0.9869921271147379,0.9866095741392655,0.9873407195594522,0.9862408237574215,0.9874609537462326,100
uniform,2000,p_good,0.9893583570188745,0.989347013250239,0.9893697007875101,0.9893584592175841,0.9892720487155964,0.9894550446711513,0.9892138448217577,0.9894956637064825,100
uniform,2000,final_success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100
uniform,2500,population_return,0.9728128036159602,0.9727627496413459,0.9728628575905746,0.9727822987787101,0.9724135237498469,0.9732179263322769,0.9722115469206843,0.9735572043281058,100
uniform,2500,q,0.9821006915942365,0.9820350010258543,0.9821663821626188,0.9820706251338271,0.9815323589126661,0.9826498355749075,0.9812292780554931,0.9829382333664317,100
uniform,2500,p_good,0.9856971852095424,0.9856806095856119,0.985713760833473,0.9857013419078369,0.9855631879867884,0.9858079772730186,0.9854629379390599,0.9859208296652163,100
uniform,2500,final_success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100
adverse,500,population_return,0.49401794889747913,0.4940073068538963,0.49402859094106194,0.49401454343691475,0.49393768583656056,0.4941000495086781,0.4938696089880204,0.49413506639886556,100
adverse,500,q,0.0038764502660397202,0.003858364926939013,0.0038945356051404275,0.003866757982340578,0.0037474842181968483,0.004039655350456776,0.003688403935685795,0.0041057514104705555,100
adverse,500,p_good,0.07511301698733466,0.07432957975578951,0.07589645421887982,0.07457181777715281,0.06931562437022226,0.08178030010477946,0.06821805303106517,0.0843488751541142,100
adverse,500,final_success,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
adverse,1000,population_return,0.9825441653138884,0.9823557578166532,0.9827325728111237,0.9827192543728258,0.9808471171917162,0.9837844027714907,0.9790450242013041,0.9844167148894013,100
adverse,1000,q,0.9885432428127977,0.9883916992712117,0.9886947863543837,0.988640396010084,0.9871218696903079,0.9895887868171513,0.9859575610158456,0.9901671003773896,100
adverse,1000,p_good,0.990593630207928,0.9904823170336557,0.9907049433822003,0.9906755214243845,0.9896540194624925,0.9912826654847994,0.9884447886003709,0.9916109246229631,100
adverse,1000,final_success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100
adverse,1500,population_return,0.9830288789958181,0.983000699093805,0.9830570588978312,0.9830322078355136,0.982771567673245,0.9832355719924577,0.9825802457707817,0.9833715615541486,100
adverse,1500,q,0.9893659987699072,0.9893323247359372,0.9893996728038771,0.9893719598819364,0.9890661198958011,0.9896302878662993,0.9887943162430136,0.9897623480172374,100
adverse,1500,p_good,0.9910707311782585,0.9910594085729573,0.9910820537835597,0.991072663617014,0.9909793104176475,0.9911714037365961,0.9909210122005411,0.9912070145756788,100
adverse,1500,final_success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100
adverse,2000,population_return,0.9794086826263049,0.9793755168728938,0.9794418483797159,0.9794188385152528,0.9791300410892456,0.9796499518035093,0.9789296952987182,0.9798116921190447,100
adverse,2000,q,0.9868627872498068,0.9868186187855044,0.9869069557141092,0.9868640159733293,0.9864821715928798,0.9872201600579469,0.9861479068547173,0.9873279993123368,100
adverse,2000,p_good,0.9891674666490747,0.9891557518960381,0.9891791814021114,0.9891684312093569,0.9890800503039234,0.9892708852557668,0.98903289771262,0.9893168306528174,100
adverse,2000,final_success,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100
adverse,2500,population_return,0.9725727906084177,0.9725215821435997,0.9726239990732357,0.9725497825256264,0.972173429855538,0.9729870884582266,0.9719470945562312,0.9733246175165633,100
