run_id,seed,initialization,switch_time,source_archive,switch_policy_hash,sampled_final_return,exact_final_return,sampled_final_q,exact_final_q,sampled_final_p_good,exact_final_p_good,sampled_success,exact_success,success_agreement
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,27,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,383a1e67471459fcf947539a238c459086e471d9ddb2f2aa6f1d0bf97cab1709,0.9831400633570496,0.9828987504511995,0.9896494405194712,0.9892682122482411,0.9909762806897803,0.9910005375828508,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,28,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,817c2cef657918a789088af9b89ff6f0ed94665b043826799b1b261a4c570dd3,0.9829763638002736,0.9829300458864578,0.9892882176388855,0.9892923688841219,0.9910779801694143,0.9910168696246513,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,29,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,ec910dac7eef17d4e1d2dd70398d6f0459303d92077dbc07b5de05b92bc0590a,0.9829553671999081,0.9830831631365071,0.9893010705203044,0.9894078965938399,0.9910306351310855,0.9911039612424276,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,30,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,ac90e9b338a0483a2eb25afd2edafe5ffd09fb49e54790c6ea45e20139cbd704,0.9830902122313424,0.9830148371138115,0.9895169816454698,0.989348935969172,0.9910155869433518,0.9910653204522831,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,31,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,8fd9a9d4b3a273271b66e3108af392372152fc5a2624463e3a8975bcc0e8e2b2,0.9828275660756157,0.9830492392933651,0.9891903241957782,0.9893862108410741,0.9909794332821948,0.9910850415476536,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,32,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,19b5041608a661a1523780586161c01c28d501041748689b7d1e5943e5a4390d,0.9828713322453289,0.9829751287644422,0.9892070799975398,0.9893382327189016,0.9910231317487626,0.9910430626744403,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,33,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,3c0dd21cb550770330f145c4324213625ef9b8cd5c01ae9da2d1ddcc9dad3407,0.9828330059735041,0.9828869869869951,0.9891535322336646,0.9892464880363513,0.9909931862029178,0.9909938191862417,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,34,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,50e7ec4d918f4de8eaffeb21f1e92c2e0a9b0297de2111a4c96dbf72d714d432,0.9827628932116852,0.9829425320128767,0.9890317900921208,0.9892903740027124,0.991012726871119,0.9910235354064509,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,35,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,2d30022f5a36cf5c2fa18ba4a171f9d6399f226612534b17b5620297f7ecb79a,0.9830329398479787,0.9829025611510647,0.9894730803906878,0.9892617345014886,0.9909760877064973,0.9910037396088675,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,36,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,bcd4a78f770c9742919377591c6a3dd41f5d42b20640567516b1b5e8e9cc1bb2,0.9831409785112942,0.9831784259435019,0.9894414585549712,0.9894730130773042,0.9911431486040228,0.991155802064225,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,37,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,2b2705c7447668829ef9c6a5b18c41a50be528ca1376d81f385a585432145fca,0.9827866591318324,0.983018672220278,0.9890403457526122,0.9893547631761781,0.9910512350562921,0.9910682324255307,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,38,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,892ac42e4bb8616ae10c2badd7a570f99252d56ef266647e01bc2a7ae374923f,0.9828820200768572,0.983104237888841,0.9891262511056601,0.9894266903016112,0.991087507090195,0.9911152372442166,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,39,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,979bd086a0564a14778e20e5801c675ef33d501b6b3c20b254b7213232c898a3,0.9831543504126813,0.9830234017467081,0.9894631376858507,0.989351536471792,0.991131866427504,0.9910690295355508,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,40,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,ae89379df4607e562674aaae5e7be29a509391ac6599495e39ed929e73ee1243,0.983035485742301,0.9830379125035187,0.9893264186008764,0.9893698486235455,0.9911047813852376,0.99107956319998,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,41,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,efe3e55a1099e64418044bdae49ea0a8ca859ad3831cc2d1567ba9fa80a35fae,0.9829164763103123,0.9830159776014068,0.9892546577436706,0.9893624935718841,0.9910444661799036,0.9910671334855147,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,42,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,56253df112dddc367d3835d1b90f3840a3f761318873120041f9ad07c35244df,0.9829950809236662,0.9829321397692821,0.9893639979086617,0.9892841157217113,0.9910178768511517,0.9910187463633915,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,43,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,0bdbcbf06d08fe80c67965cb2b02fcc0c003aee0dad0b91d93c785f530f83c14,0.983218993338029,0.9830696774495578,0.9895943691185446,0.9894052404459786,0.991124567803874,0.9910955242153731,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,44,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,db6f95baa95cfd08ad77785daafb3399861a42453150377687577ec44a23a8ad,0.9831758711967884,0.9831124895103827,0.9895041076046276,0.9894315825114282,0.9911251361536004,0.9911201808980099,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,45,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,c838dadf217a1849379bfd912446dfef05b683f091cd5695bc5521cd00ce9445,0.9827035832709362,0.9828982003713264,0.989049629552057,0.9892584414352378,0.9909210122005411,0.9909999709291479,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,46,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,040f3b0a78c3c00a4b26009307a78cfc8d050b4ee1cf45d5d0dca6d6bdd6f513,0.9829788825293952,0.9828777172465243,0.9893746873303162,0.9892413739630795,0.9909906190400398,0.9909889359598334,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,47,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,e18d2bcac47f916853e557724daabb57f7a37add55a245fbbea6db0739d00bd3,0.9829665824240581,0.9830263526784428,0.9892560056138757,0.9893598229394935,0.9910659489471572,0.9910710654064755,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,48,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,c9a0949e8eaf7b9fa7cd6d3515af6d5575b86d109d8c90454a7f32f8415f615d,0.9832255495140095,0.983116122713322,0.9895938463296493,0.989435978739699,0.9911346848746515,0.9911220048778923,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,49,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,a4d7e1d28e0a34ee792b621ea461df30a65399e5f98341678c7f8184907681f8,0.9832330308233437,0.9830809786608665,0.989630073570928,0.9894121581203739,0.9910967525734495,0.9911028733904571,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,50,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,041ed87eaad05a624754337f89c0c69dfa097ac9360bbc2880492d9c516f8c41,0.9829494231847077,0.9830153952316536,0.9893007901175299,0.9893711037258778,0.991023134844167,0.9910666820259191,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,51,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,bb320f1fffa1ac7c0b1ded7ceca7b3e0324786dc7d219ffd60b916ab1b3a7902,0.9829227552390111,0.9830605399853725,0.989195144639626,0.989387748719016,0.9910983918332489,0.9910912747548293,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,52,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,0fb17b2315e806c5105ecd9749b71fadf1e0e742989461a6de149b521ba67ff0,0.9830535371586961,0.9830688796967595,0.9894478813958103,0.9894166709769385,0.9910497868989594,0.9910951323579714,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,53,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,29934cf467b1e6c6944f02682da27cfb658e4d336ae8be183e6a76d6b3ac3b32,0.9829418221717784,0.9830454917365417,0.9892134794528962,0.9893777829912626,0.991098280300349,0.9910834593251913,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,54,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,cd5467b7f1c017bc8ecdc5fbe79a902fed414e4472d2c21f0eee46bdffb68612,0.9830055406645424,0.983038409362628,0.9893334842526107,0.9893749451116796,0.9910759958052401,0.9910800486761095,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,55,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,1f281dc54d023b8b204e6c6d3befd62bfab7bcabcd3ef5107c4f8aac2f40ec1f,0.9829250893862924,0.9829560900390999,0.9892686461950678,0.9893188312644119,0.9910294164613447,0.9910337875619549,True,True,True
switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0,56,adverse,1500,exploration/results/tabular_mdp/two_step_trap_sampled/handoff/robustness/archives/switch_sweep__adverse__n32__detached_conditional_sampled__b0p2__noise0p0__c0n0__handoff1500__bafter0p0.npz,a8e6ff272914b9711c5f60879d7c575d57d3e5398762f68a36607320050437e1,0.9829429816239961,0.9831003309699569,0.9893349371738807,0.9894218177210318,0.9910073813696657,0.9911129663481792,True,True,True
