initialization,switch_time,metric,mean,ci_lower,ci_upper,median,p05,p95,minimum,maximum,n
uniform,1000,v1,0.773149724888079,0.7726385756690942,0.7736608741070637,0.7728721477363566,0.76921479588269,0.7775391258822355,0.7649797165832474,0.779281828531297,100
uniform,1000,delta_safe,0.2731497248880789,0.2726385756690941,0.27366087410706375,0.2728721477363566,0.26921479588269004,0.2775391258822355,0.26497971658324737,0.279281828531297,100
uniform,1000,d_explore_j,0.13204619485129465,0.13186821139480695,0.13222417830778235,0.1320593988747884,0.13059729045234603,0.13352064529042942,0.12900783569860638,0.13405437970281228,100
uniform,1000,explore_logit_reward_gradient,0.10796207961020958,0.10788502530716775,0.10803913391325141,0.10794924720313358,0.10732361259039977,0.10858547090237095,0.10658377987672434,0.10887117571511493,100
uniform,1000,reward_gradient_norm,0.15553841168725746,0.15534747696144716,0.15572934641306777,0.15552274033967917,0.15406390896306368,0.15705301503824276,0.15282601042415203,0.15772875372617418,100
uniform,1000,beta_conditional_gradient_norm,0.14672271386817073,0.14600877456374733,0.14743665317259413,0.1466480423060601,0.1413651451037941,0.15333776548516562,0.13877723850640833,0.1553523258122462,100
uniform,1000,reward_to_barrier_norm_ratio,1.0605587319493417,1.056666256349172,1.0644512075495114,1.0613866525501845,1.0257737446876145,1.0903456402528062,1.0152256258494967,1.1062255319726129,100
uniform,1000,reward_barrier_cosine,-0.9970140649018974,-0.9970854336285191,-0.9969426961752756,-0.9970842792055716,-0.99741907752104,-0.9963436678147037,-0.9976472914925746,-0.9954485638837455,100
uniform,1000,min_pi0,0.14164913438941454,0.14133647807521701,0.14196179070361206,0.14187971454481152,0.13884384666461755,0.1439128013860725,0.13787474800344096,0.1453064838374619,100
uniform,1000,min_pi1,0.11944671144784096,0.1191028302048389,0.11979059269084301,0.11945389054356874,0.11664506131364742,0.12224398281193202,0.1153577587262501,0.12558064393000162,100
uniform,1000,entropy0,0.9354840138958612,0.933767622016704,0.9372004057750184,0.9361845101630402,0.9202162181831747,0.9480946847504516,0.9134370734804249,0.9539471032553413,100
uniform,1000,entropy1,0.7366410774026138,0.7356051710623963,0.7376769837428312,0.7369376185228764,0.7279789869398404,0.7448615891082507,0.7242038077130388,0.7533575134931341,100
uniform,1000,empirical_fisher_rank,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100
uniform,1000,sampled_s1_count,19.06,18.50675771024867,19.613242289751327,19.0,14.0,24.0,12.0,25.0,100
uniform,1000,f0_lambda_min,0.05899186034549004,0.05884804297567071,0.05913567771530937,0.05909515285856323,0.05771247819453568,0.06000620343890347,0.05720354234624217,0.060629338697979096,100
uniform,1000,f0_lambda_max,0.3746467167986921,0.3736817784236606,0.3756116551737236,0.3750558877135173,0.3665904201771234,0.38188993924752646,0.3622686861765757,0.38623379820999804,100
uniform,1000,f0_trace,0.433638577144182,0.43253495900757655,0.4347421952807875,0.4339542183425168,0.42426235345465285,0.44186530555660264,0.41947222852281785,0.4464652417625453,100
uniform,1000,f0_logdet,-3.812286160207927,-3.817258763988612,-3.8073135564272422,-3.809760875071186,-3.857335195269325,-3.775849852125336,-3.8765085688473007,-3.7598960072491208,100
uniform,1000,f0_condition,6.35080788995058,6.346169743709151,6.35544603619201,6.352246293706158,6.311272971236228,6.3852607458078605,6.287123519573953,6.412494461850961,100
uniform,1000,f0_eigenvalue_1,0.3746467167986921,0.3736817784236606,0.3756116551737236,0.3750558877135173,0.3665904201771234,0.38188993924752646,0.3622686861765757,0.38623379820999804,100
uniform,1000,f0_eigenvalue_2,0.05899186034549004,0.05884804297567071,0.05913567771530937,0.05909515285856323,0.05771247819453568,0.06000620343890347,0.05720354234624217,0.060629338697979096,100
uniform,1000,f1_lambda_min,0.047937775561668255,0.047837212922649794,0.04803833820068672,0.047973757567991146,0.047007503546049725,0.04866137903600335,0.04671834540905581,0.04944848955168091,100
uniform,1000,f1_lambda_max,0.245099337185693,0.24465193622360892,0.24554673814777705,0.24522219288890235,0.2414491573234183,0.24876821060390086,0.23980664302092425,0.2528271154974792,100
uniform,1000,f1_trace,0.2930371127473612,0.292493358517697,0.29358086697702546,0.29314701799291626,0.28873883442245823,0.29751790693942454,0.28669854299206815,0.3022756050491601,100
uniform,1000,f1_logdet,-4.444040382572139,-4.447913524253028,-4.440167240891249,-4.443104224995357,-4.476297889231685,-4.413196186597351,-4.490742692148814,-4.381873128131915,100
uniform,1000,f1_condition,5.112963701631309,5.109460221615223,5.116467181647395,5.111080051115,5.085682206539612,5.147440933656863,5.0804094696966065,5.155281340757871,100
uniform,1000,f1_eigenvalue_1,0.245099337185693,0.24465193622360892,0.24554673814777705,0.24522219288890235,0.2414491573234183,0.24876821060390086,0.23980664302092425,0.2528271154974792,100
uniform,1000,f1_eigenvalue_2,0.047937775561668255,0.047837212922649794,0.04803833820068672,0.047973757567991146,0.047007503546049725,0.04866137903600335,0.04671834540905581,0.04944848955168091,100
uniform,1000,f_pool_lambda_min,0.01791396274298889,0.01788566627950688,0.0179422592064709,0.017919862773922563,0.017708869808803988,0.01813787468629296,0.0174998162224983,0.018323715160393248,100
uniform,1000,f_pool_lambda_max,0.23465177919892583,0.23377762888778023,0.23552592951007142,0.23493073501239545,0.22736961386591337,0.24129075317105336,0.2236906308395602,0.24523394978322666,100
uniform,1000,f_pool_trace,0.38110667447849617,0.38016877393210224,0.3820445750248901,0.381264002035136,0.37217470728710184,0.3879279035048081,0.36963343190284614,0.3913653871752281,100
uniform,1000,f_pool_logdet,-11.1608698385585,-11.167661149455457,-11.154078527661545,-11.158118265672682,-11.224836495079655,-11.110722207969348,-11.246241776238143,-11.079999957049859,100
uniform,1000,f_pool_condition,13.100286812037682,13.041205261284967,13.159368362790397,13.077791499093388,12.636635301774445,13.56983365329179,12.333786105952385,14.013515722979216,100
uniform,1000,f_pool_eigenvalue_1,0.23465177919892583,0.23377762888778023,0.23552592951007142,0.23493073501239545,0.22736961386591337,0.24129075317105336,0.2236906308395602,0.24523394978322666,100
uniform,1000,f_pool_eigenvalue_2,0.0915928688628867,0.0914490945573444,0.091736643168429,0.091704528179986,0.09053195545335872,0.0927361667738389,0.08930469101280428,0.09368803963886038,100
uniform,1000,f_pool_eigenvalue_3,0.03694806367369481,0.03681607545189366,0.037080051895495965,0.03701644844716234,0.03574401151139943,0.03791400542610777,0.03532156369554799,0.03844814343237508,100
uniform,1000,f_pool_eigenvalue_4,0.01791396274298889,0.01788566627950688,0.0179422592064709,0.017919862773922563,0.017708869808803988,0.01813787468629296,0.0174998162224983,0.018323715160393248,100
uniform,1000,f_ref_lambda_min,0.023968887780834128,0.023918606461324897,0.02401916910034336,0.023986878783995573,0.023503751773024863,0.024330689518001675,0.023359172704527906,0.024724244775840454,100
uniform,1000,f_ref_lambda_max,0.18732335839934605,0.1868408892118303,0.1878058275868618,0.18752794385675864,0.1832952100885617,0.19094496962376323,0.18113434308828785,0.19311689910499902,100
uniform,1000,f_ref_trace,0.36333784494577176,0.3625801490589534,0.3640955408325901,0.36367214137364556,0.35636750048485927,0.3692084603747716,0.35406542554005627,0.371807194900399,100
uniform,1000,f_ref_logdet,-11.028915265019847,-11.037123600266154,-11.02070692977354,-11.028315774790418,-11.105569319855105,-10.967422622868758,-11.13116818589879,-10.93645947804021,100
uniform,1000,f_ref_condition,7.8154354434488935,7.799967748665429,7.830903138232358,7.816417905285936,7.677249101244489,7.926208530184977,7.610865888377986,8.057218809275135,100
uniform,1000,f_ref_eigenvalue_1,0.18732335839934605,0.1868408892118303,0.1878058275868618,0.18752794385675864,0.1832952100885617,0.19094496962376323,0.18113434308828785,0.19311689910499902,100
uniform,1000,f_ref_eigenvalue_2,0.1225496685928465,0.12232596811180446,0.12277336907388853,0.12261109644445117,0.12072457866170914,0.12438410530195043,0.11990332151046212,0.1264135577487396,100
uniform,1000,f_ref_eigenvalue_3,0.02949593017274502,0.029424021487835354,0.029567838857654686,0.029547576429281616,0.02885623909726784,0.030003101719451735,0.028601771173121085,0.030314669348989548,100
uniform,1000,f_ref_eigenvalue_4,0.023968887780834128,0.023918606461324897,0.02401916910034336,0.023986878783995573,0.023503751773024863,0.024330689518001675,0.023359172704527906,0.024724244775840454,100
