initialization,metric,left_switch,right_switch,full_ranges_overlap,central_5_95_ranges_overlap,left_min,left_max,right_min,right_max,left_p05,left_p95,right_p05,right_p95
uniform,f_pool_lambda_min,500,1000,False,False,0.020532552568976903,0.02142612162370574,0.0174998162224983,0.018323715160393248,0.02058703713451662,0.02127038720593394,0.017708869808803988,0.01813787468629296
uniform,f_pool_lambda_max,500,1000,False,False,0.2522395491289598,0.2732519521324842,0.2236906308395602,0.24523394978322666,0.25683197679611425,0.2690829468529294,0.22736961386591337,0.24129075317105336
uniform,f_pool_trace,500,1000,False,False,0.4154174385258831,0.43653733733989536,0.36963343190284614,0.3913653871752281,0.4199688262117641,0.4339073416842063,0.37217470728710184,0.3879279035048081
uniform,f_pool_logdet,500,1000,False,False,-10.671569495748432,-10.496094142077203,-11.246241776238143,-11.079999957049859,-10.619332059048382,-10.522970041119665,-11.224836495079655,-11.110722207969348
uniform,f_pool_condition,500,1000,True,True,11.933770821787492,13.297124597136953,12.333786105952385,14.013515722979216,12.208130000081397,12.90778189429624,12.636635301774445,13.56983365329179
uniform,f_pool_eigenvalue_1,500,1000,False,False,0.2522395491289598,0.2732519521324842,0.2236906308395602,0.24523394978322666,0.25683197679611425,0.2690829468529294,0.22736961386591337,0.24129075317105336
uniform,f_pool_eigenvalue_2,500,1000,True,True,0.09000496043104361,0.0941993324859991,0.08930469101280428,0.09368803963886038,0.09108994217841604,0.0935448373782885,0.09053195545335872,0.0927361667738389
uniform,f_pool_eigenvalue_3,500,1000,False,False,0.04816559148862148,0.052730722460175156,0.03532156369554799,0.03844814343237508,0.04892224391975451,0.052053810545988365,0.03574401151139943,0.03791400542610777
uniform,f_pool_eigenvalue_4,500,1000,False,False,0.020532552568976903,0.02142612162370574,0.0174998162224983,0.018323715160393248,0.02058703713451662,0.02127038720593394,0.017708869808803988,0.01813787468629296
uniform,f_ref_lambda_min,500,1000,False,False,0.030118894663739897,0.033214298046446294,0.023359172704527906,0.024724244775840454,0.03091696467977474,0.032694660757746644,0.023503751773024863,0.024330689518001675
uniform,f_ref_lambda_max,500,1000,True,False,0.19200556591812387,0.19938175423128546,0.18113434308828785,0.19311689910499902,0.1939876490395585,0.19814289818144298,0.1832952100885617,0.19094496962376323
uniform,f_ref_trace,500,1000,False,False,0.39491962812134995,0.41370899011331363,0.35406542554005627,0.371807194900399,0.39947508458079456,0.4118540048092997,0.35636750048485927,0.3692084603747716
uniform,f_ref_logdet,500,1000,False,False,-10.45794796607704,-10.22147477186562,-11.13116818589879,-10.93645947804021,-10.398259585691363,-10.249140734402298,-11.105569319855105,-10.967422622868758
uniform,f_ref_condition,500,1000,False,False,5.957178057014402,6.4240693096020145,7.610865888377986,8.057218809275135,6.033504976659655,6.302194044212199,7.677249101244489,7.926208530184977
uniform,f_ref_eigenvalue_1,500,1000,True,False,0.19200556591812387,0.19938175423128546,0.18113434308828785,0.19311689910499902,0.1939876490395585,0.19814289818144298,0.1832952100885617,0.19094496962376323
uniform,f_ref_eigenvalue_2,500,1000,False,False,0.13473961445966942,0.14425665221241343,0.11990332151046212,0.1264135577487396,0.13747379528163928,0.14274375495966068,0.12072457866170914,0.12438410530195043
uniform,f_ref_eigenvalue_3,500,1000,False,False,0.03657525214947328,0.03847564075551545,0.028601771173121085,0.030314669348989548,0.03693743940751755,0.038282262269645706,0.02885623909726784,0.030003101719451735
uniform,f_ref_eigenvalue_4,500,1000,False,False,0.030118894663739897,0.033214298046446294,0.023359172704527906,0.024724244775840454,0.03091696467977474,0.032694660757746644,0.023503751773024863,0.024330689518001675
uniform,population_return,500,1500,False,False,0.4924798685370005,0.5214934776480926,0.6001054751202032,0.6228807145565478,0.49509844468707215,0.514964682288725,0.6035029524389014,0.6180359662825291
uniform,q,500,1500,False,False,0.45932537846695176,0.5224065106456344,0.595925937760491,0.6389640963250851,0.47246500203106484,0.5105782128193728,0.6015962808207946,0.6304910393926231
uniform,p_good,500,1500,False,False,0.6558884916937976,0.6905779626652303,0.75474501370461,0.767250109639899,0.661869752190825,0.681578237743326,0.7563117996163273,0.7653008941584427
uniform,v1,500,1500,False,False,0.6863883110782875,0.717376044138582,0.7798783453123934,0.7909008255058906,0.6917007519577268,0.7093985205391843,0.7813458818844603,0.7891141569436969
uniform,delta_safe,500,1500,False,False,0.18638831107828746,0.21737604413858203,0.2798783453123934,0.2909008255058906,0.19170075195772687,0.20939852053918429,0.28134588188446036,0.28911415694369685
uniform,d_explore_j,500,1500,False,False,0.08860720495793878,0.10776611072890754,0.13423101774941187,0.1370767812765644,0.09092217551598569,0.10386686428169505,0.1346692756499628,0.1365536949864213
uniform,explore_logit_reward_gradient,500,1500,False,False,0.09122166452443857,0.10129568344535267,0.10670768305009574,0.10823393312150939,0.09258269944883145,0.09919594188045634,0.10708468012885913,0.10806497600912665
uniform,reward_gradient_norm,500,1500,False,False,0.1353203869630606,0.14871422956353053,0.15454941131840133,0.1577668026168783,0.138093017335895,0.14626839089523594,0.15506731594685655,0.15733974094380423
uniform,beta_conditional_gradient_norm,500,1500,False,False,0.08819849147408029,0.1121589628725037,0.14621682848158557,0.1632379372169146,0.0915996652590604,0.10746551118751327,0.14857938885107527,0.15932810801354066
uniform,reward_to_barrier_norm_ratio,500,1500,False,False,1.3226639939402753,1.5342709915036183,0.9659304912377302,1.0572912134497998,1.3596129706882767,1.504672095436494,0.9852254233775868,1.0441621816469842
uniform,reward_barrier_cosine,500,1500,False,False,-0.990968732666505,-0.9842342507820044,-0.9995129445992884,-0.9984928964996155,-0.9907964102913707,-0.9885132031339593,-0.9994446020869809,-0.9988487897822728
uniform,min_pi0,500,1500,False,False,0.18183402137540555,0.1911099404895402,0.12598893706608968,0.13336258053787872,0.1837565169946598,0.19035249625919418,0.12785302928417386,0.13233469262792308
uniform,min_pi1,500,1500,False,False,0.13399040736675843,0.1524990969224492,0.11449631103014331,0.11958832825647314,0.1391014139792915,0.1493595827083406,0.11560028686881205,0.11851192605283091
uniform,entropy0,500,1500,False,False,1.009988821439201,1.0410383568469783,0.8875312299071794,0.9308969987858196,1.0170368544849255,1.0369692633240517,0.8970020122704223,0.9255884819981919
uniform,entropy1,500,1500,False,False,0.8303289668970704,0.8800172342325295,0.7038773771517975,0.7269843905255423,0.8438404006105548,0.8718724619443103,0.707547503951016,0.7241162025391349
uniform,empirical_fisher_rank,500,1500,True,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
uniform,sampled_s1_count,500,1500,True,True,7.0,21.0,13.0,29.0,11.0,19.049999999999997,14.0,25.0
uniform,f0_lambda_min,500,1500,False,False,0.07315050429894655,0.0769512815110309,0.052917708996674834,0.05633749271892945,0.0738748788150351,0.07656452453929141,0.05373751986243498,0.05587076217250589
uniform,f0_lambda_max,500,1500,False,False,0.38401113183624774,0.3987635084625709,0.3575711610326926,0.3818874971223791,0.387975298079117,0.39628579636288597,0.36249523055229077,0.37911573635222007
uniform,f0_trace,500,1500,False,False,0.457338741907623,0.47571478997360184,0.4104888700293674,0.4382249898413086,0.46195243409941533,0.47274505968243985,0.4162327504147258,0.4349778823914456
