initialization,switch_time,continuation,update,metric,mean,ci_lower,ci_upper
uniform,500,sampled,2400,population_return,0.9770605704014266,0.9770235107156774,0.9770976300871758
uniform,500,sampled,2410,population_return,0.977191985678111,0.9771551560156014,0.9772288153406207
uniform,500,sampled,2420,population_return,0.9773193112708385,0.9772831221820534,0.9773555003596236
uniform,500,sampled,2430,population_return,0.9774482761763233,0.977412485010629,0.9774840673420176
uniform,500,sampled,2440,population_return,0.9775757965723411,0.977540431405824,0.9776111617388581
uniform,500,sampled,2450,population_return,0.9777031582521348,0.9776680312194853,0.9777382852847843
uniform,500,sampled,2460,population_return,0.9778277979639662,0.9777926393461327,0.9778629565817998
uniform,500,sampled,2470,population_return,0.9779531641964444,0.977918487064926,0.9779878413279628
uniform,500,sampled,2480,population_return,0.9780751064500953,0.9780414120877189,0.9781088008124718
uniform,500,sampled,2490,population_return,0.9781943827218551,0.9781610691133178,0.9782276963303924
uniform,500,sampled,2500,population_return,0.9783129039370518,0.9782795005979269,0.9783463072761768
uniform,500,sampled,2510,population_return,0.9784286169016718,0.9783947275979125,0.9784625062054312
uniform,500,sampled,2520,population_return,0.9785469857139614,0.9785134795613195,0.9785804918666032
uniform,500,sampled,2530,population_return,0.9786624688663303,0.9786294411762104,0.9786954965564503
uniform,500,sampled,2540,population_return,0.9787745557543539,0.9787416193695917,0.9788074921391161
uniform,500,sampled,2550,population_return,0.9788861383112822,0.978853620040868,0.9789186565816965
uniform,500,sampled,2560,population_return,0.9789981195962448,0.9789660395575651,0.9790301996349245
uniform,500,sampled,2570,population_return,0.9791078404615134,0.9790759630539426,0.9791397178690843
uniform,500,sampled,2580,population_return,0.9792196855567564,0.9791878230797617,0.9792515480337511
uniform,500,sampled,2590,population_return,0.9793287649219556,0.9792969132579661,0.9793606165859452
uniform,500,sampled,2600,population_return,0.9794376564224188,0.9794062382968214,0.9794690745480161
uniform,500,sampled,2610,population_return,0.9795440188231862,0.979512807816699,0.9795752298296734
uniform,500,sampled,2620,population_return,0.9796506726820072,0.9796197100425452,0.9796816353214692
uniform,500,sampled,2630,population_return,0.9797565140769866,0.9797260479603879,0.9797869801935853
uniform,500,sampled,2640,population_return,0.9798599607122591,0.9798300211754105,0.9798899002491077
uniform,500,sampled,2650,population_return,0.9799624326125174,0.9799328300010113,0.9799920352240235
uniform,500,sampled,2660,population_return,0.980064620129436,0.9800352256129767,0.9800940146458952
uniform,500,sampled,2670,population_return,0.980163669453958,0.980133911454561,0.9801934274533551
uniform,500,sampled,2680,population_return,0.9802641769844068,0.9802348414748429,0.9802935124939708
uniform,500,sampled,2690,population_return,0.9803601372505597,0.9803302080520961,0.9803900664490233
uniform,500,sampled,2700,population_return,0.9804571089372135,0.9804275019774072,0.9804867158970197
uniform,500,sampled,2710,population_return,0.9805545466504019,0.9805250789508403,0.9805840143499635
uniform,500,sampled,2720,population_return,0.9806493809203993,0.9806199645234224,0.9806787973173763
uniform,500,sampled,2730,population_return,0.9807435701465308,0.9807145883587169,0.9807725519343446
