beta,update,checkpoint,trajectory_count,transition_count,parameter_count,fisher_dtype,score_dtype,numerical_rank,minimum_eigenvalue,maximum_eigenvalue,positive_condition_number,logdet_positive_spectrum,normalized_logdet_positive_spectrum,effective_rank,stable_rank,components_90,components_95,components_99,rank_tolerance,psd_tolerance,mean_return,std_return,mean_episode_length,elapsed_seconds
0.0001,50.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_1e-4/checkpoints/update_0050.pt,4096.0,360452.0,16.0,torch.float64,torch.float64,15.0,5.72640207531096e-14,172.0016175981785,146051077597883.22,-187.12150015873473,-11.69509375992092,2.047466026594675,1.7692196376360843,2.0,2.0,2.0,6.110724996168618e-13,1.720016175981785e-10,16.653547859153676,52.41359309074938,88.0009765625,30.774589671986178
0.0001,100.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_1e-4/checkpoints/update_0100.pt,4096.0,340127.0,16.0,torch.float64,torch.float64,16.0,6.372185756572854e-13,173.21484958112737,271829567119034.1,-183.87302972217776,-11.49206435763611,2.0680598268628523,1.3232685734430614,2.0,2.0,3.0,6.153827654782424e-13,1.7321484958112735e-10,26.45671096509033,54.88646842960523,83.038818359375,30.56400053098332
0.0001,150.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_1e-4/checkpoints/update_0150.pt,4096.0,261266.0,16.0,torch.float64,torch.float64,16.0,1.205036560583704e-08,244.91730802445954,20324471143.499977,-101.37487822314012,-6.335929888946257,2.5053549217219886,1.2760041190308866,2.0,3.0,4.0,8.701210703934931e-13,2.449173080244595e-10,70.24954734096887,34.49354302373533,63.78564453125,31.222798918024637
0.0001,200.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_1e-4/checkpoints/update_0200.pt,4096.0,170891.0,16.0,torch.float64,torch.float64,16.0,8.574299877797797e-08,563.060792317485,6566842778.329561,-79.7287091672441,-4.983044322952757,1.9604119990692441,1.0254304798605585,2.0,3.0,4.0,2.000393778862577e-12,5.630607923174851e-10,86.87813069737636,3.8622110963842653,41.721435546875,22.09296133602038
0.0001,250.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_1e-4/checkpoints/update_0250.pt,4096.0,153392.0,16.0,torch.float64,torch.float64,16.0,1.1713196016783432e-07,731.0228026256373,6241019117.055499,-75.0920214524755,-4.693251340779719,1.8140766364229297,1.0146718530894496,2.0,3.0,4.0,2.5971147104031803e-12,7.310228026256372e-10,88.63968888447117,2.7758859838628855,37.44921875,19.737713936017826
0.0002,50.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_2e-4/checkpoints/update_0050.pt,4096.0,360452.0,16.0,torch.float64,torch.float64,15.0,5.72640207531096e-14,172.0016175981785,146051077597883.22,-187.12150015873473,-11.69509375992092,2.047466026594675,1.7692196376360843,2.0,2.0,2.0,6.110724996168618e-13,1.720016175981785e-10,16.653547859153676,52.41359309074938,88.0009765625,30.6808207599679
0.0002,100.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_2e-4/checkpoints/update_0100.pt,4096.0,342948.0,16.0,torch.float64,torch.float64,16.0,6.602504157650514e-13,163.05697467659147,246962320330616.7,-183.87839726612253,-11.492399829132658,2.090347383495624,1.3844816696833835,2.0,2.0,3.0,5.792947443573534e-13,1.6305697467659145e-10,25.45976993389813,54.780372299685276,83.7275390625,32.917951712035574
0.0002,150.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_2e-4/checkpoints/update_0150.pt,4096.0,276715.0,16.0,torch.float64,torch.float64,16.0,2.601772598695279e-09,195.0896217517644,74983348602.25554,-107.0734649715273,-6.692091560720456,2.4536667717279013,1.4790953429720983,2.0,3.0,3.0,6.930975677895092e-13,1.9508962175176441e-10,62.74288304536557,42.05165060592114,67.557373046875,34.77967323199846
0.0002,200.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_2e-4/checkpoints/update_0200.pt,4096.0,174789.0,16.0,torch.float64,torch.float64,16.0,1.1755775347372229e-07,530.6625614433817,4514058373.546589,-78.68066872643149,-4.917541795401968,1.9844614362463622,1.0307577999820072,2.0,3.0,4.0,1.8852921408672135e-12,5.306625614433817e-10,86.52762404782084,4.4667565757223455,42.673095703125,23.356904966989532
0.0002,250.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/true_clip_20pct_seed101_lr0p015/runs/beta_2e-4/checkpoints/update_0250.pt,4096.0,155974.0,16.0,torch.float64,torch.float64,16.0,1.6927268730853248e-07,736.7564483182449,4352482730.869409,-74.38828127958497,-4.649267579974061,1.8042666529057239,1.0144981230348227,2.0,3.0,4.0,2.617484711884703e-12,7.367564483182449e-10,88.65096100784645,4.256110966217961,38.07958984375,20.958924307022244
