beta,applied_fisher_gradient_norm,applied_fisher_to_reward_ratio,effective_fisher_beta,elapsed_seconds,fisher_components_90,fisher_effective_rank,fisher_full_condition_number,fisher_gradient_clip_ratio,fisher_gradient_clip_scale,fisher_gradient_was_clipped,fisher_log10_full_condition_number,fisher_log10_positive_condition_number,fisher_logdet_margin,fisher_loss,fisher_maximum_eigenvalue,fisher_minimum_eigenvalue,fisher_numerical_rank,fisher_parameter_count,fisher_positive_condition_number,fisher_rank,fisher_surrogate,fisher_trace,fisher_trajectory_count,mean_batch_return,mean_episode_length,nominal_fisher_beta,nominal_fisher_gradient_norm,return_std,reward_fisher_gradient_cosine,reward_gradient_norm,reward_loss,reward_trajectory_count,separate_fisher_batch,total_gradient_norm,total_loss,update
2e-06,42.522071838378906,0.20000000717687966,1.2633618448797938e-06,2.5357800049241632,2,2.0014633515572084,2089146205145554.2,0.2,0.6316809224398969,True,15.319968834363294,14.293921737626025,-246.29720564062995,0.002652890281204593,262.40646047716706,1.256046416621592e-13,13,16,196753169718237.22,16,-2099.865760515357,463.76007437197234,256,7.750282080162537,95.875,2e-06,67.31574249267578,45.98122847792357,-0.1632404625415802,212.6103515625,9.738197326660156,32,True,209.9040069580078,9.74085021694136,31
2e-06,5.176910400390625,0.2,2.95794887622241e-07,2.3995493969414383,2,1.9380804876880742,2372198242836249.5,0.2,0.14789744381112052,True,15.375150979874467,14.260336985435929,-245.7240536974973,0.0005122211181644277,299.84222121085264,1.2639846695626714e-13,13,16,182111338094588.72,16,-1731.676711122148,467.1259423722577,256,-10.72547782963186,94.8125,2e-06,35.003379821777344,32.63700463100371,-0.05519988015294075,25.884552001953125,-11.885276794433594,32,True,26.115446090698242,-11.88476457331543,32
2e-06,17.477087020874023,0.19999999563463045,6.498936398985707e-07,2.547434693085961,2,1.9906543996073935,2275061645838943.5,0.2,0.32494681994928537,True,15.356993168942566,14.297228916048953,-248.18230481305085,0.0015541825739418223,271.62133184419605,1.19390756879484e-13,13,16,198257176140367.38,16,-2391.4414275301797,469.27646335715133,256,8.43805441597584,92.40625,2e-06,53.784454345703125,47.25852782025271,0.0019813694525510073,87.38543701171875,43.61090087890625,32,True,89.14996337890625,43.61245506148019,33
2e-06,13.484620094299316,0.20000001414462368,6.078424983275318e-07,2.4163923090090975,2,1.9887908519611712,2492342034943665.0,0.2,0.3039212491637659,True,15.396607642198818,14.258933022752123,-247.33413129929605,0.000994954547321285,260.3300131369245,1.0445196104185948e-13,13,16,181523569406151.47,16,-1636.8624274526467,442.39560460084226,256,1.9220416839529775,95.03125,2e-06,44.36879348754883,43.477822162696576,-0.07582163065671921,67.423095703125,29.9200439453125,32,True,67.74834442138672,29.92103889985982,34
2e-06,28.522062301635742,0.20000000802472986,1.6470712166933639e-06,2.4311306109884754,2,1.9216451964866863,2596267306725406.0,0.2,0.8235356083466819,True,15.414349404561083,14.337644190071854,-248.12802671303984,0.0022608032624409392,307.3099288502224,1.183660588623377e-13,13,16,217592634321537.6,16,-1372.6202240238858,468.6573472065119,256,18.887761497087197,86.875,2e-06,34.633670806884766,51.88183857330081,-0.0010232136119157076,142.6103057861328,70.68785095214844,32,True,145.4059295654297,70.69011175541088,35
2e-06,9.973123550415039,0.09689853252378808,2e-06,2.438273005071096,2,1.9796852449761844,2471695144062434.0,0.2,1.0,False,15.392994904355296,14.205271962891539,-246.11274650179755,0.003127047215047406,293.50586569198146,1.1874679059715287e-13,13,16,160424968575183.7,16,-1563.523607523703,489.7853436715923,256,11.25237485899101,91.875,2e-06,9.973123550415039,48.426667274545174,0.011963759548962116,102.92337036132812,42.63896942138672,32,True,103.52412414550781,42.642096468601764,36
2e-06,36.04027557373047,0.20000002540289843,7.77656672115955e-07,2.4245602008886635,2,2.007358175862819,2477865631812425.5,0.2,0.38882833605797756,True,15.394077752022042,14.22303557555682,-245.93888828091005,0.0016842450227164249,239.73889661682279,9.675217797886266e-14,13,16,167122750855318.5,16,-2165.795116415191,428.1821316681595,256,1.0088427041934667,94.53125,2e-06,92.68941497802734,43.228784875136725,0.01689896360039711,180.20135498046875,81.1737060546875,32,True,184.36630249023438,81.17539029971022,37
2e-06,21.594451904296875,0.19999997173572737,1.2574404719263927e-06,2.3716284750262275,2,2.0162651262652793,2395102089074395.5,0.2,0.6287202359631964,True,15.379324029557159,14.42068874919163,-247.2525913895164,0.002104257761317578,216.66027410871914,9.045972407483017e-14,14,16,263444265285913.22,16,-1673.445231243325,403.99741785096217,256,7.804992181268772,93.71875,2e-06,34.346683502197266,46.57177107156738,0.005269905552268028,107.97227478027344,40.915252685546875,32,True,110.22209167480469,40.91735694330819,38
2e-06,15.314563751220703,0.19999999003641988,7.424168920865039e-07,2.571623542928137,2,2.0161532586706774,2423727894648317.5,0.2,0.371208446043252,True,15.384483861168336,14.345083715775097,-246.95096433733107,0.0013304507139140082,221.18602504094468,9.125860437111433e-14,13,16,221352135282702.0,16,-1792.0533976198758,408.85385639245726,256,3.666319875049217,93.96875,2e-06,41.2559700012207,45.5958520360762,-0.3306316137313843,76.57282257080078,25.8917236328125,32,True,72.9553451538086,25.893054083526415,39
2e-06,38.24586868286133,0.20000001994828606,1.2970268287104355e-06,2.526798226055689,2,1.9777740027305106,3309344751447512.0,0.2,0.6485134143552178,True,15.51974201220436,14.436632139584162,-245.82311854826327,0.0027518167796168618,240.4669214073284,7.2663001127987e-14,14,16,273295285282967.12,16,-2121.634432460311,396.29801483335353,256,24.230028662496093,84.78125,2e-06,58.97467041015625,53.6054389076442,0.11849930882453918,191.2293243408203,84.04562377929688,32,True,199.41099548339844,84.0483755960765,40
2e-06,22.696317672729492,0.20000001008453666,8.388531614392815e-07,2.523365397937596,2,2.019552052920654,3884837354295049.5,0.2,0.4194265807196408,True,15.589372840997731,14.373669513228528,-244.626057799414,0.0013702204533719844,216.76828707970057,5.579854889936204e-14,14,16,236411997917090.66,16,-1633.4449416880034,405.3458162608624,256,7.548547702138672,89.15625,2e-06,54.112728118896484,48.654956212295524,0.07625246047973633,113.48158264160156,54.239410400390625,32,True,117.41373443603516,54.240780620844,41
