method,initialization,n_trajectories,seed,finite,invalid_solve_count,final_return,final_q,final_pi1_good,near_optimal_basin,first_delta_safe_positive_update,zero_s1_batch_fraction
sampled_npg_logbarrier_handoff,adverse,4,91000,False,1,0.8530862228473971,0.9999998769214278,0.8244107510528756,False,19,0.18421052631578946
sampled_npg_logbarrier_handoff,adverse,4,91001,True,0,0.8639980165356458,0.7281906841437025,0.9999322514072869,False,14,0.28
sampled_npg_logbarrier_handoff,adverse,4,91002,False,1,0.4999997484150386,2.2712898401961656e-08,0.7320111755258011,False,15,0.6428571428571429
sampled_npg_logbarrier_handoff,adverse,4,91003,False,1,0.343561117663316,0.2514092058685286,0.23560292944460337,False,,0.4074074074074074
sampled_pg_logbarrier_fixed,adverse,4,91000,True,0,0.3959964652041961,0.03859807734910276,0.01605834215747114,False,,0.96
sampled_pg_logbarrier_fixed,adverse,4,91001,True,0,0.39737892902507366,0.03800050257762392,0.016367619838718223,False,,0.86
sampled_pg_logbarrier_fixed,adverse,4,91002,True,0,0.3963219042635938,0.03850814024467053,0.016292144152080232,False,,0.88
sampled_pg_logbarrier_fixed,adverse,4,91003,True,0,0.39660392033634273,0.03843426731119525,0.016432610668979303,False,,0.84
sampled_npg_logbarrier_fixed,adverse,4,91000,True,0,0.6661451613463838,0.5,0.8023807927421351,False,19,0.16
sampled_npg_logbarrier_fixed,adverse,4,91001,True,0,0.5324589861246328,0.41852848042436624,0.7403442849604057,False,14,0.3
sampled_npg_logbarrier_fixed,adverse,4,91002,True,0,0.36126807026673224,0.2655627056708068,0.39690591566055433,False,15,0.4
sampled_npg_logbarrier_fixed,adverse,4,91003,True,0,0.37561133188526596,0.20773651516541844,0.36517698287673866,False,27,0.34
sampled_pg_reward_only,adverse,32,91000,True,0,0.4433136842175478,0.014019337262490633,0.01586389275077697,False,,0.6
sampled_pg_reward_only,adverse,32,91001,True,0,0.4433622009295133,0.014016245135103429,0.015907868473602073,False,,0.7
sampled_pg_reward_only,adverse,32,91002,True,0,0.4433520940138705,0.01400161981759226,0.015865191625598907,False,,0.7
