update,true_environment_steps,training_return,training_episode_length,beta
306,790560,-133.25,134.25,0.0
307,791583,-126.875,127.875,0.0
308,792714,-140.375,141.375,0.0
309,793681,-119.875,120.875,0.0
310,794634,-118.125,119.125,0.0
311,795656,-126.75,127.75,0.0
312,796682,-127.25,128.25,0.0
313,797664,-121.75,122.75,0.0
314,798595,-115.375,116.375,0.0
315,799658,-131.875,132.875,0.0
316,800624,-119.75,120.75,0.0
317,801759,-140.875,141.875,0.0
318,802783,-127.0,128.0,0.0
319,803629,-104.75,105.75,0.0
320,804519,-110.25,111.25,0.0
321,805562,-129.375,130.375,0.0
322,806491,-115.125,116.125,0.0
323,807473,-121.75,122.75,0.0
324,808485,-125.5,126.5,0.0
325,809426,-116.625,117.625,0.0
326,810428,-124.25,125.25,0.0
327,811455,-127.375,128.375,0.0
328,812553,-136.25,137.25,0.0
329,813891,-166.375,167.25,0.0
330,815063,-145.5,146.5,0.0
331,816026,-119.375,120.375,0.0
332,817068,-129.25,130.25,0.0
333,818127,-131.375,132.375,0.0
334,819042,-113.375,114.375,0.0
335,819989,-117.375,118.375,0.0
336,821049,-131.5,132.5,0.0
337,822173,-139.5,140.5,0.0
338,823342,-145.125,146.125,0.0
339,824441,-136.375,137.375,0.0
340,825444,-124.375,125.375,0.0
341,826530,-134.75,135.75,0.0
342,827394,-107.0,108.0,0.0
343,828257,-106.875,107.875,0.0
344,829185,-115.0,116.0,0.0
345,830105,-114.0,115.0,0.0
346,831180,-133.375,134.375,0.0
347,832063,-109.375,110.375,0.0
348,832992,-115.125,116.125,0.0
349,833860,-107.5,108.5,0.0
350,834833,-120.625,121.625,0.0
351,835704,-107.875,108.875,0.0
352,836603,-111.375,112.375,0.0
353,837462,-106.375,107.375,0.0
354,838492,-127.75,128.75,0.0
355,839341,-105.125,106.125,0.0
356,840301,-119.0,120.0,0.0
357,841217,-113.5,114.5,0.0
358,842142,-114.625,115.625,0.0
359,843046,-112.0,113.0,0.0
360,844115,-132.625,133.625,0.0
361,844944,-102.625,103.625,0.0
362,845769,-102.125,103.125,0.0
363,846561,-98.0,99.0,0.0
364,847470,-112.625,113.625,0.0
365,848393,-114.375,115.375,0.0
366,849456,-131.875,132.875,0.0
367,850322,-107.25,108.25,0.0
368,851494,-145.5,146.5,0.0
369,852284,-97.75,98.75,0.0
370,853232,-117.5,118.5,0.0
371,854073,-104.125,105.125,0.0
372,854942,-107.625,108.625,0.0
373,855750,-100.0,101.0,0.0
374,856778,-127.5,128.5,0.0
375,857743,-119.625,120.625,0.0
376,858647,-112.0,113.0,0.0
377,859590,-116.875,117.875,0.0
378,860574,-122.0,123.0,0.0
379,861480,-112.25,113.25,0.0
380,862578,-136.25,137.25,0.0
381,863461,-109.375,110.375,0.0
382,864297,-103.5,104.5,0.0
383,865142,-104.625,105.625,0.0
384,865957,-100.875,101.875,0.0
385,866843,-109.75,110.75,0.0
386,867927,-134.5,135.5,0.0
387,868803,-108.5,109.5,0.0
388,869716,-113.125,114.125,0.0
389,870539,-101.875,102.875,0.0
390,871681,-141.75,142.75,0.0
391,872805,-139.5,140.5,0.0
392,873713,-112.5,113.5,0.0
393,874732,-126.375,127.375,0.0
394,875583,-105.375,106.375,0.0
395,876580,-123.625,124.625,0.0
396,877476,-111.0,112.0,0.0
397,878376,-111.5,112.5,0.0
398,879408,-128.0,129.0,0.0
399,880276,-107.5,108.5,0.0
400,881172,-111.0,112.0,0.0
401,882221,-130.125,131.125,0.0
402,883046,-102.125,103.125,0.0
403,884032,-122.25,123.25,0.0
404,884864,-103.0,104.0,0.0
405,885710,-104.75,105.75,0.0
406,886579,-107.625,108.625,0.0
407,887410,-102.875,103.875,0.0
408,888345,-115.875,116.875,0.0
409,889234,-110.125,111.125,0.0
410,890178,-117.0,118.0,0.0
411,890971,-98.125,99.125,0.0
412,892093,-139.25,140.25,0.0
413,892920,-102.375,103.375,0.0
414,893768,-105.0,106.0,0.0
415,894565,-98.625,99.625,0.0
416,895455,-110.25,111.25,0.0
417,896262,-99.875,100.875,0.0
418,897166,-112.0,113.0,0.0
419,898154,-122.5,123.5,0.0
420,899027,-108.125,109.125,0.0
421,899818,-97.875,98.875,0.0
422,900644,-102.25,103.25,0.0
423,901561,-113.625,114.625,0.0
424,902408,-104.875,105.875,0.0
425,903439,-127.875,128.875,0.0
426,904297,-106.25,107.25,0.0
427,905114,-101.125,102.125,0.0
428,906141,-127.375,128.375,0.0
429,907239,-136.25,137.25,0.0
430,908095,-106.0,107.0,0.0
431,909065,-120.25,121.25,0.0
432,909851,-97.25,98.25,0.0
433,910737,-109.75,110.75,0.0
434,911512,-95.875,96.875,0.0
435,912365,-105.625,106.625,0.0
436,913213,-105.0,106.0,0.0
437,914030,-101.125,102.125,0.0
438,914870,-104.0,105.0,0.0
439,915714,-104.5,105.5,0.0
440,916533,-101.375,102.375,0.0
441,917371,-103.75,104.75,0.0
442,918442,-132.875,133.875,0.0
443,919272,-102.75,103.75,0.0
444,920332,-131.5,132.5,0.0
445,921368,-128.5,129.5,0.0
446,922488,-139.0,140.0,0.0
447,923297,-100.125,101.125,0.0
448,924212,-113.375,114.375,0.0
449,925001,-97.625,98.625,0.0
450,925922,-114.125,115.125,0.0
451,926845,-114.375,115.375,0.0
452,927719,-108.25,109.25,0.0
453,928603,-109.5,110.5,0.0
454,929661,-131.25,132.25,0.0
455,930685,-127.0,128.0,0.0
456,931595,-112.75,113.75,0.0
457,932530,-115.875,116.875,0.0
458,933466,-116.0,117.0,0.0
459,934504,-128.75,129.75,0.0
460,935422,-113.75,114.75,0.0
461,936231,-100.125,101.125,0.0
462,937197,-119.75,120.75,0.0
463,938125,-115.0,116.0,0.0
464,939067,-116.75,117.75,0.0
465,940006,-116.375,117.375,0.0
466,941054,-130.0,131.0,0.0
467,941944,-110.25,111.25,0.0
468,942755,-100.375,101.375,0.0
469,943638,-109.375,110.375,0.0
470,944579,-116.625,117.625,0.0
471,945516,-116.125,117.125,0.0
472,946462,-117.25,118.25,0.0
473,947451,-122.625,123.625,0.0
474,948462,-125.375,126.375,0.0
475,949324,-106.75,107.75,0.0
476,950118,-98.25,99.25,0.0
477,951060,-116.75,117.75,0.0
478,952016,-118.5,119.5,0.0
479,953001,-122.125,123.125,0.0
