scaling,horizon,handoff_update,initialization,n_trajectories,method,optimizer,seeds,success_rate,success_wilson95_low,success_wilson95_high,final_return_mean,final_return_median,final_q_median,final_pi1_good_median,completed_horizon_rate,last_update_median,last_update_min,collapsed_run_count,collapse_update_median,collapse_at_handoff,fisher_rank_deficient_rate,fisher_min_eigenvalue_p50,step_norm_bound,step_norm_p50,step_norm_p99,step_norm_max,step_over_bound_rate,nonfinite_step_count,target_kl,realized_kl_p50,realized_kl_p99,realized_kl_max
damped,500,250,adverse,4,sampled_pg_logbarrier_fixed,pg,100,0.0,0.0,0.037,0.3067,0.3069,0.2417,0.0534,1.0,500,500,0,,False,0.954,0.000e+00,,,,,,,,,,
damped,500,250,adverse,4,sampled_npg_reward_only,npg,100,0.0,0.0,0.037,0.5,0.5,0.0,0.0159,1.0,500,500,0,,False,1.0,0.000e+00,0.4472,0.4472,0.4472,0.4472,0.0,0,0.001,1.237e-51,5.893e-04,1.965e-03
damped,500,250,adverse,4,sampled_npg_logbarrier_handoff,npg,100,0.64,0.542,0.727,0.8148,1.0,1.0,1.0,0.96,500,250,4,250,True,0.894,0.000e+00,0.4472,0.3287,0.4472,0.4472,0.0,0,0.001,7.164e-04,5.236e-03,2.503e-02
damped,500,250,adverse,4,sampled_npg_logbarrier_fixed,npg,100,0.0,0.0,0.037,0.6578,0.6916,0.7543,0.8129,1.0,500,500,0,,False,0.78,3.369e-20,0.4472,0.192,0.4096,0.4456,0.0,0,0.001,1.559e-03,5.444e-03,2.503e-02
damped,500,250,adverse,32,sampled_pg_reward_only,pg,100,0.0,0.0,0.037,0.4728,0.4728,0.0064,0.0159,1.0,500,500,0,,False,0.993,0.000e+00,,,,,,,,,,
damped,500,250,adverse,32,sampled_pg_logbarrier_handoff,pg,100,0.0,0.0,0.037,0.4156,0.4157,0.0641,0.0252,1.0,500,500,0,,False,0.631,4.132e-21,,,,,,,,,,
damped,500,250,adverse,32,sampled_pg_logbarrier_fixed,pg,100,0.0,0.0,0.037,0.3088,0.3088,0.2386,0.059,1.0,500,500,0,,False,0.45,3.477e-05,,,,,,,,,,
damped,500,250,adverse,32,sampled_npg_reward_only,npg,100,0.0,0.0,0.037,0.5,0.5,0.0,0.015,1.0,500,500,0,,False,1.0,0.000e+00,0.4472,0.4472,0.4472,0.4472,0.0,0,0.001,7.974e-51,8.488e-04,3.015e-03
damped,500,250,adverse,32,sampled_npg_logbarrier_handoff,npg,100,1.0,0.963,1.0,1.0,1.0,1.0,1.0,1.0,500,500,0,,False,0.478,6.000e-04,0.4472,0.2519,0.4472,0.4472,0.0,0,0.001,7.268e-04,2.478e-03,4.728e-03
damped,500,250,adverse,32,sampled_npg_logbarrier_fixed,npg,100,0.0,0.0,0.037,0.6386,0.6411,0.6553,0.7822,1.0,500,500,0,,False,0.02,1.143e-02,0.4472,0.1315,0.3136,0.4047,0.0,0,0.001,9.682e-04,2.585e-03,4.728e-03
damped,500,250,adverse,128,sampled_pg_reward_only,pg,100,0.0,0.0,0.037,0.4728,0.4728,0.0064,0.0159,1.0,500,500,0,,False,0.901,0.000e+00,,,,,,,,,,
damped,500,250,adverse,128,sampled_pg_logbarrier_handoff,pg,100,0.0,0.0,0.037,0.4157,0.4157,0.064,0.0254,1.0,500,500,0,,False,0.178,5.180e-05,,,,,,,,,,
damped,500,250,adverse,128,sampled_pg_logbarrier_fixed,pg,100,0.0,0.0,0.037,0.3089,0.3089,0.2387,0.0601,1.0,500,500,0,,False,0.128,2.278e-04,,,,,,,,,,
damped,500,250,adverse,128,sampled_npg_reward_only,npg,100,0.0,0.0,0.037,0.5,0.5,0.0,0.0145,1.0,500,500,0,,False,0.999,0.000e+00,0.4472,0.4472,0.4472,0.4472,0.0,0,0.001,2.687e-50,7.214e-04,2.338e-03
damped,500,250,adverse,128,sampled_npg_logbarrier_handoff,npg,100,1.0,0.963,1.0,1.0,1.0,1.0,1.0,1.0,500,500,0,,False,0.444,6.942e-03,0.4472,0.1987,0.4472,0.4472,0.0,0,0.001,7.872e-04,1.334e-03,1.998e-03
damped,500,250,adverse,128,sampled_npg_logbarrier_fixed,npg,100,0.0,0.0,0.037,0.621,0.6208,0.6269,0.7688,1.0,500,500,0,,False,0.003,1.520e-02,0.4472,0.125,0.2384,0.2907,0.0,0,0.001,9.295e-04,1.434e-03,1.998e-03
damped,500,250,uniform,4,sampled_pg_reward_only,pg,100,0.0,0.0,0.037,0.6946,0.7057,0.7312,0.8469,1.0,500,500,0,,False,0.72,2.063e-19,,,,,,,,,,
damped,500,250,uniform,4,sampled_pg_logbarrier_handoff,pg,100,0.0,0.0,0.037,0.6676,0.674,0.6979,0.8226,1.0,500,500,0,,False,0.7,4.385e-19,,,,,,,,,,
damped,500,250,uniform,4,sampled_pg_logbarrier_fixed,pg,100,0.0,0.0,0.037,0.5116,0.5105,0.4948,0.6811,1.0,500,500,0,,False,0.694,6.409e-19,,,,,,,,,,
damped,500,250,uniform,4,sampled_npg_reward_only,npg,100,0.37,0.282,0.468,0.6479,0.5,0.338,0.6086,0.76,500,10,5,10,False,0.988,0.000e+00,0.4472,0.4472,0.4472,0.4472,0.0,0,0.001,2.999e-38,3.403e-03,5.196e-03
damped,500,250,uniform,4,sampled_npg_logbarrier_handoff,npg,100,0.74,0.646,0.816,0.8575,1.0,1.0,1.0,0.93,500,250,2,250,True,0.882,0.000e+00,0.4472,0.3296,0.4472,0.4472,0.0,0,0.001,7.091e-04,4.971e-03,2.442e-02
damped,500,250,uniform,4,sampled_npg_logbarrier_fixed,npg,100,0.0,0.0,0.037,0.6546,0.69,0.7562,0.8117,0.95,500,500,0,,False,0.765,9.998e-20,0.4472,0.2055,0.3928,0.4455,0.0,0,0.001,1.678e-03,5.181e-03,2.448e-02
damped,500,250,uniform,32,sampled_pg_reward_only,pg,100,0.0,0.0,0.037,0.7048,0.7051,0.7266,0.8465,1.0,500,500,0,,False,0.006,1.769e-02,,,,,,,,,,
damped,500,250,uniform,32,sampled_pg_logbarrier_handoff,pg,100,0.0,0.0,0.037,0.6664,0.6665,0.6871,0.8196,1.0,500,500,0,,False,0.005,1.944e-02,,,,,,,,,,
damped,500,250,uniform,32,sampled_pg_logbarrier_fixed,pg,100,0.0,0.0,0.037,0.5059,0.506,0.4925,0.6728,1.0,500,500,0,,False,0.002,2.100e-02,,,,,,,,,,
damped,500,250,uniform,32,sampled_npg_reward_only,npg,100,1.0,0.963,1.0,1.0,1.0,1.0,1.0,1.0,500,500,0,,False,0.953,0.000e+00,0.4472,0.4472,0.4472,0.4472,0.0,0,0.001,8.845e-33,1.572e-03,3.854e-03
damped,500,250,uniform,32,sampled_npg_logbarrier_handoff,npg,100,1.0,0.963,1.0,1.0,1.0,1.0,1.0,1.0,500,500,0,,False,0.47,1.676e-03,0.4472,0.2482,0.4472,0.4472,0.0,0,0.001,7.303e-04,2.483e-03,3.693e-03
damped,500,250,uniform,32,sampled_npg_logbarrier_fixed,npg,100,0.0,0.0,0.037,0.6386,0.6411,0.6553,0.7822,1.0,500,500,0,,False,0.012,1.180e-02,0.4472,0.1307,0.3119,0.3909,0.0,0,0.001,9.642e-04,2.585e-03,3.075e-03
damped,500,250,uniform,128,sampled_pg_reward_only,pg,100,0.0,0.0,0.037,0.7034,0.7051,0.7257,0.8464,1.0,500,500,0,,False,0.0,2.042e-02,,,,,,,,,,
damped,500,250,uniform,128,sampled_pg_logbarrier_handoff,pg,100,0.0,0.0,0.037,0.6637,0.6647,0.6851,0.8185,1.0,500,500,0,,False,0.0,2.238e-02,,,,,,,,,,
damped,500,250,uniform,128,sampled_pg_logbarrier_fixed,pg,100,0.0,0.0,0.037,0.5049,0.5048,0.4911,0.6716,1.0,500,500,0,,False,0.0,2.345e-02,,,,,,,,,,
damped,500,250,uniform,128,sampled_npg_reward_only,npg,100,1.0,0.963,1.0,1.0,1.0,1.0,1.0,1.0,500,500,0,,False,0.928,0.000e+00,0.4472,0.4472,0.4472,0.4472,0.0,0,0.001,1.316e-32,1.002e-03,1.531e-03
damped,500,250,uniform,128,sampled_npg_logbarrier_handoff,npg,100,1.0,0.963,1.0,1.0,1.0,1.0,1.0,1.0,500,500,0,,False,0.441,9.008e-03,0.4472,0.1965,0.4472,0.4472,0.0,0,0.001,7.959e-04,1.305e-03,1.998e-03
damped,500,250,uniform,128,sampled_npg_logbarrier_fixed,npg,100,0.0,0.0,0.037,0.621,0.6208,0.6269,0.7688,1.0,500,500,0,,False,0.0,1.541e-02,0.4472,0.124,0.2377,0.3249,0.0,0,0.001,9.259e-04,1.410e-03,1.998e-03
damped,1000,500,adverse,4,sampled_pg_reward_only,pg,100,0.0,0.0,0.037,0.4833,0.4833,0.0038,0.0158,1.0,1000,1000,0,,False,1.0,0.000e+00,,,,,,,,,,
damped,1000,500,adverse,4,sampled_pg_logbarrier_handoff,pg,100,0.0,0.0,0.037,0.4522,0.4523,0.0433,0.0595,1.0,1000,1000,0,,False,0.963,0.000e+00,,,,,,,,,,
damped,1000,500,adverse,4,sampled_pg_logbarrier_fixed,pg,100,0.0,0.0,0.037,0.3497,0.349,0.2956,0.2563,1.0,1000,1000,0,,False,0.895,0.000e+00,,,,,,,,,,
damped,1000,500,adverse,4,sampled_npg_reward_only,npg,100,0.0,0.0,0.037,0.5,0.5,0.0,0.0159,0.0,790,790,100,790,False,1.0,0.000e+00,0.4472,0.4472,0.4472,0.4472,0.0,0,0.001,9.746e-83,4.095e-04,1.965e-03
damped,1000,500,adverse,4,sampled_npg_logbarrier_handoff,npg,100,0.92,0.85,0.959,0.96,1.0,1.0,1.0,1.0,1000,1000,0,,False,0.887,0.000e+00,0.4472,0.3726,0.4472,0.4472,0.0,0,0.001,5.578e-04,4.948e-03,2.503e-02
damped,1000,500,adverse,4,sampled_npg_logbarrier_fixed,npg,100,0.0,0.0,0.037,0.6951,0.6923,0.7691,0.8096,1.0,1000,1000,0,,False,0.767,9.687e-20,0.4472,0.2126,0.3935,0.4471,0.0,0,0.001,1.797e-03,5.102e-03,2.503e-02
damped,1000,500,adverse,32,sampled_pg_reward_only,pg,100,0.0,0.0,0.037,0.4833,0.4833,0.0038,0.0159,1.0,1000,1000,0,,False,0.995,0.000e+00,,,,,,,,,,
