method,seed,update,true_environment_steps_before_update,beta,barrier_active,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,total_gradient_norm,naturalized_reward_norm,naturalized_barrier_norm,euclidean_barrier_to_reward_ratio,natural_barrier_to_reward_ratio,euclidean_cosine,euclidean_cosine_defined,natural_cosine,natural_cosine_defined,realized_kl,damping,valid,invalid_reason,target_kl,predicted_kl,scale_factor,gradient_norm,natural_direction_norm,quadratic_form,solve_residual,fisher_condition_number,damped_condition_number
npg_reward_only,611,192,280923,0.0,False,206.25205993652344,2.5731194019317627,0.0,206.25205993652344,2154.355712890625,0.0,0.0,0.0,0.0030185214709490538,True,nan,False,0.0012148816604167223,0.01,True,,0.001,0.0009999987669289112,0.00012220005737617612,206.25205993652344,2154.355712890625,133932.890625,0.00042779528303071856,3597716736.0,1767.195068359375
npg_reward_only,611,193,281891,0.0,False,552.0606079101562,2.272980213165283,0.0,552.0606079101562,2871.541748046875,0.0,0.0,0.0,-0.19572114944458008,True,nan,False,0.0013730707578361034,0.01,True,,0.001,0.0009999996982514858,7.335162081290036e-05,552.0606079101562,2871.541748046875,371715.4375,0.0006145714432932436,5740050944.0,1073.5072021484375
npg_reward_only,611,194,283187,0.0,False,793.7864990234375,2.2895047664642334,0.0,793.7864990234375,2746.5234375,0.0,0.0,0.0,-0.4734342396259308,True,nan,False,0.0015371752670034766,0.01,True,,0.001,0.0010000000474974513,7.650099723832682e-05,793.7864990234375,2746.5234375,341740.0,0.00028935796581208706,857979968.0,1314.4066162109375
npg_reward_only,611,195,284241,0.0,False,218.7483673095703,2.7094342708587646,0.0,218.7483673095703,1723.742919921875,0.0,0.0,0.0,0.23900897800922394,True,nan,False,0.0015876342076808214,0.01,True,,0.001,0.0010000010952353477,0.00016345124458894134,218.7483673095703,1723.742919921875,74860.640625,0.00048538667033426464,8203850240.0,1776.9552001953125
npg_reward_only,611,196,285139,0.0,False,241.55271911621094,2.5752103328704834,0.0,241.55271911621094,2610.02197265625,0.0,0.0,0.0,0.21082642674446106,True,nan,False,0.001604370423592627,0.01,True,,0.001,0.001000000280328095,0.00010436172306071967,241.55271911621094,2610.02197265625,183631.65625,0.00030291493749246,8299785728.0,1496.346435546875
npg_reward_only,611,197,286376,0.0,False,281.60113525390625,2.5110509395599365,0.0,281.60113525390625,2883.874267578125,0.0,0.0,0.0,-0.31749749183654785,True,nan,False,0.0016500037163496017,0.01,True,,0.001,0.0010000000474974513,0.00011033860937459394,281.60113525390625,2883.874267578125,164276.34375,0.00027789580053649843,2061016192.0,919.9290771484375
npg_reward_only,611,198,287540,0.0,False,211.168212890625,2.592665910720825,0.0,211.168212890625,1988.283203125,0.0,0.0,0.0,-0.18946491181850433,True,nan,False,0.0016097771003842354,0.01,True,,0.001,0.0010000000474974513,0.00013024425425101072,211.168212890625,1988.283203125,117899.734375,0.00023107725428417325,1640334464.0,1365.9697265625
npg_reward_only,611,199,288450,0.0,False,372.8206787109375,2.39581036567688,0.0,372.8206787109375,2043.5809326171875,0.0,0.0,0.0,-0.29085278511047363,True,nan,False,0.0011757207103073597,0.01,True,,0.001,0.0010000001639127731,0.00011774786980822682,372.8206787109375,2043.5809326171875,144252.6875,0.00022511275892611593,4098387456.0,1249.4390869140625
npg_reward_only,611,200,289460,0.0,False,411.39337158203125,2.9278852939605713,0.0,411.39337158203125,1804.60302734375,0.0,0.0,0.0,-0.15387150645256042,True,nan,False,0.0016146197449415922,0.01,True,,0.001,0.0009999994654208422,0.00013425863289739937,411.39337158203125,1804.60302734375,110954.65625,0.0006364168366417289,7918949376.0,2075.507080078125
npg_reward_only,611,201,290362,0.0,False,354.18768310546875,2.5259149074554443,0.0,354.18768310546875,2711.85791015625,0.0,0.0,0.0,-0.21337385475635529,True,nan,False,0.0015015084063634276,0.01,True,,0.001,0.001000000862404704,0.00011145900498377159,354.18768310546875,2711.85791015625,160990.28125,0.00034667656291276217,9245858816.0,1056.58544921875
npg_reward_only,611,202,291486,0.0,False,480.1710510253906,2.792304754257202,0.0,480.1710510253906,2553.054443359375,0.0,0.0,0.0,-0.07572463154792786,True,nan,False,0.0011702663032338023,0.01,True,,0.001,0.001000000280328095,8.902696572476998e-05,480.1710510253906,2553.054443359375,252340.46875,0.00033616574364714324,3734808064.0,1355.906005859375
npg_reward_only,611,203,292522,0.0,False,743.7158813476562,2.5026261806488037,0.0,743.7158813476562,3798.8388671875,0.0,0.0,0.0,0.16930735111236572,True,nan,False,0.0012018741108477116,0.01,True,,0.001,0.0009999996982514858,5.8551071560941637e-05,743.7158813476562,3798.8388671875,583391.8125,0.0005568815395236015,7032700416.0,988.4716186523438
npg_reward_only,611,204,293974,0.0,False,470.5748291015625,2.931044578552246,0.0,470.5748291015625,2286.719482421875,0.0,0.0,0.0,0.2653405964374542,True,nan,False,0.0021741059608757496,0.01,True,,0.001,0.0009999992325901985,0.0001282957091461867,470.5748291015625,2286.719482421875,121508.2578125,0.0004510217404458672,2631116032.0,1672.0582275390625
npg_reward_only,611,205,295020,0.0,False,544.6204223632812,2.8523313999176025,0.0,544.6204223632812,1889.687744140625,0.0,0.0,0.0,-0.2738184928894043,True,nan,False,0.0011069339234381914,0.01,True,,0.001,0.0009999999310821295,0.00010358336294302717,544.6204223632812,1889.687744140625,186401.765625,0.0003788687754422426,3574919168.0,1788.314697265625
npg_reward_only,611,206,296050,0.0,False,382.57562255859375,2.4312427043914795,0.0,382.57562255859375,2436.217041015625,0.0,0.0,0.0,-0.10543403029441833,True,nan,False,0.0012499422300606966,0.01,True,,0.001,0.0009999994654208422,0.0001179113969556056,382.57562255859375,2436.217041015625,143852.84375,0.000248048163484782,3006663168.0,1070.1796875
npg_reward_only,611,207,297041,0.0,False,345.50274658203125,2.3720061779022217,0.0,345.50274658203125,1936.0953369140625,0.0,0.0,0.0,0.21485677361488342,True,nan,False,0.0014514430658891797,0.01,True,,0.001,0.0009999986505135894,0.0001512611488578841,345.50274658203125,1936.0953369140625,87412.8359375,0.0006699041114188731,2881326080.0,1430.2222900390625
