beta,seed,update,mean_batch_return,numerical_rank,effective_rank,components_90,minimum_eigenvalue,maximum_eigenvalue,positive_condition_number,log10_positive_condition_number,full_condition_number,log10_full_condition_number,trace,logdet_margin
2e-06,101,70,37.347672113760794,16,2.1893269294836273,2,2.6425140416229547e-11,165.48957171915546,6262580599856.212,12.796753328312036,6262580599856.212,12.796753328312036,287.5249379717209,-167.085804806295
2e-06,101,71,15.305414409950282,16,2.1730787352162126,2,3.1979612043961216e-11,180.32692425337927,5638809001356.563,12.751187384345098,5638809001356.563,12.751187384345098,321.6436767203999,-165.98521477336323
2e-06,101,72,19.85253187802221,16,2.1767407721633156,2,4.3384972368936167e-11,175.87894438407892,4053913942561.5728,12.607874525149459,4053913942561.5728,12.607874525149459,290.7232412909294,-162.82316206160058
2e-06,101,73,38.5036747535604,16,2.278830949560887,2,5.465645998871586e-11,141.54529888680725,2589726793795.831,12.413253950102359,2589726793795.831,12.413253950102359,269.6407709648259,-160.58397100144424
2e-06,101,74,46.17697121756462,16,2.1879909562318933,2,6.594634388693081e-11,183.4446234424845,2781725454818.4194,12.444314264641962,2781725454818.4194,12.444314264641962,309.4014916195275,-161.08559455470916
2e-06,101,75,8.309127870253704,16,2.21740233960054,2,8.58505834770344e-11,177.90081034594323,2072214341950.662,12.316434675161968,2072214341950.662,12.316434675161968,307.86348240317614,-159.04889326382187
2e-06,101,76,29.909238014332164,16,2.265910822381399,2,1.8920863340940546e-10,153.55214807523788,811549374403.9952,11.90931494730322,811549374403.9952,11.90931494730322,296.62371195514663,-155.6145539395193
2e-06,101,77,40.00558142125094,16,2.2384500142380306,2,1.8187089799938184e-10,166.8010920991613,917140091867.4094,11.962435678612268,917140091867.4094,11.962435678612268,291.2642491627035,-154.21194770971715
2e-06,101,78,32.68669328720544,16,2.2504683675477892,2,2.1646380496937825e-10,174.0547967397779,804082681464.4615,11.905300708272762,804082681464.4615,11.905300708272762,307.66958768063324,-152.70681063705558
2e-06,101,79,28.664035558823045,16,2.281574940691225,2,1.7524658366483852e-10,177.09111859662974,1010525368844.3875,12.00454722078139,1010525368844.3875,12.00454722078139,326.63551076244147,-150.24132873745327
2e-06,101,80,34.959458241987946,16,2.3183305285296747,2,2.79490168099687e-10,170.95927850431303,611682620775.8988,11.78652614142906,611682620775.8988,11.78652614142906,338.5051645248817,-148.11886284963663
2e-06,101,81,38.94953134247636,16,2.2779041473805117,2,2.1905587164311384e-10,171.6428242493003,783557285919.0054,11.89407075326031,783557285919.0054,11.89407075326031,323.3164742555499,-147.4135694287205
2e-06,101,82,34.97752906120429,16,2.3122725007808187,2,2.3940424062405606e-10,160.32534052319355,669684630920.7924,11.825870332110911,669684630920.7924,11.825870332110911,309.9752829859402,-148.19398888915347
2e-06,101,83,50.731203323531844,16,2.2984048501468655,2,2.0171732211071977e-10,170.34959425188302,844496607774.6191,11.92659790941002,844496607774.6191,11.92659790941002,319.61211154183013,-145.61292096070997
2e-06,101,84,28.995497200084085,16,2.348190899092793,2,1.8010896659956933e-10,161.82645527376843,898491942566.9248,11.953514186826837,898491942566.9248,11.953514186826837,326.02184105831645,-144.43404495847932
2e-06,101,85,36.64864618144513,16,2.3480423094085356,2,1.727227170650668e-10,167.59388560762113,970305982070.0159,11.98690870887427,970305982070.0159,11.98690870887427,318.9374260767973,-141.00820636018602
