configuration,algorithm,run,failed,failure_step,final_modal_action_correct,final_optimal_probability,final_expected_reward,final_expected_pseudo_regret,final_cumulative_pseudo_regret,final_minimum_probability,final_normalized_log_fisher_volume,final_entropy,final_numerically_collapsed
K0010_alpha0p1,sgb,90,0,-1,1,0.999637442731217,0.9997030041694767,0.0002969958305233389,124.03178069535993,1.5413026158296042e-05,-6.918013096559501,0.0039854164641457985,0.0
K0010_alpha0p1,sgb,91,0,-1,1,0.9975876258257338,0.999434588084285,0.0005654119157150195,1210.3759724250851,1.9355042587381386e-05,-6.4576115444901,0.018657200991449567,0.0
K0010_alpha0p1,sgb,92,0,-1,1,0.9994334259951855,0.9997003736993104,0.0002996263006895816,165.738846292806,1.213949873737835e-05,-6.81290904327775,0.005799931188760666,0.0
K0010_alpha0p1,sgb,93,0,-1,0,0.00045552709625235657,0.8997605444228465,0.10023945557715352,2636.6410649479176,1.7928361033105188e-05,-6.716532569142877,0.007210968265357415,0.0
K0010_alpha0p1,sgb,94,0,-1,1,0.9992853884627009,0.9997242016730329,0.0002757983269671138,202.2093966396574,1.0511346394914119e-05,-6.90897021058644,0.006934302386905943,0.0
K0010_alpha0p1,sgb,95,0,-1,1,0.9979093013500172,0.9995134992394379,0.0004865007605621141,668.2664404721089,2.0878106398320658e-05,-6.488055171673609,0.01655705118636924,0.0
K0010_alpha0p1,sgb,96,0,-1,0,0.0003642151364886432,0.899893013470257,0.10010698652974304,2647.319600237412,1.096809248120933e-05,-6.779013638655921,0.006535734973094906,0.0
K0010_alpha0p1,sgb,97,0,-1,1,0.9994740397792111,0.9997425998622119,0.00025740013778807747,163.20833804494407,1.678365293796188e-05,-6.946021588367947,0.0053073291962790975,0.0
K0010_alpha0p1,sgb,98,0,-1,1,0.9989111856893292,0.999412747566387,0.0005872524336130169,142.00633519696888,5.203652284913007e-05,-5.999477490299172,0.010673765767699364,0.0
K0010_alpha0p1,sgb,99,0,-1,1,0.9994755922386253,0.9996780117496149,0.0003219882503850968,171.20326989319906,2.0885254727712567e-05,-6.6064213369500004,0.00556335314127091,0.0
K0010_alpha0p1,lb_sgb_eta_100,0,0,-1,1,0.8301841170339047,0.9376728737714514,0.062327126228548635,2712.8693990688735,0.003564588378595507,-1.7054491778537892,0.7464602208550634,0.0
K0010_alpha0p1,lb_sgb_eta_100,1,0,-1,1,0.9159917454714566,0.9378645061194842,0.06213549388051576,2626.1050966253097,0.0029159719277850743,-2.078485822910986,0.45885755767357167,0.0
K0010_alpha0p1,lb_sgb_eta_100,2,0,-1,1,0.6547840365800276,0.856824316527293,0.14317568347270704,2459.7602026201944,0.009338555908692892,-1.145116716976211,1.1957630897338412,0.0
K0010_alpha0p1,lb_sgb_eta_100,3,0,-1,1,0.7740624495581884,0.9092756955133326,0.09072430448666735,2543.9443122450816,0.0038359350992659526,-1.6021593098742017,0.8678214251226355,0.0
K0010_alpha0p1,lb_sgb_eta_100,4,0,-1,1,0.7905877833425675,0.8925620028462795,0.10743799715372049,2316.8124307320318,0.005486265378202369,-1.5371381369239274,0.8783526168142186,0.0
K0010_alpha0p1,lb_sgb_eta_100,5,0,-1,1,0.7951237413346531,0.9225086108498087,0.07749138915019127,2471.9447786288188,0.0037293407229044987,-1.7088590592703232,0.8147098821416907,0.0
K0010_alpha0p1,lb_sgb_eta_100,6,0,-1,1,0.9174815746658217,0.9537841098838253,0.04621589011617466,2367.3909212197173,0.0017689686441259124,-2.149140196874299,0.4485051234769307,0.0
K0010_alpha0p1,lb_sgb_eta_100,7,0,-1,1,0.7768079022253698,0.9380396012906413,0.061960398709358655,2546.621059418322,0.003067563532258817,-1.6030495488838383,0.9000522148274082,0.0
K0010_alpha0p1,lb_sgb_eta_100,8,0,-1,1,0.8336326536886342,0.9013231467248625,0.09867685327513753,2682.509963660762,0.005908341886024399,-1.4325372767618578,0.7950251548192795,0.0
K0010_alpha0p1,lb_sgb_eta_100,9,0,-1,1,0.5375900641457754,0.8449125005213985,0.15508749947860145,2989.5598770230554,0.007507285880253723,-0.815933112413564,1.5557813796773126,0.0
K0010_alpha0p1,lb_sgb_eta_100,10,0,-1,1,0.8781468402979251,0.937888431970623,0.06211156802937701,2826.910977031925,0.003749109179188345,-1.903082386506969,0.587595508204186,0.0
K0010_alpha0p1,lb_sgb_eta_100,11,0,-1,1,0.9048436617718202,0.9405048014177043,0.05949519858229568,2472.5573012700393,0.003007500732670982,-2.0022457571944896,0.5035018335388673,0.0
K0010_alpha0p1,lb_sgb_eta_100,12,0,-1,1,0.8866737604819215,0.9394963850975389,0.060503614902461145,2300.7294045386425,0.00419344857780339,-1.9302758105638178,0.5617508792153945,0.0
K0010_alpha0p1,lb_sgb_eta_100,13,0,-1,1,0.6676432185550933,0.8810527725591234,0.1189472274408766,2439.0695376174604,0.006344795356005185,-1.3230768352062903,1.130431757255363,0.0
K0010_alpha0p1,lb_sgb_eta_100,14,0,-1,1,0.5986043192309423,0.8694119784626052,0.1305880215373948,2658.1764661401744,0.006835122566934432,-0.9157612773793122,1.4046161816873137,0.0
K0010_alpha0p1,lb_sgb_eta_100,15,0,-1,1,0.8503051652166248,0.9045843109975101,0.09541568900248987,2441.7221987073212,0.005892390539148178,-1.7018241343440668,0.6951023133976608,0.0
K0010_alpha0p1,lb_sgb_eta_100,16,0,-1,1,0.7912861069426141,0.8873976582693818,0.11260234173061823,2391.978616937921,0.006203786153570746,-1.3584842644543302,0.9098564670282083,0.0
K0010_alpha0p1,lb_sgb_eta_100,17,0,-1,1,0.8531155594287283,0.9307371644330826,0.06926283556691737,2524.486931079197,0.0033625273171916862,-1.7536825852159401,0.6896603033970904,0.0
K0010_alpha0p1,lb_sgb_eta_100,18,0,-1,1,0.7323936243161657,0.8827566339900801,0.11724336600991991,2435.7482012431137,0.005932581518906222,-1.4592128140306766,1.0132022510810788,0.0
K0010_alpha0p1,lb_sgb_eta_100,19,0,-1,1,0.7827731054515952,0.8841444109282951,0.1158555890717049,2377.6798295203353,0.007246444275807975,-1.2915925262182775,0.9519648419234552,0.0
K0010_alpha0p1,lb_sgb_eta_100,20,0,-1,1,0.8536739673988994,0.9222266050535115,0.0777733949464885,2479.2841010497527,0.005847181095282324,-1.676229172122401,0.6914158560580177,0.0
K0010_alpha0p1,lb_sgb_eta_100,21,0,-1,1,0.8941623237409165,0.9381013839314388,0.061898616068561174,2231.612058576036,0.003781177764118686,-1.8816784086554303,0.5471781710392449,0.0
K0010_alpha0p1,lb_sgb_eta_100,22,0,-1,1,0.8459736992916078,0.9324028806636296,0.06759711933637036,2370.2962843612704,0.005060618722636209,-1.5465031471191795,0.7434311468948631,0.0
K0010_alpha0p1,lb_sgb_eta_100,23,0,-1,1,0.6927633821297501,0.8951302997920635,0.10486970020793651,2799.0142624604855,0.008439229052806616,-1.0142828647211304,1.2142542723641674,0.0
K0010_alpha0p1,lb_sgb_eta_100,24,0,-1,1,0.8683718695365723,0.9367275070861881,0.06327249291381187,2602.5666390595575,0.00423993430141179,-1.8304044096200043,0.6323995446034962,0.0
K0010_alpha0p1,lb_sgb_eta_100,25,0,-1,1,0.8084639954089177,0.8825776462091233,0.11742235379087673,2351.173340551819,0.007697380781893321,-1.474877333060097,0.8350886863222872,0.0
