seed,method,learning_rate,beta,gamma,episodes_per_update,center_returns,normalize_returns,handoff_fraction,updates,evaluation_episodes,environment_steps,final_training_mean,stochastic_evaluation_mean,deterministic_evaluation_mean,mean_min_probability
101,log_barrier,0.003,400.0,0.97,8,True,True,0.25,200,32,159005,-115.84299813428827,-100.48439273900743,-2025.1304634226522,0.24370476007461547
101,log_barrier,0.003,400.0,0.97,8,True,True,0.5,200,32,153243,-118.03938614645108,-102.86392719712043,-2972.464473215736,0.2449632078409195
101,log_barrier,0.003,800.0,0.97,8,True,True,0.1,200,32,148492,-132.02568686087545,-114.03110124970473,-1875.9218008965759,0.23000172302126884
101,log_barrier,0.003,800.0,0.97,8,True,True,0.25,200,32,152227,-146.16916786227577,-117.4331607582163,-1287.2287449523915,0.2448320209980011
101,log_barrier,0.003,800.0,0.97,8,True,True,0.5,200,32,148916,-155.21692850096244,-162.28725414664314,-744.9976790316925,0.24629489257931708
101,reward_only,0.003,0.0,0.99,4,True,False,0.25,200,32,76255,-115.7129828755076,-95.41399579106492,-1234.9926741373183,
101,reward_only,0.003,0.0,0.99,4,True,True,0.25,200,32,79069,-97.9727717697862,-93.95481936795252,-1422.738771021124,
101,reward_only,0.003,0.0,0.99,8,True,False,0.25,200,32,156660,-97.76011048719809,-88.64225621728502,-1397.7529640612734,
101,reward_only,0.003,0.0,0.99,8,True,True,0.25,200,32,176458,-54.88641296651971,-47.01442661257013,-2388.4276406803865,
102,reward_only,0.001,0.0,0.97,4,True,False,0.25,200,32,75756,-138.73167484615004,-121.15978347291133,-118.23046046205573,
102,reward_only,0.001,0.0,0.97,4,True,True,0.25,200,32,80430,-130.61058051023775,-130.3538039858861,-196.10580945851353,
102,reward_only,0.001,0.0,0.97,8,True,False,0.25,200,32,157526,-134.94382442799082,-115.66615251254001,-219.05148057477248,
102,reward_only,0.001,0.0,0.97,8,True,True,0.25,200,32,161173,-135.40479447926236,-115.50425267376532,-265.5012459211157,
102,reward_only,0.001,0.0,0.99,4,True,True,0.25,200,32,77898,-108.3820002825933,-113.48801247555139,-125.91479989368166,
102,reward_only,0.001,0.0,0.99,4,True,False,0.25,200,32,78197,-146.8544600514255,-123.85094263481159,-87.45896630354147,
102,reward_only,0.001,0.0,0.99,8,True,False,0.25,200,32,152419,-119.22429901807709,-108.35324294786648,-84.6541062645552,
102,reward_only,0.001,0.0,0.99,8,True,True,0.25,200,32,160630,-126.52062529151863,-104.28735833042063,-141.23103404757725,
102,reward_only,0.003,0.0,0.97,4,True,False,0.25,200,32,125486,-34.33476608230583,-29.851507100311157,-288.1316345460192,
102,reward_only,0.003,0.0,0.97,4,True,True,0.25,200,32,122859,-52.891646303232974,-41.73294535987354,-426.88566844996706,
102,reward_only,0.003,0.0,0.97,8,True,False,0.25,200,32,311507,-21.512068622796555,-17.638476348549148,-334.08170534881623,
102,reward_only,0.003,0.0,0.97,8,True,True,0.25,200,32,280549,-5.923328311391408,26.986743466485215,-333.5045485915434,
102,log_barrier,0.003,2.0,0.97,8,True,True,0.05,200,32,384688,3.70905530696234,31.95203410762682,-246.35021880399847,0.18225690722465515
102,log_barrier,0.003,2.0,0.97,8,True,True,0.1,200,32,404972,43.55928544800875,55.106603352191414,-239.48685579669956,0.18430413529276848
102,log_barrier,0.003,2.0,0.97,8,True,True,0.25,200,32,345354,-10.037887479030328,10.842974607579123,-304.2807371059977,0.1838946372270584
102,log_barrier,0.003,5.0,0.97,8,True,True,0.05,200,32,309147,-10.330472173047538,6.588758367454353,-240.44580718231504,0.18148992359638214
102,log_barrier,0.003,5.0,0.97,8,True,True,0.1,200,32,331830,4.713696864807409,11.244790981278292,-376.67124426933105,0.17870019674301146
102,log_barrier,0.003,5.0,0.97,8,True,True,0.25,200,32,346313,-2.386946118197347,10.64164724447557,-149.24538935328016,0.17728392481803895
102,log_barrier,0.003,10.0,0.97,8,True,True,0.05,200,32,318042,2.5083824631921434,13.827523616074272,-211.59493758424478,0.1868962198495865
102,log_barrier,0.003,10.0,0.97,8,True,True,0.1,200,32,308225,-13.996718606637804,8.586951466051268,-197.65382314525138,0.18996331021189689
102,log_barrier,0.003,10.0,0.97,8,True,True,0.25,200,32,315607,-20.636390527924952,-3.695479635127769,-212.5781819388605,0.20541265234351158
102,log_barrier,0.003,20.0,0.97,8,True,True,0.05,200,32,324091,-10.17907906964897,16.958059186111935,-231.76639033926836,0.18865008056163787
102,log_barrier,0.003,20.0,0.97,8,True,True,0.1,200,32,295757,-24.687754454929774,-2.800477833836203,-295.0884478883109,0.195240468531847
102,log_barrier,0.003,20.0,0.97,8,True,True,0.25,200,32,253746,-33.85611496269054,-30.806284906118368,-311.99296755860337,0.20986791476607322
