environment,run_label,method,seed,update,environment_steps,fisher,analysis_batch_identifier,training_batch_reused,parameter_count,state_count,action_count,score_row_count,maximum_possible_rank,numerical_rank,eigenvalue_threshold,trace,largest_eigenvalue,smallest_positive_eigenvalue,k90,participation_ratio,entropy_effective_rank,log_pseudodeterminant,positive_spectrum_condition_number,dtype,spectral_floor_used,decomposition_space
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,6,3072,on_policy,analysis-on_policy-102-6,False,130,64,2,128,128,21,1e-10,0.8953166345680239,0.8764335132903176,1.177886708826092e-10,1,1.043144708870284,1.115391036174326,-317.6939242462019,7440728439.527013,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,6,3072,fixed_reference,analysis-fixed_reference-102-6,False,130,38,2,76,76,18,1e-10,0.9399462049688713,0.8862249779742484,1.2649395394785605e-10,1,1.120903943479453,1.2509584914476781,-257.08806597789004,7006065905.249292,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,9,4608,on_policy,analysis-on_policy-102-9,False,130,64,2,128,128,20,1e-10,0.9052120235385801,0.8798542984197042,1.4717218244058995e-10,1,1.0576834272215037,1.144517117447593,-298.38499522043463,5978400835.190993,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,9,4608,fixed_reference,analysis-fixed_reference-102-9,False,130,38,2,76,76,18,1e-10,0.964045262840654,0.9042528229659884,1.3099560055734714e-10,1,1.1318059020331328,1.2684147683514626,-255.12451266899123,6902925129.688805,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,12,6144,on_policy,analysis-on_policy-102-12,False,130,64,2,128,128,23,1e-10,0.9174903154300869,0.8687030458038324,1.3257817921087373e-10,1,1.1124317532236174,1.2502368685322405,-341.15335103320245,6552383287.917289,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,12,6144,fixed_reference,analysis-fixed_reference-102-12,False,130,38,2,76,76,18,1e-10,0.9882790624657332,0.9219389808967602,1.6022655845182457e-10,1,1.1433396274117738,1.2866182093279803,-251.70021047555588,5753971063.25516,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,15,7680,on_policy,analysis-on_policy-102-15,False,130,64,2,128,128,23,1e-10,0.9484943220129671,0.8650159228327909,1.6178715722062778e-10,1,1.1922981599679783,1.376909133622051,-324.4238352152558,5346629100.1898,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,15,7680,fixed_reference,analysis-fixed_reference-102-15,False,130,38,2,76,76,18,1e-10,1.0183022473820866,0.94396754218213,2.0727318535582254e-10,1,1.1567397418486773,1.3074307290338207,-247.78827856185248,4554219305.124472,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,18,9216,on_policy,analysis-on_policy-102-18,False,130,64,2,128,128,26,1e-10,1.0194661017286986,0.9005166931508927,1.0779513561071932e-10,2,1.2612191685403655,1.4675121014854462,-386.2025660226072,8353964100.967687,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,18,9216,fixed_reference,analysis-fixed_reference-102-18,False,130,38,2,76,76,19,1e-10,1.0522005880019587,0.9688135984705474,1.1974842338195235e-10,1,1.1711636311012408,1.3294830004141058,-266.72636802772513,8090407966.2109375,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,21,10752,on_policy,analysis-on_policy-102-21,False,130,64,2,128,128,24,1e-10,1.0026564271011142,0.9006958798619933,1.5508892420132904e-10,2,1.224600254776474,1.4162035011439285,-348.16362015485936,5807609308.661867,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,21,10752,fixed_reference,analysis-fixed_reference-102-21,False,130,38,2,76,76,20,1e-10,1.0890608091035625,0.9956880519948568,1.0663187307818237e-10,1,1.1863054782712112,1.3523183068566722,-285.62668828735934,9337621325.143744,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,24,12288,on_policy,analysis-on_policy-102-24,False,130,64,2,128,128,27,1e-10,1.0753596297342014,0.9419304839344975,1.2183114198969365e-10,2,1.2797458260358008,1.4948309288869472,-395.49667199394196,7731442622.561811,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,24,12288,fixed_reference,analysis-fixed_reference-102-24,False,130,38,2,76,76,20,1.0235342130227718e-10,1.1293254560162742,1.0235342130227718,1.526876354998855e-10,1,1.2050677948309254,1.3798971114076157,-281.0762824383711,6703451852.350804,float64,False,score_gram
CartPole-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,102,27,13824,on_policy,analysis-on_policy-102-27,False,130,64,2,128,128,29,1e-10,1.1039880756269365,0.97590469340058,1.6283571980245212e-10,2,1.262848374917422,1.5098164695039245,-419.8946344892851,5993185614.216101,float64,False,score_gram
