environment,run_label,method,seed,update,environment_steps,fisher,analysis_batch_identifier,training_batch_reused,reward_gradient_norm,captured_euclidean_energy_fraction,leading_k90_euclidean_energy_fraction,leading_k90_natural_energy_fraction,natural_energy
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,21,10752,on_policy,analysis-on_policy-102-21,False,19.58337364255235,0.999999671556056,0.9979387906284477,0.0005798131840570771,747329.2347496892
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,21,10752,fixed_reference,analysis-fixed_reference-102-21,False,19.58337364255235,0.9999997351007034,0.8616753477005967,0.0002796603450816971,1186601.7603316754
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,24,12288,on_policy,analysis-on_policy-102-24,False,36.333938434105335,0.9999999242396679,0.9937783459189948,0.0014607178085970119,989059.069403742
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,24,12288,fixed_reference,analysis-fixed_reference-102-24,False,36.333938434105335,0.9999993387764237,0.7241089287833201,0.00047527229386449193,1964790.8689160226
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,27,13824,on_policy,analysis-on_policy-102-27,False,32.82271102694029,0.9999999350941574,0.992509107817816,0.0024029385425625555,1678716.534571819
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,27,13824,fixed_reference,analysis-fixed_reference-102-27,False,32.82271102694029,0.9999986797309758,0.9860258690753124,0.00028784311238749387,3812778.2241457817
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,30,15360,on_policy,analysis-on_policy-102-30,False,8.089730619385044,0.9999999785110532,0.9887826042353595,0.017976962853807895,24295.320620720533
CartPole-v1,gpomdp_logbarrier_fixed,gpomdp_logbarrier_fixed,102,30,15360,fixed_reference,analysis-fixed_reference-102-30,False,8.089730619385044,0.999998598542795,0.961902892211021,0.00035574830549666304,762389.4335701955
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,0,0,on_policy,analysis-on_policy-101-0,False,22.7820391542493,0.9999999295732438,0.9556085231570005,0.001694082012927775,322602.68639325874
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,0,0,fixed_reference,analysis-fixed_reference-101-0,False,22.7820391542493,0.9999999312805815,0.907487390453039,0.001378174322445132,361498.46342840244
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,3,1536,on_policy,analysis-on_policy-101-3,False,21.65293118513833,0.9999999960817253,0.8687720404778019,0.019657827550302168,22974.468026730417
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,3,1536,fixed_reference,analysis-fixed_reference-101-3,False,21.65293118513833,0.9999999625415418,0.7023237313249032,0.0009044664440064762,374682.26929759025
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,6,3072,on_policy,analysis-on_policy-101-6,False,16.836027275549927,0.9999999747283855,0.9959832497612068,0.02365916793970606,82998.99934025535
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,6,3072,fixed_reference,analysis-fixed_reference-101-6,False,16.836027275549927,0.9999993496109227,0.46342039064622603,8.631051188620265e-05,1524109.015585606
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,7,3584,on_policy,analysis-on_policy-101-7,False,26.506762969589932,0.9999971575291919,0.975766205003312,0.00023307224889475438,20417212.634589054
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,7,3584,fixed_reference,analysis-fixed_reference-101-7,False,26.506762969589932,0.9999881784470204,0.4041094679247409,1.8912897831018886e-05,14881826.724387629
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,8,4096,on_policy,analysis-on_policy-101-8,False,7.377171712655796,0.9999998567586035,0.973641543608277,0.00024587276804116756,231686.1408332423
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,8,4096,fixed_reference,analysis-fixed_reference-101-8,False,7.377171712655796,0.9999991758111296,0.8645197100062715,0.0006596803873989222,69932.25001709329
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,9,4608,on_policy,analysis-on_policy-101-9,False,31.985584907276017,0.999999984958766,0.9989054911888434,0.015665116666038308,277601.5656855084
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,9,4608,fixed_reference,analysis-fixed_reference-101-9,False,31.985584907276017,0.9999999623674911,0.4242471596120389,0.001970912640045073,213505.65888978413
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,10,5120,on_policy,analysis-on_policy-101-10,False,17.025612082638084,0.9999999452175279,0.9973382237503409,0.006889775478419073,239963.1118354457
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,10,5120,fixed_reference,analysis-fixed_reference-101-10,False,17.025612082638084,0.999997780338378,0.010534232798209784,1.5962708779315831e-06,1834041.3954151452
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,12,6144,on_policy,analysis-on_policy-101-12,False,52.66748727438629,0.9999966927915376,0.9652985272777793,8.940883772140704e-05,31984782.920444224
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,12,6144,fixed_reference,analysis-fixed_reference-101-12,False,52.66748727438629,0.9999827913003897,0.913277475756983,7.167108537961534e-05,33181039.71258553
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,15,7680,on_policy,analysis-on_policy-101-15,False,10.212479012149558,0.9999997367588489,0.9788465406923196,0.00019099451947865057,536099.0717558493
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,15,7680,fixed_reference,analysis-fixed_reference-101-15,False,10.212479012149558,0.9999992497801118,0.9923784480156121,0.00011529664328229896,818302.6072991467
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,18,9216,on_policy,analysis-on_policy-101-18,False,13.236608745042865,0.9999992143774341,0.14515256912082294,3.1534476565032533e-05,769730.5552554033
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,18,9216,fixed_reference,analysis-fixed_reference-101-18,False,13.236608745042865,0.9999935456365363,0.03344335149508666,6.161396265500539e-07,8423828.637771562
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,21,10752,on_policy,analysis-on_policy-101-21,False,5.432058961525202,0.9999992144498441,0.02916506841875587,1.0937317270539016e-06,779714.9709749791
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,21,10752,fixed_reference,analysis-fixed_reference-101-21,False,5.432058961525202,0.9999987214268797,0.41961467591486923,8.039009352869345e-05,132881.2632915051
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,24,12288,on_policy,analysis-on_policy-101-24,False,3.0980669575874322,0.9999993469519375,0.88136524479127,0.0007744155482970107,48224.77854309036
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,24,12288,fixed_reference,analysis-fixed_reference-101-24,False,3.0980669575874322,0.9999888807568215,0.0040861342068478565,2.0064141899054514e-07,164954.5594950258
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,27,13824,on_policy,analysis-on_policy-101-27,False,4.85083049529196,0.9999994809692172,0.9857471411561931,0.00048789921109083906,109069.87052239108
CartPole-v1,gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,101,27,13824,fixed_reference,analysis-fixed_reference-101-27,False,4.85083049529196,0.9999986700965773,0.3458037040030007,1.749716011763704e-05,385711.8467954871
