seed,learning_rate,beta,checkpoint_update,batch_update,reward_trajectory_count,fisher_trajectory_count,reward_gradient_norm,status,fisher_surrogate_gradient_norm,barrier_gradient_norm,total_gradient_norm,barrier_to_reward_ratio,reward_barrier_cosine,domain_failure
103.0,0.02,2e-06,250.0,251.0,32.0,256.0,20.911375045776367,complete,11704.423828125,0.02340884692966938,20.93178939819336,0.0011194312246516347,0.8719089031219482,
104.0,0.02,2e-06,50.0,51.0,32.0,256.0,196.47691345214844,complete,15134171.0,30.268342971801758,212.82711791992188,0.15405546128749847,0.48562270402908325,
104.0,0.02,2e-06,100.0,101.0,32.0,256.0,82.23297882080078,complete,18010306.0,36.02061080932617,84.05427551269531,0.4380311965942383,-0.1678929626941681,
104.0,0.02,2e-06,150.0,151.0,32.0,256.0,36.79777908325195,complete,472205.25,0.9444104433059692,36.99490737915039,0.02566487528383732,0.19645248353481293,
104.0,0.02,2e-06,200.0,201.0,32.0,256.0,10.56252670288086,complete,82440.625,0.16488124430179596,10.571919441223145,0.015610018745064735,0.04918690025806427,
104.0,0.02,2e-06,250.0,251.0,32.0,256.0,14.97674560546875,complete,49844.43359375,0.09968886524438858,14.962544441223145,0.0066562434658408165,-0.14569957554340363,
105.0,0.02,2e-06,50.0,51.0,32.0,256.0,70.23357391357422,complete,20519002.0,41.038002014160156,88.59244537353516,0.5843074917793274,0.21367889642715454,
105.0,0.02,2e-06,100.0,101.0,32.0,256.0,201.04583740234375,complete,463537.96875,0.9270759224891663,200.61526489257812,0.004611266311258078,-0.46624481678009033,
105.0,0.02,2e-06,150.0,151.0,32.0,256.0,213.5994873046875,complete,16319.107421875,0.03263821452856064,213.58419799804688,0.00015280100342351943,-0.4687099754810333,
105.0,0.02,2e-06,200.0,201.0,32.0,256.0,30.62430763244629,complete,13680.1484375,0.02736029587686062,30.61292839050293,0.0008934176294133067,-0.4161797761917114,
105.0,0.02,2e-06,250.0,251.0,32.0,256.0,27.682350158691406,complete,9266.275390625,0.01853255182504654,27.679414749145508,0.0006694717449136078,-0.15870384871959686,
101.0,0.02,5e-05,50.0,51.0,32.0,256.0,242.7883758544922,complete,8240071.5,412.0035400390625,361.2650451660156,1.6969656944274902,-0.49075785279273987,
101.0,0.02,5e-05,100.0,101.0,32.0,256.0,185.58937072753906,complete,319799.28125,15.989964485168457,192.2744140625,0.08615776151418686,0.38252878189086914,
101.0,0.02,5e-05,150.0,151.0,32.0,256.0,116.0345687866211,complete,19545.76953125,0.9772884845733643,115.86515045166016,0.008422390557825565,-0.17744386196136475,
101.0,0.02,5e-05,200.0,201.0,32.0,256.0,76.27583312988281,complete,11553.330078125,0.5776664614677429,76.37383270263672,0.007573387585580349,0.1659473031759262,
101.0,0.02,5e-05,250.0,251.0,32.0,256.0,12.837078094482422,complete,4364.47412109375,0.2182237207889557,12.981852531433105,0.016999484971165657,0.6586626172065735,
102.0,0.02,5e-05,50.0,51.0,32.0,256.0,135.4779052734375,complete,4887110.0,244.35549926757812,263.79681396484375,1.803655743598938,-0.1280042976140976,
102.0,0.02,5e-05,100.0,101.0,32.0,256.0,161.60325622558594,complete,446424.15625,22.32120704650879,161.50936889648438,0.1381234973669052,-0.07326643168926239,
102.0,0.02,5e-05,150.0,151.0,32.0,256.0,107.42406463623047,complete,5642349.5,282.1174621582031,287.51416015625,2.6262035369873047,-0.1396709829568863,
102.0,0.02,5e-05,200.0,201.0,32.0,256.0,161.2096710205078,complete,556224.375,27.811214447021484,162.84173583984375,0.17251579463481903,-0.027277112007141113,
102.0,0.02,5e-05,250.0,251.0,32.0,256.0,42.5374870300293,complete,377283.96875,18.86419677734375,45.186092376708984,0.443472295999527,-0.07696124911308289,
103.0,0.02,5e-05,50.0,51.0,32.0,256.0,100.4166030883789,complete,11537751.0,576.8875732421875,635.6185302734375,5.7449421882629395,0.5276122689247131,
103.0,0.02,5e-05,100.0,101.0,32.0,256.0,251.90878295898438,complete,10414846.0,520.7422485351562,564.4888916015625,2.067185640335083,-0.060919564217329025,
103.0,0.02,5e-05,150.0,151.0,32.0,256.0,205.56124877929688,complete,2382622.0,119.1310806274414,236.26893615722656,0.5795405507087708,-0.01275335717946291,
103.0,0.02,5e-05,200.0,201.0,32.0,256.0,203.64239501953125,complete,1481718.375,74.0859146118164,200.8488311767578,0.3638039827346802,-0.21935032308101654,
103.0,0.02,5e-05,250.0,251.0,32.0,256.0,60.69144058227539,complete,1347316.125,67.36580657958984,86.85197448730469,1.1099721193313599,-0.08295616507530212,
104.0,0.02,5e-05,50.0,51.0,32.0,256.0,162.21237182617188,complete,18535856.0,926.7927856445312,981.6226196289062,5.71345329284668,0.26049843430519104,
104.0,0.02,5e-05,100.0,101.0,32.0,256.0,80.6925048828125,complete,6032900.0,301.64495849609375,299.2640075683594,3.7382030487060547,-0.1631442904472351,
104.0,0.02,5e-05,150.0,151.0,32.0,256.0,64.75633239746094,complete,3098407.5,154.92037963867188,163.8810272216797,2.3923587799072266,-0.06662207841873169,
104.0,0.02,5e-05,200.0,201.0,32.0,256.0,67.89863586425781,complete,84304.90625,4.215245723724365,66.82689666748047,0.06208144873380661,-0.2832869589328766,
104.0,0.02,5e-05,250.0,251.0,32.0,256.0,130.9767608642578,complete,48810.8984375,2.440544843673706,130.9852294921875,0.018633419647812843,-0.005849021486938,
105.0,0.02,5e-05,50.0,51.0,32.0,256.0,153.10939025878906,complete,3370475.5,168.52377319335938,248.78359985351562,1.1006755828857422,0.19475828111171722,
105.0,0.02,5e-05,100.0,101.0,32.0,256.0,101.57026672363281,complete,1207522.875,60.37614059448242,119.44527435302734,0.5944272875785828,0.02489841915667057,
105.0,0.02,5e-05,150.0,151.0,32.0,256.0,154.65565490722656,complete,326964.03125,16.348201751708984,163.0392608642578,0.10570710897445679,0.4738612771034241,
105.0,0.02,5e-05,200.0,201.0,32.0,256.0,110.64485931396484,complete,838576.125,41.92880630493164,125.20618438720703,0.37894943356513977,0.1806643009185791,
105.0,0.02,5e-05,250.0,251.0,32.0,256.0,21.4620304107666,complete,95081.7421875,4.754086971282959,21.38557243347168,0.22151151299476624,-0.1268099546432495,
101.0,0.02,5e-06,50.0,51.0,32.0,256.0,128.9226531982422,complete,7333999.0,36.66999435424805,137.18060302734375,0.28443408012390137,0.09019187092781067,
101.0,0.02,5e-06,100.0,101.0,32.0,256.0,88.8597640991211,complete,24147.26171875,0.12073629349470139,88.86100006103516,0.001358728506602347,0.009585167281329632,
101.0,0.02,5e-06,150.0,151.0,32.0,256.0,248.51649475097656,complete,681.6027221679688,0.0034080136101692915,248.5173797607422,1.3713430234929547e-05,0.2686980664730072,
101.0,0.02,5e-06,200.0,201.0,32.0,256.0,25.983884811401367,complete,2954.125,0.014770624227821827,25.973445892333984,0.0005684532807208598,-0.7067545652389526,
101.0,0.02,5e-06,250.0,251.0,32.0,256.0,14.62680435180664,complete,541.547119140625,0.0027077356353402138,14.624993324279785,0.00018512147653382272,-0.6690950393676758,
102.0,0.02,5e-06,50.0,51.0,32.0,256.0,154.49183654785156,complete,980761.8125,4.90380859375,155.6759033203125,0.031741537153720856,0.2265145629644394,
102.0,0.02,5e-06,100.0,101.0,32.0,256.0,52.34483337402344,complete,1625207.125,8.1260347366333,52.50577163696289,0.15524043142795563,-0.05778446048498154,
102.0,0.02,5e-06,150.0,151.0,32.0,256.0,61.333351135253906,complete,187958.65625,0.9397932887077332,61.17838668823242,0.015322712250053883,-0.17234188318252563,
102.0,0.02,5e-06,200.0,201.0,32.0,256.0,24.016490936279297,complete,813689.0625,4.068445205688477,24.002161026000977,0.16940215229988098,-0.08822230994701385,
102.0,0.02,5e-06,250.0,251.0,32.0,256.0,24.084400177001953,complete,352095.65625,1.7604782581329346,24.171663284301758,0.07309620827436447,0.013110258616507053,
103.0,0.02,5e-06,50.0,51.0,32.0,256.0,247.7191162109375,complete,3115865.25,15.579325675964355,247.28048706054688,0.06289108842611313,-0.05957576632499695,
103.0,0.02,5e-06,100.0,101.0,32.0,256.0,237.54849243164062,complete,220441.25,1.1022062301635742,237.94003295898438,0.004639920778572559,0.3532158136367798,
103.0,0.02,5e-06,150.0,151.0,32.0,256.0,19.231603622436523,complete,10234.5400390625,0.05117269977927208,19.23196029663086,0.0026608649641275406,0.005633141845464706,
103.0,0.02,5e-06,200.0,201.0,32.0,256.0,8.542487144470215,complete,2197.2109375,0.010986054316163063,8.539783477783203,0.001286048674955964,-0.24666953086853027,
103.0,0.02,5e-06,250.0,251.0,32.0,256.0,16.184785842895508,complete,5456.21484375,0.027281073853373528,16.166934967041016,0.0016855999128893018,-0.6547648310661316,
104.0,0.02,5e-06,50.0,51.0,32.0,256.0,47.03224563598633,complete,17122808.0,85.6140365600586,91.82747650146484,1.820326328277588,-0.1377718597650528,
104.0,0.02,5e-06,100.0,101.0,32.0,256.0,109.8232192993164,complete,7951793.0,39.75896453857422,105.28754425048828,0.3620269298553467,-0.2927369177341461,
