method,initialization,n_trajectories,n,successes,success_rate,success_rate_wilson95_low,success_rate_wilson95_high,finite_rate,final_return_mean,final_return_median,final_return_ci95_low,final_return_ci95_high,final_q_mean,final_q_median,final_q_ci95_low,final_q_ci95_high,final_pi1_good_mean,final_pi1_good_median,final_pi1_good_ci95_low,final_pi1_good_ci95_high,zero_s1_batch_fraction_mean,zero_s1_batch_fraction_median,zero_s1_batch_fraction_ci95_low,zero_s1_batch_fraction_ci95_high,delta_safe_positive_count,delta_safe_positive_rate,first_delta_safe_positive_update_median_when_reached
sampled_pg_logbarrier_fixed,adverse,32,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.3617523018079848,0.3617440111685515,0.3616859771148252,0.3618186265011444,0.07071685055325738,0.07073420126124638,0.07066475392350782,0.07076894718300694,0.017305096175733156,0.0172982224720919,0.017278341198049288,0.017331851153417024,0.3129,0.31,0.30417411574898784,0.3216258842510122,0,0.0,
sampled_npg_logbarrier_fixed,adverse,32,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.6357143047317568,0.6372789147170458,0.6302104219242893,0.6412181875392243,0.6454154744714592,0.6449650849043271,0.6360343714062676,0.6547965775366508,0.7796398752029475,0.7804728173122581,0.7750578306432402,0.7842219197626549,0.015199999999999998,0.01,0.014055106324857361,0.016344893675142635,100,1.0,19.0
sampled_pg_reward_only,adverse,128,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.4490662940766667,0.4490751046248134,0.4490522408732544,0.449080347280079,0.012508153355851039,0.012504988425625628,0.012501848851570173,0.012514457860131905,0.01588401403048376,0.0158819903261085,0.015879969707926832,0.015888058353040687,0.17269999999999996,0.17,0.1649412297005353,0.18045877029946464,0,0.0,
sampled_pg_logbarrier_handoff,adverse,128,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.41148582881162077,0.41149195554109574,0.41145468367996707,0.41151697394327447,0.03222746003693404,0.03222649562520774,0.03220868947200496,0.032246230601863116,0.016355913300953293,0.016360743106692006,0.016347234198200628,0.01636459240370596,0.0318,0.03,0.028140415284478325,0.03545958471552168,0,0.0,
sampled_npg_reward_only,adverse,128,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.0,0.4908247946131607,0.4905440692473243,0.49033802895488604,0.49131156027143535,0.0022302698771345733,0.002023702520757238,0.0020409685673483326,0.002419571186920814,0.015402155964122066,0.014804243008370648,0.015090585132512477,0.015713726795731655,0.49019562622619894,0.5,0.4655198096931716,0.5148714427592264,0,0.0,
sampled_npg_logbarrier_handoff,adverse,128,100,100,1.0,0.9630065017930143,1.0,0.0,0.9776795952483027,0.9765183423167568,0.975175443077059,0.9801837474195465,0.9709517804919341,0.9691728053620079,0.9674463093802832,0.974457251603585,0.9944432341310333,0.9948026271156972,0.9937432086995813,0.9951432595624853,0.0025512029401495995,0.0,0.001533221624466263,0.003569184255832936,100,1.0,22.0
sampled_pg_logbarrier_fixed,adverse,128,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.3618400952959041,0.36184525886346414,0.3618075394530341,0.3618726511387741,0.07062539995933093,0.07062317267102863,0.07060033374636425,0.0706504661722976,0.01732399871559552,0.017332112534419797,0.017309266243385663,0.01733873118780538,0.0266,0.03,0.023494913576734687,0.02970508642326531,0,0.0,
sampled_npg_logbarrier_fixed,adverse,128,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.6208376816250021,0.6198504242602743,0.6169000426400824,0.6247753206099218,0.6262377901967091,0.6269473012186995,0.6195691980651246,0.6329063823282937,0.7661903916634856,0.7655642918248264,0.7628788335271093,0.7695019497998619,0.002,0.0,0.001202314778674462,0.002797685221325538,100,1.0,22.0
sampled_pg_reward_only,uniform,4,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.3560229411666167,0.3546265467246281,0.3546822014379919,0.3573636808952415,0.34106209089866524,0.33854349802037054,0.33584031348686677,0.3462838683104637,0.4329168181887276,0.43023276480129463,0.42889092124625205,0.4369427151312032,0.19669999999999999,0.2,0.18805304528911998,0.20534695471088,20,0.2,95.0
sampled_pg_logbarrier_handoff,uniform,4,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.3543624757413197,0.3533519210598156,0.353094869687962,0.35563008179467737,0.3417095871454092,0.338634486110965,0.33700051258456637,0.3464186617062521,0.43032884986866515,0.42715889173456667,0.42653341888293644,0.43412428085439386,0.1956,0.2,0.18724179654496603,0.20395820345503396,19,0.19,96.0
sampled_npg_reward_only,uniform,4,100,33,0.33,0.24563122734128034,0.4269465620490947,0.01,0.6723563250424212,0.49999999981925386,0.6172902573281064,0.7274223927567359,0.5127893480219636,0.35218853798525596,0.43105318422072664,0.5945255118232007,0.6941113919035657,0.7852205392649487,0.63271915956723,0.7555036242399015,0.20334130083257257,0.1067629179331307,0.16166510214752788,0.24501749951761725,68,0.68,11.0
sampled_npg_logbarrier_handoff,uniform,4,100,31,0.31,0.22779697212376038,0.40626055719489407,0.12,0.7170293447614184,0.7945480360585685,0.6687010867243405,0.7653576027984964,0.5291019591737427,0.6368907573620572,0.44597354059201977,0.6122303777554656,0.7456007305185473,0.9663338597244456,0.6848931996973313,0.8063082613397632,0.2014421990721343,0.19817460317460317,0.17311931662717076,0.22976508151709782,92,0.92,15.0
sampled_pg_logbarrier_fixed,uniform,4,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.3497319351217863,0.3488057760629386,0.34857261936553247,0.35089125087804013,0.34424038954437614,0.3418235569317868,0.34064272077770996,0.3478380583110423,0.4229071380729214,0.419632653123807,0.4194998563674416,0.42631441977840123,0.1955,0.2,0.18729520062885577,0.20370479937114425,8,0.08,92.5
sampled_npg_logbarrier_fixed,uniform,4,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.95,0.5355899203829584,0.5464118656358097,0.505401574859073,0.5657782659068438,0.5145616899746951,0.5295646973596938,0.4664993544030656,0.5626240255463246,0.6321099630558547,0.7546691749040112,0.5896908947905777,0.6745290313211316,0.16910000000000003,0.175,0.14616725220745927,0.1920327477925408,95,0.95,16.0
sampled_pg_reward_only,uniform,32,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.3550751065173543,0.3551180110298412,0.3546111866934808,0.3555390263412278,0.3394925549401219,0.3390013675736704,0.33756016935197164,0.3414249405282722,0.4315533937576269,0.4315034561097624,0.43009381329007607,0.43301297422517776,0.0,0.0,0.0,0.0,1,0.01,96.0
sampled_pg_logbarrier_handoff,uniform,32,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.3534634876634922,0.35351912699634314,0.35301765307423233,0.3539093222527521,0.3407016102810565,0.3405613819542859,0.33893416461960224,0.34246905594251076,0.428771746281675,0.42877284796208254,0.427383778892462,0.43015971367088807,0.0,0.0,0.0,0.0,1,0.01,99.0
sampled_npg_reward_only,uniform,32,100,97,0.97,0.9154806357094724,0.9897454759759611,0.0,0.9853445856552547,0.9895626339075223,0.9817950960591346,0.9888940752513748,0.9747538612188209,0.9825362469977499,0.9686062708002111,0.9809014516374307,0.9986495170017772,0.9989595611164934,0.9982961543705254,0.9990028796330289,0.0,0.0,0.0,0.0,100,1.0,4.0
sampled_npg_logbarrier_handoff,uniform,32,100,86,0.86,0.7786281178903616,0.9147365634006086,0.0,0.9709237331408568,0.9847451771743236,0.9632470385526298,0.9786004277290837,0.9620775296947158,0.9774850831518067,0.9529837754645026,0.971171283924929,0.9921049015070764,0.9981614995391695,0.9890871384770541,0.9951226645370987,0.0,0.0,0.0,0.0,100,1.0,4.0
sampled_pg_logbarrier_fixed,uniform,32,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.34896237225285937,0.34887321581637454,0.348565742667284,0.3493590018384347,0.34348271621702225,0.3433723552233261,0.34216880734818894,0.34479662508585557,0.42095881162301957,0.42043079985999765,0.4197613842099412,0.42215623903609795,0.0,0.0,0.0,0.0,0,0.0,
sampled_npg_logbarrier_fixed,uniform,32,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.6357750535569505,0.6372793577163545,0.6302714761560005,0.6412786309579005,0.6460753813987195,0.6445182412096553,0.636829317447644,0.6553214453497949,0.779358676444606,0.7801283959286849,0.7747319521789134,0.7839854007102985,0.0,0.0,0.0,0.0,100,1.0,4.0
sampled_pg_reward_only,uniform,128,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.35472905755008727,0.3546690842788225,0.3545188277189959,0.35493928738117864,0.33889613312738637,0.3391210228048413,0.3380073707512882,0.3397848955034845,0.4308110537792753,0.43078122223782267,0.4301337118992189,0.4314883956593317,0.0,0.0,0.0,0.0,0,0.0,
sampled_pg_logbarrier_handoff,uniform,128,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.3532262359754009,0.35314517742107354,0.353023775042702,0.35342869690809986,0.34042247372206313,0.34059397932096525,0.33960689706756103,0.34123805037656524,0.42833601146940514,0.42838062540174937,0.4276927848012597,0.42897923813755057,0.0,0.0,0.0,0.0,0,0.0,
sampled_npg_reward_only,uniform,128,100,100,1.0,0.9630065017930143,1.0,0.0,0.9831903892188667,0.980450270940194,0.9813973754794384,0.984983402958295,0.9749543462685556,0.9723667508162479,0.9721172604523072,0.977791432084804,0.9969728521332157,0.9966106122722637,0.996604611801916,0.9973410924645155,0.0,0.0,0.0,0.0,100,1.0,4.0
sampled_npg_logbarrier_handoff,uniform,128,100,100,1.0,0.9630065017930143,1.0,0.0,0.9782880246326751,0.9766561443514793,0.9756951028486371,0.980880946416713,0.9720008991322385,0.9709242964510474,0.9684355526862731,0.9755662455782039,0.9944366289588388,0.9944956517487966,0.9936943874787606,0.995178870438917,0.0,0.0,0.0,0.0,100,1.0,4.0
sampled_pg_logbarrier_fixed,uniform,128,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.3487234423301382,0.3487711874908619,0.34853783874413996,0.3489090459161364,0.3432083689266917,0.34337067845468094,0.34257434940384385,0.34384238844953957,0.42041430571647026,0.4205465372243252,0.41984203811642934,0.4209865733165112,0.0,0.0,0.0,0.0,0,0.0,
sampled_npg_logbarrier_fixed,uniform,128,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.6210088327674993,0.6205631280541981,0.6170541834763072,0.6249634820586913,0.6262073587356265,0.6273959146949624,0.6195421149869238,0.6328726024843292,0.7665176583221744,0.7655643368943161,0.763200510088462,0.7698348065558869,0.0,0.0,0.0,0.0,100,1.0,4.0
