method,beta,seed,update,trajectory_count,parameter_count,numerical_rank,minimum_eigenvalue,minimum_eigenvalue_for_log,maximum_eigenvalue,smallest_singular_value,full_condition_number,log10_full_condition_number,effective_rank,components_90,mean_return,fisher_reconstruction_relative_error,eigenvalue_reconstruction_max_abs_error
reward_only,,105,100,4096,16,16,7.326071260825336e-12,7.326071260825336e-12,495.8108121006022,7.32577569655223e-12,67680315728742.32,13.830462376019897,1.9498889852845536,2,44.23533922212931,1.7774601635191805e-15,1.8995915951336428e-13
reward_only,,105,150,4096,16,16,1.357939201888973e-09,1.357939201888973e-09,1500.8249499095468,1.3579355687790803e-09,1105225449878.2585,12.043450876800424,1.5806801767455316,2,89.37553722028416,2.4514937639004285e-15,9.094947017729282e-13
reward_only,,105,200,4096,16,16,2.9250746024759633e-09,2.9250746024759633e-09,2067.973639703125,2.925074324855221e-09,706981570393.2511,11.84940809274904,1.487113585223347,1,90.67501020893678,1.6931382895891642e-15,2.2737367544323206e-12
reward_only,,105,250,4096,16,16,2.97946685605757e-09,2.97946685605757e-09,2506.091444550918,2.979471887992481e-09,841119345562.7738,11.92485762176943,1.4651880868326776,1,91.58000113029347,2.6920209599869646e-15,3.637978807091713e-12
beta_2e-6,2e-06,101,50,4096,16,15,2.7066054007387303e-13,2.7066054007387303e-13,171.62995335989507,2.7130056088944697e-13,632619235276233.2,14.801142392839463,2.1601919471866835,2,24.382107504026575,1.9307198237881578e-15,1.7053025658242404e-13
beta_2e-6,2e-06,101,100,4096,16,16,6.549234034131851e-10,6.549234034131851e-10,188.6982831441952,6.549238971504531e-10,288122458143.9366,11.459577111344807,2.388497591355113,2,59.29071418921262,1.1325222338791238e-15,3.2202883776946754e-14
beta_2e-6,2e-06,101,150,4096,16,16,5.101435343265317e-08,5.101435343265317e-08,517.5611279389129,5.101435434729757e-08,10145401908.16569,10.006269256203394,1.9490414554464528,2,86.02467723324533,1.9722785198127213e-15,9.094947017729282e-13
beta_2e-6,2e-06,101,200,4096,16,16,8.884724691107123e-08,8.884724691107123e-08,751.5510735852349,8.884724736605264e-08,8458912300.218239,9.927314522331837,1.7725768809593057,2,88.27997492999432,2.23209493348362e-15,9.094947017729282e-13
beta_2e-6,2e-06,101,250,4096,16,16,1.126723638543388e-07,1.126723638543388e-07,1081.343380008638,1.1267236267010098e-07,9597237107.512838,9.982146224533102,1.6354054475764654,2,89.77173087273212,2.3882457657790156e-15,1.8189894035458565e-12
beta_2e-6,2e-06,102,50,4096,16,16,2.4636125337655894e-12,2.4636125337655894e-12,196.80109313091327,2.463607233625332e-12,79883307064864.31,13.902456035796714,2.211908619071587,2,24.524207481227574,2.2963139953538046e-15,4.547473508864641e-13
beta_2e-6,2e-06,102,100,4096,16,16,6.378272126351675e-12,6.378272126351675e-12,296.7398404661774,6.37801610240532e-12,46525414125917.43,13.667690247505123,2.1808049408814707,2,42.107862908009906,1.6790758683565265e-15,2.8421709430404007e-13
beta_2e-6,2e-06,102,150,4096,16,16,3.8029305239584214e-11,3.8029305239584214e-11,692.1561894397571,3.8025493244533665e-11,18202425014940.68,13.260129250647159,1.9047007144983503,2,81.16477760111802,1.2715118215844073e-15,4.547473508864641e-13
beta_2e-6,2e-06,102,200,4096,16,16,7.472221530523941e-11,7.472221530523941e-11,1167.3991961905137,7.472175556411185e-11,15623283839856.73,13.193772322988014,1.605717511089457,2,88.99050626314174,1.91241491198748e-15,1.3642420526593924e-12
beta_2e-6,2e-06,102,250,4096,16,16,4.3604447821075165e-11,4.3604447821075165e-11,1542.3910300039652,4.360330030402441e-11,35373263474315.71,13.54867512889889,1.549516835936933,2,90.78357647890707,1.5101419784795143e-15,1.1084466677857563e-12
beta_2e-6,2e-06,103,50,4096,16,13,1.0009967656672788e-13,1.1650664420104674e-13,524.6992794100211,9.010212823664861e-14,5823383860944169.0,15.765175418511815,1.8042629278352473,2,4.772593648840411,2.2039416668732194e-15,4.547473508864641e-13
beta_2e-6,2e-06,103,100,4096,16,16,2.576056377573987e-10,2.576056377573987e-10,418.9806267842621,2.576047062980611e-10,1626447873586.1345,12.211240149034,2.023597118087469,2,64.1992230435931,1.0933129803891858e-15,3.979039320256561e-13
