method,beta,seed,update,mean_batch_return,return_rolling_10
reward_only,,101,179,89.0874,88.70009999999999
reward_only,,101,180,90.2315,88.76246
reward_only,,101,181,89.4512,88.81116
reward_only,,101,182,89.8077,88.90696999999999
reward_only,,101,183,89.4344,89.18285
reward_only,,101,184,89.5193,89.1807
reward_only,,101,185,89.3084,89.54097
reward_only,,101,186,90.4495,89.67812999999998
reward_only,,101,187,90.3403,89.75832
reward_only,,101,188,89.6544,89.72840999999998
reward_only,,101,189,89.2304,89.74271000000002
reward_only,,101,190,90.5313,89.77269
reward_only,,101,191,89.6661,89.79418000000001
reward_only,,101,192,89.5375,89.76716
reward_only,,101,193,88.7357,89.69729
reward_only,,101,194,90.0346,89.74882
reward_only,,101,195,90.1196,89.82994
reward_only,,101,196,90.0996,89.79495
reward_only,,101,197,90.8411,89.84503
reward_only,,101,198,88.9366,89.77324999999999
reward_only,,101,199,88.9434,89.74454999999999
reward_only,,101,200,90.1237,89.70379
reward_only,,101,201,89.5863,89.69581000000001
reward_only,,101,202,89.8937,89.73142999999999
reward_only,,101,203,89.6434,89.8222
reward_only,,101,204,89.6165,89.78039
reward_only,,101,205,89.9922,89.76765
reward_only,,101,206,89.7263,89.73032
reward_only,,101,207,90.0693,89.65314
reward_only,,101,208,90.1621,89.77569
reward_only,,101,209,89.9654,89.87789000000001
reward_only,,101,210,90.1164,89.87716000000002
reward_only,,101,211,90.3854,89.95707
reward_only,,101,212,90.5521,90.02291
reward_only,,101,213,89.8694,90.04551000000001
reward_only,,101,214,91.0204,90.1859
reward_only,,101,215,90.2649,90.21316999999999
reward_only,,101,216,90.1545,90.25599
reward_only,,101,217,90.1256,90.26162
reward_only,,101,218,90.3386,90.27927
reward_only,,101,219,91.0686,90.38959
reward_only,,101,220,90.1905,90.39700000000002
reward_only,,101,221,90.774,90.43586
reward_only,,101,222,89.8912,90.36977
reward_only,,101,223,90.8223,90.46506000000001
reward_only,,101,224,90.7506,90.43808
reward_only,,101,225,87.6227,90.17385999999999
reward_only,,101,226,90.6388,90.22229
reward_only,,101,227,90.5221,90.26194
reward_only,,101,228,89.1756,90.14564000000001
reward_only,,101,229,89.6156,90.00034
reward_only,,101,230,85.6992,89.55121
reward_only,,101,231,88.7268,89.34649
reward_only,,101,232,90.7507,89.43244
reward_only,,101,233,89.5828,89.30848999999999
reward_only,,101,234,89.3905,89.17248
reward_only,,101,235,90.2136,89.43157
reward_only,,101,236,90.9959,89.46727999999999
reward_only,,101,237,91.1157,89.52664
reward_only,,101,238,90.0155,89.61062999999999
reward_only,,101,239,91.3856,89.78763000000001
reward_only,,101,240,91.2621,90.34392
reward_only,,101,241,91.1579,90.58703
reward_only,,101,242,90.3668,90.54864
reward_only,,101,243,91.3182,90.72218000000001
reward_only,,101,244,91.0767,90.89079999999998
reward_only,,101,245,90.9391,90.96334999999999
reward_only,,101,246,91.516,91.01536
reward_only,,101,247,90.9438,90.99816999999999
reward_only,,101,248,90.9654,91.09316000000001
reward_only,,101,249,90.8464,91.03924
reward_only,,101,250,90.6545,90.97848
reward_only,,102,1,-15.7276,-15.7276
reward_only,,102,2,-2.6793,-9.20345
reward_only,,102,3,-8.7577,-9.054866666666667
reward_only,,102,4,-2.3073,-7.367975
reward_only,,102,5,-3.0251,-6.4994
reward_only,,102,6,0.376,-5.3535
reward_only,,102,7,9.3222,-3.2569714285714286
reward_only,,102,8,-3.4936,-3.2865499999999996
reward_only,,102,9,-4.0216,-3.368222222222222
reward_only,,102,10,15.7556,-1.4558399999999998
reward_only,,102,11,-1.4947,-0.032549999999999815
reward_only,,102,12,7.3851,0.9738900000000001
reward_only,,102,13,-2.1199,1.63767
reward_only,,102,14,4.3987,2.3082699999999994
reward_only,,102,15,9.9193,3.6027099999999996
reward_only,,102,16,3.1134,3.8764499999999997
reward_only,,102,17,-0.7866,2.8655699999999995
reward_only,,102,18,5.7915,3.7940799999999997
reward_only,,102,19,8.8289,5.079130000000001
reward_only,,102,20,12.4061,4.744180000000001
reward_only,,102,21,8.6055,5.7542
reward_only,,102,22,8.7205,5.88774
reward_only,,102,23,8.809,6.980630000000001
reward_only,,102,24,8.2844,7.369200000000001
reward_only,,102,25,1.7804,6.555309999999999
reward_only,,102,26,5.2152,6.76549
reward_only,,102,27,4.8147,7.325620000000001
reward_only,,102,28,1.1578,6.862249999999999
reward_only,,102,29,-4.8569,5.49367
reward_only,,102,30,15.4614,5.799199999999999
reward_only,,102,31,-1.3262,4.80603
reward_only,,102,32,11.7255,5.106529999999999
reward_only,,102,33,11.8965,5.41528
reward_only,,102,34,14.3631,6.023149999999999
reward_only,,102,35,18.5242,7.69753
reward_only,,102,36,1.1889,7.2949
reward_only,,102,37,26.9316,9.50659
reward_only,,102,38,-2.412,9.14961
reward_only,,102,39,7.2947,10.364769999999998
reward_only,,102,40,7.2045,9.539080000000002
reward_only,,102,41,14.3378,11.105479999999998
reward_only,,102,42,0.5503,9.987960000000001
reward_only,,102,43,23.1231,11.11062
reward_only,,102,44,15.0334,11.17765
reward_only,,102,45,12.6687,10.592099999999999
reward_only,,102,46,12.8977,11.76298
reward_only,,102,47,9.5487,10.02469
reward_only,,102,48,16.045,11.87039
reward_only,,102,49,9.6853,12.109449999999999
reward_only,,102,50,29.4622,14.335220000000001
reward_only,,102,51,21.4878,15.05022
reward_only,,102,52,7.886,15.78379
reward_only,,102,53,28.2415,16.29563
reward_only,,102,54,21.3522,16.92751
reward_only,,102,55,10.8856,16.749200000000002
reward_only,,102,56,28.448,18.304230000000004
reward_only,,102,57,15.0442,18.853779999999997
reward_only,,102,58,17.7708,19.02636
reward_only,,102,59,17.1976,19.77759
reward_only,,102,60,37.1034,20.541710000000002
reward_only,,102,61,19.1966,20.312589999999997
reward_only,,102,62,35.5184,23.075829999999996
reward_only,,102,63,21.3923,22.390909999999998
reward_only,,102,64,19.0077,22.156460000000003
reward_only,,102,65,14.0258,22.470480000000002
reward_only,,102,66,34.9174,23.11742
reward_only,,102,67,28.465,24.4595
reward_only,,102,68,30.3044,25.71286
reward_only,,102,69,8.056,24.7987
reward_only,,102,70,17.2192,22.810280000000002
reward_only,,102,71,27.3274,23.62336
reward_only,,102,72,34.5332,23.52484
reward_only,,102,73,19.3519,23.3208
reward_only,,102,74,24.534,23.873430000000003
reward_only,,102,75,17.3576,24.20661
reward_only,,102,76,34.4779,24.16266
reward_only,,102,77,32.3843,24.554589999999997
reward_only,,102,78,21.1506,23.63921
reward_only,,102,79,36.194,26.45301
reward_only,,102,80,38.3774,28.568830000000002
reward_only,,102,81,31.0375,28.939840000000004
reward_only,,102,82,28.1658,28.3031
reward_only,,102,83,19.8376,28.351670000000002
reward_only,,102,84,28.6659,28.764860000000006
reward_only,,102,85,23.9625,29.425349999999998
reward_only,,102,86,25.8837,28.565929999999998
reward_only,,102,87,22.7848,27.60598
reward_only,,102,88,29.5379,28.444709999999997
reward_only,,102,89,28.7615,27.701459999999997
reward_only,,102,90,31.6638,27.030099999999997
reward_only,,102,91,38.6285,27.789200000000005
reward_only,,102,92,42.2815,29.20077
reward_only,,102,93,35.2291,30.73992
reward_only,,102,94,44.2835,32.30168
reward_only,,102,95,30.2317,32.9286
reward_only,,102,96,26.9028,33.03051
reward_only,,102,97,34.0822,34.160250000000005
reward_only,,102,98,23.051,33.511559999999996
reward_only,,102,99,16.3055,32.26596
reward_only,,102,100,33.921,32.491679999999995
reward_only,,102,101,36.5193,32.28076
reward_only,,102,102,33.4724,31.399849999999997
reward_only,,102,103,59.4402,33.82096
reward_only,,102,104,34.6863,32.86124
reward_only,,102,105,27.2137,32.55944
reward_only,,102,106,51.5676,35.02592
reward_only,,102,107,19.1119,33.528890000000004
reward_only,,102,108,44.7025,35.69404
reward_only,,102,109,30.3265,37.096140000000005
reward_only,,102,110,43.9176,38.0958
reward_only,,102,111,42.8904,38.73291
reward_only,,102,112,55.7095,40.95662
reward_only,,102,113,30.3334,38.045939999999995
reward_only,,102,114,40.8453,38.66184
reward_only,,102,115,34.172,39.35767
reward_only,,102,116,40.5243,38.253339999999994
reward_only,,102,117,38.3592,40.17807
reward_only,,102,118,33.0227,39.01009
reward_only,,102,119,47.8738,40.76482
reward_only,,102,120,31.4533,39.51839
reward_only,,102,121,46.4833,39.87768
reward_only,,102,122,50.6766,39.37439
reward_only,,102,123,53.5868,41.69973
reward_only,,102,124,64.2638,44.041579999999996
reward_only,,102,125,36.148,44.239180000000005
reward_only,,102,126,50.5268,45.23943
reward_only,,102,127,55.8446,46.98797
reward_only,,102,128,45.7609,48.26179
reward_only,,102,129,53.9508,48.86949
reward_only,,102,130,45.909,50.31506
reward_only,,102,131,61.7727,51.843999999999994
reward_only,,102,132,49.1189,51.68823
reward_only,,102,133,46.2053,50.95008
reward_only,,102,134,44.1787,48.94157
reward_only,,102,135,46.3766,49.96443
reward_only,,102,136,45.2188,49.43363
reward_only,,102,137,50.9748,48.946650000000005
reward_only,,102,138,47.0169,49.072250000000004
reward_only,,102,139,64.9468,50.17185
reward_only,,102,140,51.1422,50.695170000000005
reward_only,,102,141,68.0861,51.32651
reward_only,,102,142,56.0743,52.02205
reward_only,,102,143,64.196,53.82111999999999
reward_only,,102,144,42.8688,53.690129999999996
reward_only,,102,145,52.9394,54.346410000000006
reward_only,,102,146,52.3746,55.06199
reward_only,,102,147,58.7212,55.83662999999999
reward_only,,102,148,75.0439,58.639329999999994
reward_only,,102,149,61.7398,58.318630000000006
reward_only,,102,150,67.2673,59.931140000000006
reward_only,,102,151,57.2167,58.8442
reward_only,,102,152,70.6446,60.30123
reward_only,,102,153,72.4525,61.12687999999999
reward_only,,102,154,58.1359,62.653589999999994
reward_only,,102,155,71.8003,64.53968
reward_only,,102,156,61.2929,65.43151
reward_only,,102,157,58.1292,65.37231
reward_only,,102,158,76.5617,65.52408999999999
reward_only,,102,159,65.8314,65.93325
reward_only,,102,160,68.8984,66.09636
reward_only,,102,161,70.9671,67.4714
reward_only,,102,162,59.6996,66.3769
reward_only,,102,163,51.4418,64.27583
reward_only,,102,164,69.0496,65.3672
reward_only,,102,165,65.3494,64.72211
reward_only,,102,166,78.0328,66.3961
reward_only,,102,167,63.9152,66.9747
reward_only,,102,168,75.946,66.91313
reward_only,,102,169,68.5836,67.18835
reward_only,,102,170,71.4485,67.44336
reward_only,,102,171,76.0896,67.95561000000001
reward_only,,102,172,76.2017,69.60582000000001
reward_only,,102,173,78.4459,72.30623
reward_only,,102,174,62.8416,71.68543
reward_only,,102,175,73.0028,72.45076999999999
reward_only,,102,176,75.0152,72.14901
reward_only,,102,177,66.994,72.45689000000002
reward_only,,102,178,79.3189,72.79418
reward_only,,102,179,78.1961,73.75543
reward_only,,102,180,69.236,73.53417999999999
reward_only,,102,181,79.7012,73.89534
reward_only,,102,182,80.9032,74.36549
reward_only,,102,183,73.1388,73.83478
reward_only,,102,184,86.2792,76.17854
reward_only,,102,185,76.1227,76.49053
reward_only,,102,186,84.3677,77.42578
reward_only,,102,187,82.5435,78.98073
reward_only,,102,188,76.4766,78.69649999999999
reward_only,,102,189,84.1485,79.29174
reward_only,,102,190,85.4384,80.91198
reward_only,,102,191,81.0981,81.05167
reward_only,,102,192,82.3576,81.19711000000001
reward_only,,102,193,86.0759,82.49082000000001
reward_only,,102,194,70.6922,80.93212
reward_only,,102,195,84.2221,81.74206
reward_only,,102,196,81.4852,81.45380999999999
reward_only,,102,197,81.1327,81.31273
reward_only,,102,198,83.1363,81.9787
reward_only,,102,199,87.5124,82.31509
reward_only,,102,200,80.8155,81.8528
reward_only,,102,201,86.9448,82.43747
reward_only,,102,202,83.7119,82.5729
reward_only,,102,203,85.7803,82.54334
reward_only,,102,204,85.2972,84.00384
reward_only,,102,205,84.6639,84.04802
reward_only,,102,206,86.1868,84.51818
reward_only,,102,207,85.5255,84.95746
reward_only,,102,208,85.004,85.14423000000001
reward_only,,102,209,86.8666,85.07964999999999
reward_only,,102,210,86.8807,85.68617
reward_only,,102,211,85.5547,85.54716
reward_only,,102,212,83.2596,85.50192999999999
reward_only,,102,213,83.0545,85.22935
reward_only,,102,214,82.4462,84.94425
reward_only,,102,215,86.0442,85.08228
reward_only,,102,216,84.3878,84.90238
reward_only,,102,217,86.3254,84.98236999999999
reward_only,,102,218,86.7811,85.16008000000001
reward_only,,102,219,79.7275,84.44617000000001
reward_only,,102,220,87.4562,84.50371999999999
reward_only,,102,221,85.5778,84.50603
reward_only,,102,222,87.4951,84.92958
reward_only,,102,223,83.1853,84.94266
reward_only,,102,224,85.8662,85.28466
reward_only,,102,225,87.2716,85.40740000000001
reward_only,,102,226,86.4488,85.61350000000002
reward_only,,102,227,88.1899,85.79995
reward_only,,102,228,83.5866,85.48049999999999
reward_only,,102,229,86.8873,86.19648
reward_only,,102,230,87.5117,86.20203000000001
reward_only,,102,231,84.5751,86.10176000000001
reward_only,,102,232,86.7623,86.02848
reward_only,,102,233,85.0578,86.21573000000001
reward_only,,102,234,87.6106,86.39017
reward_only,,102,235,87.0951,86.37252000000001
reward_only,,102,236,86.8796,86.4156
reward_only,,102,237,86.5338,86.24999
reward_only,,102,238,87.2357,86.6149
reward_only,,102,239,86.7863,86.6048
reward_only,,102,240,86.4973,86.50336
reward_only,,102,241,87.9569,86.84154
reward_only,,102,242,87.9583,86.96114
reward_only,,102,243,88.6939,87.32475
reward_only,,102,244,87.33,87.29669
reward_only,,102,245,88.2717,87.41435
reward_only,,102,246,88.3184,87.55823
reward_only,,102,247,88.2866,87.73351
reward_only,,102,248,88.0801,87.81795000000001
reward_only,,102,249,88.2559,87.96491
reward_only,,102,250,89.2951,88.24469
reward_only,,103,1,-16.4341,-16.4341
reward_only,,103,2,-13.4763,-14.955200000000001
reward_only,,103,3,-15.6998,-15.203400000000002
reward_only,,103,4,-9.4086,-13.754700000000001
reward_only,,103,5,-15.5007,-14.103900000000001
reward_only,,103,6,-12.3934,-13.818816666666669
reward_only,,103,7,-15.5776,-14.07007142857143
reward_only,,103,8,-11.6368,-13.765912499999999
reward_only,,103,9,-8.2269,-13.150466666666667
reward_only,,103,10,-7.8248,-12.617899999999999
reward_only,,103,11,-14.1892,-12.39341
reward_only,,103,12,-10.7382,-12.1196
