method,beta,seed,update,trajectory_count,parameter_count,numerical_rank,minimum_eigenvalue,minimum_eigenvalue_for_log,maximum_eigenvalue,smallest_singular_value,full_condition_number,log10_full_condition_number,effective_rank,components_90,mean_return,fisher_reconstruction_relative_error,eigenvalue_reconstruction_max_abs_error
reward_only,,104,100,4096,16,16,1.1951918085849363e-11,1.1951918085849363e-11,204.5983819360557,1.1952016541513683e-11,17118314823729.666,13.233461009244325,2.2112200309511154,2,12.9040539769438,1.1411473997992567e-15,2.2737367544323206e-13
reward_only,,104,150,4096,16,16,7.516525414372701e-10,7.516525414372701e-10,272.99383471861427,7.516529086009213e-10,363191350149.5623,11.560135496712903,2.3176109364263024,2,58.43345301343831,1.3315627215349557e-15,1.6919105005896995e-13
reward_only,,104,200,4096,16,16,2.1056579704008796e-09,2.1056579704008796e-09,686.3691382314639,2.105656913397391e-09,325964374283.5751,11.513170137192104,1.8686229405152683,2,85.91846252518957,1.6949677888073092e-15,5.684341886080801e-13
reward_only,,104,250,4096,16,16,4.7208322951657894e-09,4.7208322951657894e-09,974.94801285982,4.720833953717438e-09,206520293324.8889,11.314962733212733,1.6948391611056062,2,88.43508785192903,1.777623209938386e-15,1.1368683772161603e-12
reward_only,,105,50,4096,16,11,-9.441061397880787e-14,8.46562176928357e-14,381.25771045605046,8.553399046308947e-15,4.4573824790809304e+16,16.649079901626532,1.9113215482732235,2,8.196277035648937,1.3989970216777825e-15,2.2737367544323206e-13
reward_only,,105,100,4096,16,16,7.326071260825336e-12,7.326071260825336e-12,495.8108121006022,7.32577569655223e-12,67680315728742.32,13.830462376019897,1.9498889852845536,2,44.23533922212931,1.7774601635191805e-15,1.8995915951336428e-13
reward_only,,105,150,4096,16,16,1.357939201888973e-09,1.357939201888973e-09,1500.8249499095468,1.3579355687790803e-09,1105225449878.2585,12.043450876800424,1.5806801767455316,2,89.37553722028416,2.4514937639004285e-15,9.094947017729282e-13
reward_only,,105,200,4096,16,16,2.9250746024759633e-09,2.9250746024759633e-09,2067.973639703125,2.925074324855221e-09,706981570393.2511,11.84940809274904,1.487113585223347,1,90.67501020893678,1.6931382895891642e-15,2.2737367544323206e-12
reward_only,,105,250,4096,16,16,2.97946685605757e-09,2.97946685605757e-09,2506.091444550918,2.979471887992481e-09,841119345562.7738,11.92485762176943,1.4651880868326776,1,91.58000113029347,2.6920209599869646e-15,3.637978807091713e-12
beta_2e-6,2e-06,101,50,4096,16,15,1.5169382826246536e-14,4.4649224887886134e-14,201.08223256746547,1.60792860077773e-14,1.2505669248634866e+16,16.097106938226602,2.0574536795426743,2,14.767319417269526,3.3288122373500393e-15,8.242295734817162e-13
beta_2e-6,2e-06,101,100,4096,16,16,1.814041879013534e-11,1.814041879013534e-11,210.88212721587846,1.814016652374706e-11,11625148365634.648,13.06539850426868,2.2543851861134736,2,29.762339719767176,1.109199950620733e-15,5.684341886080802e-14
beta_2e-6,2e-06,101,150,4096,16,16,8.453188316699594e-09,8.453188316699594e-09,755.9612912159413,8.453188113554815e-09,89429133844.03993,10.951479024461612,1.8841178048924194,2,85.01106567847586,2.0840446432719353e-15,1.0231815394945443e-12
beta_2e-6,2e-06,101,200,4096,16,16,2.8275006070612923e-08,2.8275006070612923e-08,861.7026949311196,2.827500382791809e-08,30475776419.888386,10.483954778788462,1.7976673291549394,2,86.38596854453809,1.8969330307659844e-15,4.547473508864641e-13
beta_2e-6,2e-06,101,250,4096,16,16,2.0522314092472398e-08,2.0522314092472398e-08,1214.6051369649358,2.0522316969501e-08,59184600782.163445,10.772208722511703,1.6357815948904058,2,89.35426437050631,1.762765023436418e-15,9.094947017729282e-13
beta_2e-6,2e-06,102,50,4096,16,15,7.207750075585219e-13,7.207750075585219e-13,253.79062917037686,7.22373625992468e-13,351328758468575.3,14.545713700981944,2.1655294171213675,2,16.457284365343632,1.255018817728071e-15,1.1368683772161603e-13
beta_2e-6,2e-06,102,100,4096,16,16,4.815986030070236e-12,4.815986030070236e-12,207.34108495867352,4.815829756187537e-12,43054072809005.47,13.634014240918878,2.2278544434565624,2,33.84916245043836,1.189343958014357e-15,1.4210854715202004e-13
beta_2e-6,2e-06,102,150,4096,16,16,3.711677784081495e-11,3.711677784081495e-11,289.1421090538712,3.711778121584046e-11,7789854338881.562,12.89152933695223,2.167181882422615,2,58.52992972568421,1.4638317376258456e-15,2.2737367544323206e-13
