run_id,method,initialization,update,fisher,eigenvalue_1,eigenvalue_2,eigenvalue_3,eigenvalue_4,eigenvalue_5,eigenvalue_6,minimum_eigenvalue,maximum_eigenvalue,condition_number,trace,logdet,half_logdet,k90,k95,k99,effective_rank,stable_rank
adverse__reward_only__beta_0p0,reward_only,adverse,1000,policy,0.00036540006243835764,3.8774404879879425e-05,5.10501725401537e-06,5.961715372551857e-07,7.985107923002062e-08,9.36783928752151e-09,9.36783928752151e-09,0.00036540006243835764,39005.79965383171,0.0004099648750280252,-79.4193778767629,-39.70968893838145,2,2,3,1.4794062751973875,1.0114582802432652
adverse__reward_only__beta_0p0,reward_only,adverse,1000,joint,0.0004235410579539155,6.693572324739287e-05,5.841507484383179e-06,1.0248493610781582e-06,7.985107923002062e-08,9.36783928752151e-09,9.36783928752151e-09,0.0004235410579539155,45212.24638408304,0.0004974323569652871,-78.04921025046676,-39.02460512523338,2,2,3,1.6053793973638613,1.025172227292973
adverse__reward_only__beta_0p0,reward_only,adverse,1200,policy,0.000318265880568801,3.359616599270071e-05,4.4148856216528855e-06,5.153407563025621e-07,6.90224058171379e-08,8.097500421649688e-09,8.097500421649688e-09,0.000318265880568801,39304.21290474738,0.00035686939284569597,-80.2832332262211,-40.14161661311055,2,2,3,1.4773217117847801,1.0113380199463966
adverse__reward_only__beta_0p0,reward_only,adverse,1200,joint,0.00036906752683371353,5.798756382154108e-05,5.051817142231857e-06,8.859195337903887e-07,6.90224058171379e-08,8.097500421649688e-09,8.097500421649688e-09,0.00036906752683371353,45577.95709981873,0.0004330699472375157,-78.91276025364985,-39.456380126824925,2,2,3,1.6027153467395296,1.0248795772298493
adverse__reward_only__beta_0p0,reward_only,adverse,1400,policy,0.0002815989519229039,2.9604620170482087e-05,3.8838958400709665e-06,4.5317846948461057e-07,6.069497052603345e-08,7.120582933765347e-09,7.120582933765347e-09,0.0002815989519229039,39547.17676098957,0.0003156084619564013,-81.0459396621527,-40.52296983107635,2,2,3,1.4756884742922733,1.01124527261852
adverse__reward_only__beta_0p0,reward_only,adverse,1400,joint,0.00032665324551101147,5.109248620485326e-05,4.444225840920043e-06,7.790739398247422e-07,6.069497052603345e-08,7.120582933765347e-09,7.120582933765347e-09,0.00032665324551101147,45874.50894814282,0.00038303684705006926,-79.67523046334234,-39.83761523167117,2,2,3,1.6006409635063872,1.0246555409337568
adverse__reward_only__beta_0p0,reward_only,adverse,1600,policy,0.0002523174592282803,2.643974788764924e-05,3.463563418634007e-06,4.039908087700549e-07,5.4105840403855585e-08,6.347587917188146e-09,6.347587917188146e-09,0.0002523174592282803,39750.132258121106,0.00028268521477165464,-81.7280655546098,-40.8640327773049,2,2,3,1.4743706304485422,1.0111714877558862
adverse__reward_only__beta_0p0,reward_only,adverse,1600,joint,0.00029275893957872196,4.56268722591238e-05,3.963255048799272e-06,6.945274911004786e-07,5.4105840403855585e-08,6.347587917188146e-09,6.347587917188146e-09,0.00029275893957872196,46121.289440668086,0.0003431040478060665,-80.35716836329264,-40.17858418164632,2,2,3,1.5989773596542205,1.0244785688070572
adverse__reward_only__beta_0p0,reward_only,adverse,1800,policy,0.00022842672746313,2.3872287683695718e-05,3.1230702370966915e-06,3.6416040315892374e-07,4.8770333352770836e-08,5.721657478781135e-09,5.721657478781135e-09,0.00022842672746313,39923.17406455288,0.0002558407377779128,-82.34460367410087,-41.17230183705043,2,2,3,1.4732819154962076,1.011111314295956
adverse__reward_only__beta_0p0,reward_only,adverse,1800,joint,0.0002650898490127854,4.119387200040588e-05,3.57364099429921e-06,6.260634642200619e-07,4.8770333352770836e-08,5.721657478781135e-09,5.721657478781135e-09,0.0002650898490127854,46330.95392303291,0.000310537917462542,-80.97355340963593,-40.48677670481796,2,2,3,1.5976111991039323,1.0243352271652404
adverse__reward_only__beta_0p0,reward_only,adverse,2000,policy,0.00020858332291195296,2.1749778570034152e-05,2.8419551831095813e-06,3.3128660690167363e-07,4.4366802757421076e-08,5.205059180364272e-09,5.205059180364272e-09,0.00020858332291195296,40073.18950355439,0.00023355591513393614,-82.9067882975526,-41.4533941487763,2,2,3,1.4723650049341481,1.0110612382996784
adverse__reward_only__beta_0p0,reward_only,adverse,2000,joint,0.0002420983478799276,3.752971632570383e-05,3.2519709347317706e-06,5.69556076969283e-07,4.4366802757421076e-08,5.205059180364272e-09,5.205059180364272e-09,0.0002420983478799276,46512.122051028164,0.0002834991630792703,-81.53561101532098,-40.76780550766049,2,2,3,1.5964673131211315,1.0242167261905994
adverse__policy_fisher_logdet__beta_0p1,policy_fisher_logdet,adverse,0,policy,0.0011731042782619858,0.00013761736476765709,1.843824018871606e-05,2.162997844900483e-06,2.8980262671999194e-07,3.399687012567829e-08,3.399687012567829e-08,0.0011731042782619858,34506.24348433547,0.0013316466805601051,-71.83529755854804,-35.91764877927402,2,2,3,1.5189590261716879,1.0140122371333258
adverse__policy_fisher_logdet__beta_0p1,policy_fisher_logdet,adverse,0,joint,0.001346838691289284,0.00023852985803932215,2.1098076068979448e-05,3.717411767296082e-06,2.8980262671999194e-07,3.399687012567829e-08,3.399687012567829e-08,0.001346838691289284,39616.54959148721,0.0016105078366617268,-70.47088591871713,-35.235442959358565,2,2,3,1.6569216935685511,1.031618706621967
adverse__policy_fisher_logdet__beta_0p1,policy_fisher_logdet,adverse,200,policy,0.0035846503943458,0.0008520843892053616,0.0007341979855799131,0.00020332936902559798,6.931389763291794e-05,1.2489693314043714e-05,1.2489693314043714e-05,0.0035846503943458,287.0086802143598,0.005456065729103635,-49.283806450702656,-24.641903225351328,3,4,5,2.7950181403828664,1.1020565341291093
adverse__policy_fisher_logdet__beta_0p1,policy_fisher_logdet,adverse,200,joint,0.005883320409195609,0.0010660153779235928,0.000934021257589018,0.00025770341953653764,6.931389763291794e-05,1.2489693314043714e-05,1.2489693314043714e-05,0.005883320409195609,471.0540332147516,0.008222864055191717,-48.08664595722295,-24.043322978611474,3,3,4,2.4846019385578426,1.0600967373599866
adverse__policy_fisher_logdet__beta_0p1,policy_fisher_logdet,adverse,400,policy,0.003934813212006746,0.0018943054468461061,0.000679956640924364,0.0005001502935344118,0.0004074550803215954,0.00010558703022348358,0.00010558703022348358,0.003934813212006746,37.26606576279674,0.007522267703856708,-43.66243321364709,-21.831216606823546,4,5,6,3.6749913045166878,1.289228418015471
adverse__policy_fisher_logdet__beta_0p1,policy_fisher_logdet,adverse,400,joint,0.0062282793136866025,0.0027519760001469403,0.0007090808048784692,0.0005473396692779814,0.0004074550803215954,0.00010558703022348358,0.00010558703022348358,0.0062282793136866025,58.987162537898264,0.010749717898535073,-42.69762818395274,-21.34881409197637,3,4,5,3.207322115493155,1.2204845025845468
adverse__policy_fisher_logdet__beta_0p1,policy_fisher_logdet,adverse,600,policy,0.0036715558826002368,0.0024172070465130887,0.0007511172217317516,0.0005402819752660898,0.0005235575694939366,0.0002432511751306695,0.0002432511751306695,0.0036715558826002368,15.09368199610116,0.008146970870735772,-42.225930057268876,-21.112965028634438,4,5,6,4.0578055618647655,1.5216681730273336
adverse__policy_fisher_logdet__beta_0p1,policy_fisher_logdet,adverse,600,joint,0.0057210503326832265,0.0033274585997230405,0.0007511172217317516,0.0005638719797956058,0.0005468729810944905,0.0002432511751306695,0.0002432511751306695,0.0057210503326832265,23.51910665841592,0.011153622290158784,-41.37649146326893,-20.688245731634463,4,5,6,3.550676717820473,1.3761745733059645
adverse__policy_fisher_logdet__beta_0p1,policy_fisher_logdet,adverse,800,policy,0.0034441118073105913,0.0026732837535657023,0.0010854343222256977,0.0004879648441709698,0.0004581977399924122,0.0003468109736692314,0.0003468109736692314,0.0034441118073105913,9.930804007936004,0.008495803440934604,-41.70151958223488,-20.85075979111744,4,5,6,4.241391249680338,1.7497063539857383
adverse__policy_fisher_logdet__beta_0p1,policy_fisher_logdet,adverse,800,joint,0.0053658948959209385,0.0034731838528981596,0.0010854343222256977,0.0005091994551222265,0.00046887143921921367,0.0003468109736692314,0.0003468109736692314,0.0053658948959209385,15.472102393849347,0.011249394939055468,-40.93073413432427,-20.465367067162134,4,5,6,3.7485987336751596,1.4806952651747258
adverse__policy_fisher_logdet__beta_0p1,policy_fisher_logdet,adverse,1000,policy,0.0031103071430415626,0.0027433106729911755,0.001376797982486873,0.00043617324430178517,0.0003899517073899983,0.0003675244163800302,0.0003675244163800302,0.0031103071430415626,8.462858532439435,0.008424065166591424,-41.75529788974691,-20.877648944873457,4,5,6,4.312253282074129,2.0232271029982565
adverse__policy_fisher_logdet__beta_0p1,policy_fisher_logdet,adverse,1000,joint,0.004812874880296362,0.003318410801087961,0.001376797982486873,0.00044906340213252187,0.0003980411553459459,0.0003675244163800302,0.0003675244163800302,0.004812874880296362,13.095388131491429,0.010722712637729693,-41.07874717644738,-20.53937358822369,4,5,6,3.8839614703880305,1.57860162413887
adverse__policy_fisher_logdet__beta_0p1,policy_fisher_logdet,adverse,1200,policy,0.0026541849712469912,0.002533091890831252,0.0014356017095446456,0.0003684946507950092,0.00032583237352241175,0.00032459000053586745,0.00032459000053586745,0.0026541849712469912,8.177038623695069,0.007641795596476177,-42.42426306119389,-21.212131530596945,4,5,6,4.315983276955499,2.252689708057144
adverse__policy_fisher_logdet__beta_0p1,policy_fisher_logdet,adverse,1200,joint,0.003965684460690166,0.002872099581632435,0.0014356017095446456,0.000375779352767344,0.0003316147880667454,0.00032459000053586745,0.00032459000053586745,0.003965684460690166,12.217518882723422,0.009305369893237204,-41.859952639166345,-20.929976319583172,4,5,6,3.9755010614089397,1.678240008816145
adverse__policy_fisher_logdet__beta_0p1,policy_fisher_logdet,adverse,1400,policy,0.0022538918542250336,0.0022115074771881784,0.0013346429007084792,0.000307352416833921,0.00027649097243846217,0.0002742982953497882,0.0002742982953497882,0.0022538918542250336,8.216937153586192,0.006658183916743863,-43.31041152935322,-21.65520576467661,4,5,6,4.307700815601933,2.3618406526177025
adverse__policy_fisher_logdet__beta_0p1,policy_fisher_logdet,adverse,1400,joint,0.003210208352735215,0.002420156285674166,0.0013346429007084792,0.0003117861179762819,0.00028071108596498595,0.0002742982953497882,0.0002742982953497882,0.003210208352735215,11.703347804774076,0.007831803038408918,-42.83710619011545,-21.418553095057725,4,5,6,4.035152619790632,1.7655838816044476
adverse__policy_fisher_logdet__beta_0p1,policy_fisher_logdet,adverse,1600,policy,0.002004477190847777,0.0019845330393017616,0.0012397223765637613,0.0002677766065785427,0.00024602437748527726,0.00024128004741200924,0.00024128004741200924,0.002004477190847777,8.307679032510038,0.005983813638189129,-43.99260114713572,-21.99630057356786,4,5,6,4.298378360134691,2.410112421477507
adverse__policy_fisher_logdet__beta_0p1,policy_fisher_logdet,adverse,1600,joint,0.0027593396440056487,0.0021360482810796463,0.0012397223765637613,0.0002709693542751526,0.0002493828871312711,0.00024128004741200924,0.00024128004741200924,0.0027593396440056487,11.43625290861207,0.006896742590467489,-43.57400770344002,-21.78700385172001,4,5,6,4.065465572955956,1.8265672548237248
adverse__policy_fisher_logdet__beta_0p1,policy_fisher_logdet,adverse,1800,policy,0.0018704025773315536,0.001862623935736107,0.0011870157629028841,0.00024484961425326327,0.00022875878993116878,0.00022240105785033447,0.00022240105785033447,0.0018704025773315536,8.41004352861598,0.005616051738005311,-44.412420563319586,-22.206210281659793,4,5,6,4.286753184659341,2.4406900690606896
adverse__policy_fisher_logdet__beta_0p1,policy_fisher_logdet,adverse,1800,joint,0.0025274626885263135,0.001987529625923913,0.0011870157629028841,0.0002474923436461474,0.00023166195685525592,0.00022240105785033447,0.00022240105785033447,0.0025274626885263135,11.364436450779735,0.006403563435704848,-44.023105540303725,-22.011552770151862,4,5,6,4.075510189610987,1.86468439251201
adverse__policy_fisher_logdet__beta_0p1,policy_fisher_logdet,adverse,2000,policy,0.0018044999607705575,0.0018019334754008668,0.0011642274542183189,0.00023143362101217367,0.00021896611344873366,0.00021141827104422385,0.00021141827104422385,0.0018044999607705575,8.535212930547036,0.005432478895894875,-44.65154742710471,-22.325773713552355,4,5,6,4.273580311450051,2.4583151697118084
adverse__policy_fisher_logdet__beta_0p1,policy_fisher_logdet,adverse,2000,joint,0.002413340008706075,0.0019154160211831747,0.0011642274542183189,0.00023381857148688947,0.00022161527104366306,0.00021141827104422385,0.00021141827104422385,0.002413340008706075,11.415002103584792,0.006159835597682344,-44.27746640423877,-22.138733202119386,4,5,6,4.074508602357499,1.8881421239166527
adverse__joint_fisher_logdet__beta_0p1,joint_fisher_logdet,adverse,0,policy,0.0011731042782619858,0.00013761736476765709,1.843824018871606e-05,2.162997844900483e-06,2.8980262671999194e-07,3.399687012567829e-08,3.399687012567829e-08,0.0011731042782619858,34506.24348433547,0.0013316466805601051,-71.83529755854804,-35.91764877927402,2,2,3,1.5189590261716879,1.0140122371333258
