target_gradient_ratio,achieved_fisher_gradient_ratio,effective_fisher_beta,elapsed_seconds,fisher_gradient_norm,fisher_loss,fisher_rank,fisher_surrogate,gradient_cosine,gradient_norm,lambda_max,lambda_min,logdet,parameter_count,return,return_std,reward_gradient_norm,reward_loss,target_fisher_gradient_ratio,total_loss,unscaled_fisher_gradient_norm,update
0.2,0.1999999936283667,0.0003613951582423502,374.11593499896117,2.993500232696533,0.3580540420545986,16,-990.7549503319271,-0.10090438276529312,14.964795112609863,1037.8633490776238,6.641786818552382e-08,-70.39267962358585,16,88.65546270360178,3.1335183383907412,14.967501640319824,-5.9684624671936035,0.2,-5.6104084251390045,8283.177734375,192
0.2,0.20000000795391903,0.0004895586601354534,375.5492976499954,7.193995952606201,0.3925483942689449,16,-801.841385382362,-0.6723049879074097,31.585613250732422,1109.6057405993656,6.801320119208798e-08,-69.57224465025777,16,89.01237065872647,2.519926842202088,35.96997833251953,-1.965360164642334,0.2,-1.572811770373389,14694.859375,193
0.2,0.20000000544166988,0.0005287646492287748,376.96756824699696,1.752539873123169,0.35035476745905964,16,-662.5911319337754,-0.7198348641395569,7.599165916442871,1092.3534225623414,6.4106493731558e-08,-69.99959980513242,16,89.00632879493445,1.7205121046165122,8.762699127197266,0.7313568592071533,0.2,1.081711626666213,3314.404296875,194
0.2,0.1999999741499736,0.0008623708187476246,378.4856168660335,3.3203322887420654,0.5335286535340759,16,-618.6766086413861,0.6645046472549438,18.970998764038086,950.1607703573957,6.032204966138835e-08,-70.34088996594258,16,89.0827459776491,2.6452076795013686,16.60166358947754,-3.212552070617676,0.2,-2.6790234170836,3850.23779296875,195
0.2,0.20000001774660842,0.0015410761224196885,379.83783691597637,8.59814453125,1.2515779981438233,16,-812.1454741500272,-0.44762447476387024,39.88996505737305,1155.129305621457,6.149883628730025e-08,-70.33967145099683,16,89.3603934681978,2.342393032610309,42.990718841552734,-6.562202453613281,0.2,-5.310624455469458,5579.3115234375,196
0.2,0.2,0.0013928831517601103,381.09414359903894,5.008905410766602,0.7712698593601575,16,-553.7218670392746,0.26366090774536133,26.804244995117188,1088.4287300789397,5.7806875336555114e-08,-69.04981912741184,16,90.0696662559869,1.9601415748222117,25.044527053833008,2.482370615005493,0.2,3.2536404743656506,3596.070068359375,197
0.2,0.20000000571182736,0.0003341236858580188,382.3362810839899,6.678593635559082,0.2773044013320595,16,-829.9453557743169,-0.8635072112083435,27.830528259277344,1028.8816779090396,5.767228591544087e-08,-68.91094977869075,16,89.9054139515263,2.1930849428347865,33.392967224121094,0.730862557888031,0.2,1.0081669592200906,19988.38671875,198
0.2,0.19999999320932335,0.002399882127031158,383.72179259196855,5.617550849914551,2.631147658841526,16,-1096.3653711178147,-0.326526015996933,26.785024642944336,980.8201615024193,4.22934286318062e-08,-70.61039325393388,16,88.70315392084196,2.4358159989898556,28.08775520324707,-5.588440895080566,0.2,-2.9572932362390403,2340.76123046875,199
0.2,0.2000000115917452,0.000524042880462177,385.00266504799947,9.8726224899292,0.489448076602849,16,-933.9847841672474,-0.8493920564651489,41.307308197021484,1104.6852197839055,5.67728127826261e-08,-69.70319961344846,16,88.90770132189677,2.360828816446727,49.36310958862305,-4.2760114669799805,0.2,-3.7865633903771316,18839.33984375,200
0.2,0.2,0.0006386662017780221,386.41584035905544,4.021184921264648,0.6513876825798468,16,-1019.9188257753558,0.09981714189052582,20.893983840942383,1159.5801533128224,5.305873228123969e-08,-68.61703250877142,16,90.0925577584701,2.78615523928596,20.105924606323242,0.2443995475769043,0.2,0.8957872301567511,6296.22314453125,201
