target_gradient_ratio,update,checkpoint,trajectory_count,transition_count,parameter_count,fisher_dtype,score_dtype,numerical_rank,minimum_eigenvalue,maximum_eigenvalue,positive_condition_number,logdet_positive_spectrum,normalized_logdet_positive_spectrum,effective_rank,stable_rank,components_90,components_95,components_99,rank_tolerance,psd_tolerance,mean_return,std_return,mean_episode_length,elapsed_seconds
0.5,40.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_50pct/checkpoints/update_0040.pt,4096.0,374503.0,16.0,torch.float64,torch.float64,14.0,1.3357013669880629e-14,225.64888971774474,167884360810906.9,-178.3532894608154,-11.147080591300963,2.005346446782396,1.5958791178657565,2.0,2.0,2.0,8.016658971063774e-13,2.2564888971774474e-10,10.745568014341751,48.739655396562426,91.431396484375,28.007469975971617
0.5,80.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_50pct/checkpoints/update_0080.pt,4096.0,351079.0,16.0,torch.float64,torch.float64,12.0,-1.2745246836367958e-16,169.57143490871687,68325820843029.57,-140.5314240389932,-8.783214002437076,1.9978838179024763,1.4709822139512023,2.0,2.0,2.0,6.024387563340272e-13,1.6957143490871687e-10,19.706499323169268,54.17758325356498,85.712646484375,27.870101658045314
0.5,120.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_50pct/checkpoints/update_0120.pt,4096.0,322407.0,16.0,torch.float64,torch.float64,15.0,-6.749659466596577e-15,160.65154445356276,6780293936427.092,-172.1777704116456,-10.76111065072785,1.9357042974658103,1.1914563167299645,2.0,2.0,2.0,5.707489395005992e-13,1.6065154445356277e-10,29.72670735195552,56.159496678690424,78.712646484375,28.560108572943136
0.5,160.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_50pct/checkpoints/update_0160.pt,4096.0,292192.0,16.0,torch.float64,torch.float64,16.0,2.5704869513231624e-12,143.18439955461048,55703219765774.76,-154.17125658853425,-9.63570353678339,1.9125432900094825,1.1168251752373126,2.0,2.0,3.0,5.08693174888501e-13,1.4318439955461046e-10,44.13993113049338,52.76507582055677,71.3359375,28.401515854056925
0.5,200.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_50pct/checkpoints/update_0200.pt,4096.0,214165.0,16.0,torch.float64,torch.float64,16.0,5.5502240805316694e-11,132.78596692242235,2392443349957.5474,-109.86437560668494,-6.866523475417809,2.479660949846825,1.6518011515740587,2.0,3.0,4.0,4.717505210380407e-13,1.3278596692242234e-10,76.46804814901225,23.540677217122546,52.286376953125,27.55048083991278
0.5,240.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_50pct/checkpoints/update_0240.pt,4096.0,158888.0,16.0,torch.float64,torch.float64,16.0,6.82823838952491e-11,268.91474779651116,3938274155879.6323,-102.95076876899876,-6.434423048062422,2.183615854414312,1.0926245923693332,2.0,3.0,4.0,9.55377102927852e-13,2.6891474779651117e-10,86.07329886242817,6.062067738309631,38.791015625,19.893809283035807
0.5,250.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_50pct/checkpoints/update_0250.pt,4096.0,150181.0,16.0,torch.float64,torch.float64,16.0,5.789225720232682e-11,276.8917096367802,4782879836056.061,-102.6563876996046,-6.416024231225287,2.140435072606963,1.068680669524269,2.0,3.0,4.0,9.837169643730455e-13,2.768917096367802e-10,86.84968904021804,4.117143180882358,36.665283203125,15.604318298050202
0.05,40.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_5pct/checkpoints/update_0040.pt,4096.0,365008.0,16.0,torch.float64,torch.float64,14.0,1.9070206618569758e-13,196.25772683299397,81736175084626.25,-148.81673298609599,-9.301045811630999,2.116992815331846,1.8658124558538522,2.0,2.0,3.0,6.972475106898698e-13,1.9625772683299396e-10,13.814906948886005,51.54584509873557,89.11328125,28.10553240799345
0.05,80.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_5pct/checkpoints/update_0080.pt,4096.0,334129.0,16.0,torch.float64,torch.float64,16.0,3.670904429552656e-12,169.46852009428588,46165331554256.15,-151.11761547307194,-9.444850967066996,2.2911345938154843,1.509193377029103,2.0,2.0,3.0,6.02073129465047e-13,1.6946852009428588e-10,32.1235554525275,54.46036242863039,81.574462890625,27.42216750793159
0.05,120.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_5pct/checkpoints/update_0120.pt,4096.0,215999.0,16.0,torch.float64,torch.float64,16.0,2.457186608412448e-08,410.4409756205609,16703695772.041536,-93.55549383374752,-5.84721836460922,2.138576516993975,1.0689421659442495,2.0,3.0,4.0,1.4581792684273896e-12,4.104409756205609e-10,80.6374689960271,17.3668301792546,52.734130859375,26.556507137953304
0.05,160.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_5pct/checkpoints/update_0160.pt,4096.0,179374.0,16.0,torch.float64,torch.float64,16.0,3.668666462930552e-08,464.03328816116823,12648554804.58411,-88.95545498015956,-5.559715936259972,2.050765883062706,1.0429815167883296,2.0,3.0,4.0,1.648577410268957e-12,4.640332881611682e-10,83.71307674535888,6.574312915469428,43.79248046875,21.795845902059227
0.05,200.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_5pct/checkpoints/update_0200.pt,4096.0,154047.0,16.0,torch.float64,torch.float64,16.0,2.8597670715436542e-08,670.5390759897876,23447331870.558323,-83.56701596089204,-5.222938497555752,1.7832640821719,1.0153087379583396,2.0,3.0,4.0,2.382233347439167e-12,6.705390759897876e-10,87.08688868675833,4.473784971837088,37.609130859375,18.673879827954806
0.05,240.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_5pct/checkpoints/update_0240.pt,4096.0,135801.0,16.0,torch.float64,torch.float64,16.0,4.864622117205561e-08,833.6964081674739,17137947986.109627,-79.28613378076204,-4.955383361297628,1.7111847768203408,1.0101905099047854,2.0,3.0,4.0,2.9618846332634303e-12,8.336964081674739e-10,88.81521123553716,2.741081204076039,33.154541015625,15.709728976013139
0.05,250.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_5pct/checkpoints/update_0250.pt,4096.0,134423.0,16.0,torch.float64,torch.float64,16.0,5.8687382028674405e-08,908.5907866002523,15481876260.1528,-77.98825699696613,-4.874266062310383,1.6684941548098293,1.008328801091094,2.0,3.0,4.0,3.227962915986823e-12,9.085907866002523e-10,89.00459790181286,2.702083676282143,32.818115234375,15.412129031028599
