deterministic_return,entropy,mean_min_probability,method,seed,stochastic_return,update
-80.90625,0.27971428632736206,0.022974178194999695,reward_only,403,-90.125,600
-99.78125,0.23223382234573364,0.01897098496556282,reward_only,403,-83.84375,700
-87.25,0.20398007333278656,0.017200874164700508,reward_only,403,-84.78125,800
-122.65625,0.2017928510904312,0.016895020380616188,reward_only,403,-95.96875,900
-80.4375,0.19438894093036652,0.016627658158540726,reward_only,403,-87.59375,1000
-500.0,1.0794130563735962,0.24599295854568481,log_barrier,403,-500.0,0
-500.0,1.0961427688598633,0.3060843050479889,log_barrier,403,-499.3125,100
-500.0,1.0971386432647705,0.3142220377922058,log_barrier,403,-491.875,200
-199.34375,1.0875040292739868,0.28433510661125183,log_barrier,403,-414.125,300
-90.09375,1.0446174144744873,0.235270693898201,log_barrier,403,-235.53125,400
-90.40625,1.0505993366241455,0.24049513041973114,log_barrier,403,-267.96875,500
-79.6875,1.0478407144546509,0.2335899919271469,log_barrier,403,-232.8125,600
-87.53125,1.0459928512573242,0.2336530089378357,log_barrier,403,-233.125,700
-82.71875,1.046018123626709,0.238474503159523,log_barrier,403,-265.5,800
-199.34375,1.0489928722381592,0.2402682602405548,log_barrier,403,-247.3125,900
-87.5,1.0516008138656616,0.2400757521390915,log_barrier,403,-234.34375,1000
-500.0,1.044655442237854,0.20673246681690216,reward_only,404,-499.125,0
-500.0,0.8544220924377441,0.1571350246667862,reward_only,404,-166.15625,100
-85.9375,0.662792444229126,0.08724626153707504,reward_only,404,-106.625,200
-83.46875,0.43847474455833435,0.04539616405963898,reward_only,404,-104.6875,300
-83.78125,0.34744250774383545,0.03175230696797371,reward_only,404,-102.78125,400
-91.03125,0.2982200086116791,0.027101019397377968,reward_only,404,-80.53125,500
-84.46875,0.28888872265815735,0.025026746094226837,reward_only,404,-84.25,600
-80.25,0.24193213880062103,0.021182963624596596,reward_only,404,-88.53125,700
-94.34375,0.2118852287530899,0.017176344990730286,reward_only,404,-83.59375,800
-81.5625,0.18532930314540863,0.013887924142181873,reward_only,404,-103.75,900
-84.5625,0.1894460916519165,0.01565609499812126,reward_only,404,-84.46875,1000
-500.0,1.044655442237854,0.20673246681690216,log_barrier,404,-499.125,0
-82.34375,1.0543254613876343,0.2499610185623169,log_barrier,404,-259.65625,100
-271.8125,1.050381064414978,0.23609046638011932,log_barrier,404,-247.5,200
-82.90625,1.0194425582885742,0.22357653081417084,log_barrier,404,-208.5,300
-90.53125,1.047199010848999,0.23574969172477722,log_barrier,404,-249.78125,400
-85.375,1.0441418886184692,0.23940664529800415,log_barrier,404,-245.03125,500
-126.71875,1.0470386743545532,0.23345255851745605,log_barrier,404,-246.59375,600
-80.9375,1.0525966882705688,0.24493616819381714,log_barrier,404,-280.0625,700
-81.5,1.0359357595443726,0.23114460706710815,log_barrier,404,-225.125,800
-84.15625,1.0569738149642944,0.25081712007522583,log_barrier,404,-255.8125,900
-140.8125,1.0380680561065674,0.23384039103984833,log_barrier,404,-243.78125,1000
-500.0,1.0520427227020264,0.2561340034008026,reward_only,405,-500.0,0
-289.8125,0.9829992651939392,0.1597243845462799,reward_only,405,-223.03125,100
-125.4375,0.7476967573165894,0.07945355027914047,reward_only,405,-120.6875,200
-257.1875,0.5719192624092102,0.05006680265069008,reward_only,405,-116.78125,300
-82.46875,0.4840749502182007,0.03893560916185379,reward_only,405,-104.8125,400
-80.625,0.37909841537475586,0.03007092885673046,reward_only,405,-95.59375,500
-93.96875,0.33475419878959656,0.027154743671417236,reward_only,405,-94.40625,600
-81.3125,0.2986832559108734,0.02440231665968895,reward_only,405,-91.21875,700
-76.75,0.2621735632419586,0.021603278815746307,reward_only,405,-82.8125,800
-88.84375,0.21780794858932495,0.016844172030687332,reward_only,405,-84.59375,900
-82.84375,0.21243178844451904,0.01828688383102417,reward_only,405,-87.28125,1000
-500.0,1.0520427227020264,0.2561340034008026,log_barrier,405,-500.0,0
-500.0,1.0944029092788696,0.29940927028656006,log_barrier,405,-500.0,100
-500.0,1.094280481338501,0.3078978359699249,log_barrier,405,-498.90625,200
-376.625,1.091194748878479,0.29103362560272217,log_barrier,405,-460.46875,300
-104.59375,1.0352492332458496,0.22261346876621246,log_barrier,405,-210.6875,400
-82.25,1.043883204460144,0.23051774501800537,log_barrier,405,-241.21875,500
-95.34375,1.0442274808883667,0.23178263008594513,log_barrier,405,-235.65625,600
-82.1875,1.0381412506103516,0.2320346236228943,log_barrier,405,-221.25,700
-84.3125,1.035141110420227,0.230695441365242,log_barrier,405,-219.375,800
-84.78125,1.0423027276992798,0.2319357544183731,log_barrier,405,-252.5,900
-104.40625,1.0512046813964844,0.2447112649679184,log_barrier,405,-304.09375,1000
