actual_updates,complete,environment_step_return_auc,failure,final_deterministic_return,final_stochastic_return,final_stochastic_termination_rate,finite,initial_weight_identifier,invalid_reason,method,realized_kl_explosion_count,schema_version,seed,training_episodes,true_environment_steps
1000,True,-131.81698046709653,False,-79.65625,-81.9375,1.0,True,4cecae3712809b5d459d7b68bf0ac3fe620ae29ffd30af86e75b6cb232b3f6b9,,gpomdp_reward_only,0,1,725,8000,862295
1000,True,-183.9211828236689,False,-81.46875,-89.65625,1.0,True,4cecae3712809b5d459d7b68bf0ac3fe620ae29ffd30af86e75b6cb232b3f6b9,,gpomdp_logbarrier_handoff,0,1,725,8000,1123517
1000,True,-132.60048498245922,False,-192.0,-95.5625,1.0,True,4cecae3712809b5d459d7b68bf0ac3fe620ae29ffd30af86e75b6cb232b3f6b9,,npg_reward_only,6,1,725,8000,945511
1000,True,-189.49919048537166,False,-81.75,-122.09375,1.0,True,4cecae3712809b5d459d7b68bf0ac3fe620ae29ffd30af86e75b6cb232b3f6b9,,npg_logbarrier_handoff,6,1,725,8000,1268121
1000,True,-500.0,True,-500.0,-500.0,0.0,True,ab10ce9b887973f315aa3e1bc019be268c9b4c559bf95d626ec0a4f4e0689506,,gpomdp_reward_only,0,1,726,8000,3999882
1000,True,-226.06831742021566,False,-78.75,-81.75,1.0,True,ab10ce9b887973f315aa3e1bc019be268c9b4c559bf95d626ec0a4f4e0689506,,gpomdp_logbarrier_handoff,0,1,726,8000,1243759
1000,True,-344.50584069483614,False,-303.3125,-123.03125,1.0,True,ab10ce9b887973f315aa3e1bc019be268c9b4c559bf95d626ec0a4f4e0689506,,npg_reward_only,0,1,726,8000,1849911
1000,True,-237.3943599241732,False,-143.5625,-102.125,1.0,True,ab10ce9b887973f315aa3e1bc019be268c9b4c559bf95d626ec0a4f4e0689506,,npg_logbarrier_handoff,2,1,726,8000,1366799
1000,True,-132.91004776515317,False,-86.5,-85.9375,1.0,True,55b1dab7b92547b66400f3924860d8f6e93c0b6004989e2a660c365bdca906eb,,gpomdp_reward_only,0,1,727,8000,874042
1000,True,-189.55064221758468,False,-84.4375,-91.25,1.0,True,55b1dab7b92547b66400f3924860d8f6e93c0b6004989e2a660c365bdca906eb,,gpomdp_logbarrier_handoff,0,1,727,8000,1193039
1000,True,-132.67861907543656,False,-80.96875,-103.75,1.0,True,55b1dab7b92547b66400f3924860d8f6e93c0b6004989e2a660c365bdca906eb,,npg_reward_only,8,1,727,8000,950070
1000,True,-193.73503145876316,False,-85.78125,-111.0625,1.0,True,55b1dab7b92547b66400f3924860d8f6e93c0b6004989e2a660c365bdca906eb,,npg_logbarrier_handoff,2,1,727,8000,1238844
1000,True,-306.21192092586375,False,-89.0625,-82.6875,1.0,True,5822fff10cf77abf80a468d90481bf4e969376c2c07d1d4ee8c06dae3d5882db,,gpomdp_reward_only,0,1,728,8000,1435384
1000,True,-317.37133226180435,False,-93.03125,-95.21875,1.0,True,5822fff10cf77abf80a468d90481bf4e969376c2c07d1d4ee8c06dae3d5882db,,gpomdp_logbarrier_handoff,0,1,728,8000,1530601
1000,True,-205.38712134530098,False,-135.125,-167.03125,1.0,True,5822fff10cf77abf80a468d90481bf4e969376c2c07d1d4ee8c06dae3d5882db,,npg_reward_only,0,1,728,8000,1552214
1000,True,-250.72996345993658,False,-82.71875,-118.625,1.0,True,5822fff10cf77abf80a468d90481bf4e969376c2c07d1d4ee8c06dae3d5882db,,npg_logbarrier_handoff,1,1,728,8000,1459836
1000,True,-121.55111173953544,False,-78.21875,-82.84375,1.0,True,ebea3b0c91b407e51c9e83775978c4ad293ddd313334b6480babec11c8221ab6,,gpomdp_reward_only,0,1,729,8000,820173
1000,True,-173.21023791515793,False,-85.65625,-84.40625,1.0,True,ebea3b0c91b407e51c9e83775978c4ad293ddd313334b6480babec11c8221ab6,,gpomdp_logbarrier_handoff,0,1,729,8000,1118219
1000,True,-140.28673938648248,False,-449.59375,-115.59375,1.0,True,ebea3b0c91b407e51c9e83775978c4ad293ddd313334b6480babec11c8221ab6,,npg_reward_only,1,1,729,8000,1008113
1000,True,-196.50408170798113,False,-500.0,-136.75,1.0,True,ebea3b0c91b407e51c9e83775978c4ad293ddd313334b6480babec11c8221ab6,,npg_logbarrier_handoff,1,1,729,8000,1302974
1000,True,-127.83747183511849,False,-86.40625,-93.875,1.0,True,bb227a501a2cf586af8acb6d5058216d8e9764bca129c1e8b88aa1d7091ac194,,gpomdp_reward_only,0,1,730,8000,847354
1000,True,-179.34204599562867,False,-91.8125,-91.96875,1.0,True,bb227a501a2cf586af8acb6d5058216d8e9764bca129c1e8b88aa1d7091ac194,,gpomdp_logbarrier_handoff,0,1,730,8000,1163491
1000,True,-133.0147873697759,False,-108.625,-104.375,1.0,True,bb227a501a2cf586af8acb6d5058216d8e9764bca129c1e8b88aa1d7091ac194,,npg_reward_only,13,1,730,8000,948845
1000,True,-185.32858685252899,False,-314.25,-119.71875,0.96875,True,bb227a501a2cf586af8acb6d5058216d8e9764bca129c1e8b88aa1d7091ac194,,npg_logbarrier_handoff,4,1,730,8000,1267856
