update,true_environment_steps,training_return,training_episode_length,beta
523,695700,-88.0,89.0,0.0
524,696380,-84.0,85.0,0.0
525,697082,-86.75,87.75,0.0
526,697803,-89.125,90.125,0.0
527,698644,-104.125,105.125,0.0
528,699445,-99.125,100.125,0.0
529,700109,-82.0,83.0,0.0
530,700825,-88.5,89.5,0.0
531,701499,-83.25,84.25,0.0
532,702163,-82.0,83.0,0.0
533,702838,-83.375,84.375,0.0
534,703549,-87.875,88.875,0.0
535,704220,-82.875,83.875,0.0
536,704968,-92.5,93.5,0.0
537,705780,-100.5,101.5,0.0
538,706461,-84.125,85.125,0.0
539,707182,-89.125,90.125,0.0
540,707852,-82.75,83.75,0.0
541,708633,-96.625,97.625,0.0
542,709373,-91.5,92.5,0.0
543,710309,-116.0,117.0,0.0
544,711026,-88.625,89.625,0.0
545,711707,-84.125,85.125,0.0
546,712413,-87.25,88.25,0.0
547,713172,-93.875,94.875,0.0
548,713859,-84.875,85.875,0.0
549,714616,-93.625,94.625,0.0
550,715291,-83.375,84.375,0.0
551,716080,-97.625,98.625,0.0
552,716756,-83.5,84.5,0.0
553,717430,-83.25,84.25,0.0
554,718126,-86.0,87.0,0.0
555,718862,-91.0,92.0,0.0
556,719506,-79.5,80.5,0.0
557,720160,-80.75,81.75,0.0
558,720977,-101.125,102.125,0.0
559,721804,-102.375,103.375,0.0
560,722467,-81.875,82.875,0.0
561,723253,-97.25,98.25,0.0
562,724139,-109.75,110.75,0.0
563,724892,-93.125,94.125,0.0
564,725560,-82.5,83.5,0.0
565,726242,-84.25,85.25,0.0
566,726983,-91.625,92.625,0.0
567,727669,-84.75,85.75,0.0
568,728403,-90.75,91.75,0.0
569,729178,-95.875,96.875,0.0
570,729870,-85.5,86.5,0.0
571,730631,-94.125,95.125,0.0
572,731400,-95.125,96.125,0.0
573,732109,-87.625,88.625,0.0
574,732771,-81.75,82.75,0.0
575,733563,-98.0,99.0,0.0
576,734181,-76.25,77.25,0.0
577,734890,-87.625,88.625,0.0
578,735726,-103.5,104.5,0.0
579,736403,-83.625,84.625,0.0
580,737172,-95.125,96.125,0.0
581,737860,-85.0,86.0,0.0
582,738543,-84.375,85.375,0.0
583,739287,-92.0,93.0,0.0
584,739990,-86.875,87.875,0.0
585,740703,-88.125,89.125,0.0
586,741426,-89.375,90.375,0.0
587,742153,-89.875,90.875,0.0
588,742871,-88.75,89.75,0.0
589,743526,-80.875,81.875,0.0
590,744329,-99.375,100.375,0.0
591,745043,-88.25,89.25,0.0
592,745774,-90.375,91.375,0.0
593,746520,-92.25,93.25,0.0
594,747293,-95.625,96.625,0.0
595,748027,-90.75,91.75,0.0
596,748771,-92.0,93.0,0.0
597,749440,-82.625,83.625,0.0
598,750151,-87.875,88.875,0.0
599,750807,-81.0,82.0,0.0
600,751542,-90.875,91.875,0.0
601,752277,-90.875,91.875,0.0
602,753268,-122.875,123.875,0.0
603,753932,-82.0,83.0,0.0
604,754635,-86.875,87.875,0.0
605,755413,-96.25,97.25,0.0
606,756222,-100.125,101.125,0.0
607,757034,-100.5,101.5,0.0
608,757782,-92.5,93.5,0.0
609,758481,-86.375,87.375,0.0
610,759170,-85.125,86.125,0.0
611,759780,-75.25,76.25,0.0
612,760482,-86.75,87.75,0.0
613,761223,-91.625,92.625,0.0
614,761953,-90.25,91.25,0.0
615,762659,-87.25,88.25,0.0
616,763400,-91.625,92.625,0.0
617,764074,-83.25,84.25,0.0
618,764769,-85.875,86.875,0.0
619,765481,-88.0,89.0,0.0
620,766201,-89.0,90.0,0.0
621,766913,-88.0,89.0,0.0
622,767691,-96.25,97.25,0.0
623,768417,-89.75,90.75,0.0
624,769273,-106.0,107.0,0.0
625,770011,-91.25,92.25,0.0
626,770655,-79.5,80.5,0.0
627,771316,-81.625,82.625,0.0
628,772253,-116.125,117.125,0.0
629,773009,-93.5,94.5,0.0
630,773789,-96.5,97.5,0.0
631,774529,-91.5,92.5,0.0
632,775244,-88.375,89.375,0.0
633,775928,-84.5,85.5,0.0
634,776823,-110.875,111.875,0.0
635,777486,-81.875,82.875,0.0
636,778286,-99.0,100.0,0.0
637,779063,-96.125,97.125,0.0
638,779801,-91.25,92.25,0.0
639,780511,-87.75,88.75,0.0
640,781182,-82.875,83.875,0.0
641,781898,-88.5,89.5,0.0
642,782665,-94.875,95.875,0.0
643,783396,-90.375,91.375,0.0
644,784169,-95.625,96.625,0.0
645,784799,-77.75,78.75,0.0
646,785467,-82.5,83.5,0.0
647,786175,-87.5,88.5,0.0
648,786850,-83.375,84.375,0.0
649,787541,-85.375,86.375,0.0
650,788224,-84.375,85.375,0.0
651,788992,-95.0,96.0,0.0
652,789762,-95.25,96.25,0.0
653,790461,-86.375,87.375,0.0
654,791155,-85.75,86.75,0.0
655,791921,-94.75,95.75,0.0
656,792821,-111.5,112.5,0.0
657,793690,-107.625,108.625,0.0
658,794417,-89.875,90.875,0.0
659,795188,-95.375,96.375,0.0
660,795932,-92.0,93.0,0.0
661,796662,-90.25,91.25,0.0
662,797391,-90.125,91.125,0.0
663,798143,-93.0,94.0,0.0
664,798903,-94.0,95.0,0.0
665,799568,-82.125,83.125,0.0
666,800245,-83.625,84.625,0.0
667,801066,-101.625,102.625,0.0
668,801747,-84.125,85.125,0.0
669,802420,-83.125,84.125,0.0
670,803253,-103.125,104.125,0.0
671,803923,-82.75,83.75,0.0
672,804592,-82.625,83.625,0.0
673,805271,-83.875,84.875,0.0
674,805961,-85.25,86.25,0.0
675,806656,-85.875,86.875,0.0
676,807384,-90.0,91.0,0.0
677,808090,-87.25,88.25,0.0
678,808719,-77.625,78.625,0.0
679,809358,-78.875,79.875,0.0
680,810101,-91.875,92.875,0.0
681,810703,-74.25,75.25,0.0
682,811387,-84.5,85.5,0.0
683,812062,-83.375,84.375,0.0
684,812734,-83.0,84.0,0.0
685,813405,-82.875,83.875,0.0
686,814390,-122.125,123.125,0.0
687,814993,-74.375,75.375,0.0
688,815756,-94.375,95.375,0.0
689,816400,-79.5,80.5,0.0
690,817112,-88.0,89.0,0.0
691,817849,-91.125,92.125,0.0
692,818743,-110.75,111.75,0.0
693,819430,-84.875,85.875,0.0
694,820152,-89.25,90.25,0.0
695,820844,-85.5,86.5,0.0
696,821500,-81.0,82.0,0.0
697,822360,-106.5,107.5,0.0
698,822969,-75.125,76.125,0.0
699,823689,-89.0,90.0,0.0
700,824393,-87.0,88.0,0.0
701,825115,-89.25,90.25,0.0
702,825884,-95.125,96.125,0.0
703,826601,-88.625,89.625,0.0
704,827415,-100.75,101.75,0.0
705,828093,-83.75,84.75,0.0
706,828858,-94.625,95.625,0.0
707,829492,-78.25,79.25,0.0
708,830286,-98.25,99.25,0.0
709,831055,-95.125,96.125,0.0
710,831847,-98.0,99.0,0.0
711,832575,-90.0,91.0,0.0
712,833218,-79.375,80.375,0.0
713,833851,-78.125,79.125,0.0
714,834538,-84.875,85.875,0.0
715,835159,-76.625,77.625,0.0
716,836028,-107.625,108.625,0.0
717,836695,-82.375,83.375,0.0
718,837435,-91.5,92.5,0.0
719,838182,-92.375,93.375,0.0
720,838831,-80.125,81.125,0.0
721,839693,-106.75,107.75,0.0
722,840362,-82.625,83.625,0.0
723,841050,-85.0,86.0,0.0
724,841779,-90.125,91.125,0.0
725,842482,-86.875,87.875,0.0
726,843173,-85.375,86.375,0.0
727,843876,-86.875,87.875,0.0
728,844569,-85.625,86.625,0.0
729,845366,-98.625,99.625,0.0
730,846033,-82.375,83.375,0.0
731,846792,-93.875,94.875,0.0
732,847439,-79.875,80.875,0.0
733,848069,-77.75,78.75,0.0
734,848736,-82.375,83.375,0.0
735,849394,-81.25,82.25,0.0
736,850177,-96.875,97.875,0.0
737,850808,-77.875,78.875,0.0
738,851505,-86.125,87.125,0.0
739,852148,-79.375,80.375,0.0
740,852873,-89.625,90.625,0.0
741,853632,-93.875,94.875,0.0
742,854383,-92.875,93.875,0.0
743,855092,-87.625,88.625,0.0
744,855773,-84.125,85.125,0.0
745,856453,-84.0,85.0,0.0
746,857245,-98.0,99.0,0.0
747,858269,-127.0,128.0,0.0
748,858976,-87.375,88.375,0.0
749,859614,-78.75,79.75,0.0
