method,initialization,n_trajectories,n,successes,success_rate,success_rate_wilson95_low,success_rate_wilson95_high,finite_rate,final_return_mean,final_return_median,final_return_ci95_low,final_return_ci95_high,final_q_mean,final_q_median,final_q_ci95_low,final_q_ci95_high,final_pi1_good_mean,final_pi1_good_median,final_pi1_good_ci95_low,final_pi1_good_ci95_high,zero_s1_batch_fraction_mean,zero_s1_batch_fraction_median,zero_s1_batch_fraction_ci95_low,zero_s1_batch_fraction_ci95_high,delta_safe_positive_count,delta_safe_positive_rate,first_delta_safe_positive_update_median_when_reached
sampled_pg_logbarrier_handoff,uniform,4,100,100,1.0,0.9630065017930143,1.0,1.0,0.9570899802707952,0.9572498695265654,0.9568459906225253,0.957333969919065,0.9711924419131214,0.9713684982450059,0.9708924435908979,0.9714924402353449,0.9775370543248495,0.9775438638286553,0.9774457262409878,0.9776283824087112,0.04514000000000001,0.044,0.04342387103801483,0.0468561289619852,100,1.0,132.0
sampled_npg_reward_only,uniform,4,100,37,0.37,0.28182360534324524,0.4677947041905709,0.0,0.6478882770351199,0.5,0.5925363264580408,0.703240227612199,0.45344154986192636,0.3379790148965145,0.36566604137666936,0.5412170583471834,0.6554780208259339,0.6085772729350118,0.5951836979854501,0.7157723436664176,0.398290210303897,0.007528242717346129,0.30546032785003496,0.49112009275775903,65,0.65,11.0
sampled_npg_logbarrier_handoff,uniform,4,100,95,0.95,0.8882495307680808,0.9784563208456319,0.95,0.965,1.0,0.9345759939005034,0.9954240060994965,0.9666666666666666,1.0,0.937691422762384,0.9956419105709491,0.9666666666666666,1.0,0.937691422762384,0.9956419105709491,0.027999999999999997,0.017,0.021675875927556272,0.03432412407244372,95,0.95,22.0
sampled_pg_logbarrier_fixed,uniform,4,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.619145699496537,0.620006473448838,0.6170527973676619,0.621238601625412,0.6201539303399203,0.6227995755199578,0.6155500266398511,0.6247578340399894,0.7709031396492465,0.7713902764728698,0.7697015554679273,0.7721047238305657,0.055439999999999996,0.055,0.05360563398721296,0.057274366012787035,100,1.0,132.0
sampled_npg_logbarrier_fixed,uniform,4,100,0,0.0,3.469446951953614e-18,0.03699349820698568,0.95,0.6708382273575492,0.6912490811560377,0.652324050585778,0.6893524041293203,0.7317223375663392,0.7563461475037716,0.7102116044679547,0.7532330706647237,0.7822864189935766,0.8086727530306309,0.7611104824235692,0.8034623555635841,0.030100000000000002,0.01925,0.02375332492391871,0.03644667507608129,95,0.95,22.0
sampled_pg_reward_only,uniform,32,100,100,1.0,0.9630065017930143,1.0,1.0,0.9734892040590182,0.9734917354148276,0.9734093452545078,0.9735690628635285,0.9830896132514434,0.9831081100222523,0.9830074875949195,0.9831717389079673,0.9860990847539874,0.9861033389468294,0.9860574153358628,0.9861407541721121,0.0,0.0,0.0,0.0,100,1.0,116.0
sampled_pg_logbarrier_handoff,uniform,32,100,100,1.0,0.9630065017930143,1.0,1.0,0.9570214084816492,0.9570589704611525,0.9569229074220453,0.957119909541253,0.9712315763163228,0.971236410322484,0.971112642446433,0.9713505101862127,0.9774105859459108,0.977416750881337,0.9773728557783079,0.9774483161135137,0.0,0.0,0.0,0.0,100,1.0,133.0
sampled_npg_reward_only,uniform,32,100,100,1.0,0.9630065017930143,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,100,1.0,4.0
sampled_npg_logbarrier_handoff,uniform,32,100,100,1.0,0.9630065017930143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,100,1.0,4.0
sampled_pg_logbarrier_fixed,uniform,32,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.6161320279684468,0.6164830436121698,0.6152747091651748,0.6169893467717188,0.6204551450886993,0.6207810881539155,0.6186319773117755,0.622278312865623,0.7642727581369256,0.7641200581197559,0.7638019714237942,0.764743544850057,0.0,0.0,0.0,0.0,100,1.0,133.0
sampled_npg_logbarrier_fixed,uniform,32,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.6336427655245082,0.6357636152774051,0.6290057524289154,0.6382797786201009,0.6436827167041221,0.6457777006871008,0.6347349682794488,0.6526304651287955,0.7777610567280862,0.7801517866612325,0.7738848839397994,0.7816372295163729,0.0,0.0,0.0,0.0,100,1.0,4.0
sampled_pg_reward_only,uniform,128,100,100,1.0,0.9630065017930143,1.0,1.0,0.9734368197995028,0.973439154533799,0.9733948263367589,0.9734788132622467,0.983013153568407,0.9830342577140527,0.9829711959448687,0.9830551111919453,0.986095408424815,0.9860932406038543,0.98607397908653,0.9861168377631,0.0,0.0,0.0,0.0,100,1.0,117.0
sampled_pg_logbarrier_handoff,uniform,128,100,100,1.0,0.9630065017930143,1.0,1.0,0.9569939550594561,0.9570134583981119,0.9569501585287791,0.957037751590133,0.9711705223416152,0.9711840986565687,0.9711167489082609,0.9712242957749694,0.9774231814069353,0.9774296753631606,0.9774069763706171,0.9774393864432535,0.0,0.0,0.0,0.0,100,1.0,134.0
sampled_npg_reward_only,uniform,128,100,100,1.0,0.9630065017930143,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,100,1.0,4.0
sampled_npg_logbarrier_handoff,uniform,128,100,100,1.0,0.9630065017930143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,100,1.0,4.0
sampled_pg_logbarrier_fixed,uniform,128,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.6157573599685279,0.6158648291128462,0.6152935129884334,0.6162212069486224,0.6204291055143959,0.6203156144378108,0.6194877317830697,0.6213704792457221,0.7634865597531431,0.7635823338208951,0.7632075014465705,0.7637656180597157,0.0,0.0,0.0,0.0,100,1.0,134.0
sampled_npg_logbarrier_fixed,uniform,128,100,0,0.0,3.469446951953614e-18,0.03699349820698568,1.0,0.6209591125920757,0.6214135473344513,0.6169926977595055,0.6249255274246459,0.6260054663314535,0.6306849113252379,0.6194269591153719,0.632583973547535,0.7672981088842409,0.7673534511398628,0.7638091845834533,0.7707870331850285,0.0,0.0,0.0,0.0,100,1.0,4.0
