initialization,switch_time,checkpoint,update,population_return_mean,population_return_ci_lower,population_return_ci_upper,q_mean,q_ci_lower,q_ci_upper,pi1_a0_mean,pi1_a0_ci_lower,pi1_a0_ci_upper,near_optimal_failure_rate,failure_ci_lower,failure_ci_upper,numerical_failure_rate,numerical_failure_ci_lower,numerical_failure_ci_upper,empirical_fisher_rank_mean,rank_ci_lower,rank_ci_upper,empirical_fisher_full_rank_fraction,full_rank_ci_lower,full_rank_ci_upper,n_seeds
uniform,2000,switch_plus_250,2250,0.841684760523346,0.841078237197858,0.8422912838488339,0.8715207835794427,0.8707265238327928,0.8723150433260927,0.9163724007484109,0.91611207341045,0.9166327280863718,1.0,1.0,1.0,0.0,0.0,0.0,3.91,3.8529292597739966,3.9670707402260037,0.91,0.8529292597739963,0.9670707402260038,100
uniform,2000,final,4000,0.9797841938390691,0.9797519110845981,0.9798164765935401,0.9869803944357087,0.9869366003770907,0.9870241884943267,0.9893583570188745,0.989347013250239,0.9893697007875101,0.0,0.0,0.0,0.0,0.0,0.0,2.58,2.4564875166110722,2.703512483388928,0.07,0.01911824892943669,0.12088175107056331,100
uniform,2500,switch,2500,0.6174056508269374,0.616554143800175,0.6182571578536998,0.620939763145237,0.6191364296466861,0.6227430966437879,0.7649342776880406,0.7644522174465332,0.7654163379295479,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,100
uniform,2500,switch_plus_250,2750,0.8431705130474463,0.842543706513084,0.8437973195818086,0.8728432260549193,0.8719884227255927,0.8736980293842458,0.9170238038246257,0.9167860490523699,0.9172615585968814,1.0,1.0,1.0,0.0,0.0,0.0,3.92,3.8658983560630786,3.9741016439369212,0.92,0.865898356063079,0.9741016439369211,100
uniform,2500,final,4000,0.9728128036159602,0.9727627496413459,0.9728628575905746,0.9821006915942365,0.9820350010258543,0.9821663821626188,0.9856971852095424,0.9856806095856119,0.985713760833473,0.0,0.0,0.0,0.0,0.0,0.0,2.7,2.5723080606372117,2.8276919393627886,0.1,0.040173608400584655,0.15982639159941536,100
adverse,500,switch,500,0.30870068905627013,0.3085127114757889,0.30888866663675135,0.23889594613759077,0.23838852705074395,0.2394033652244376,0.059558510691037084,0.059144220077057066,0.0599728013050171,1.0,1.0,1.0,0.0,0.0,0.0,3.87,3.8029339301213327,3.9370660698786675,0.87,0.8029339301213327,0.9370660698786673,100
adverse,500,switch_plus_250,750,0.4121450612459583,0.411895733697677,0.41239438879423956,0.09085226885828364,0.090399742820581,0.09130479489598628,0.06532836596253726,0.06482106223898562,0.0658356696860889,1.0,1.0,1.0,0.0,0.0,0.0,3.47,3.355597505073945,3.5844024949260556,0.51,0.41030929145945294,0.6096907085405471,100
adverse,500,final,4000,0.49401794889747913,0.4940073068538963,0.49402859094106194,0.0038764502660397202,0.003858364926939013,0.0038945356051404275,0.07511301698733466,0.07432957975578951,0.07589645421887982,1.0,1.0,1.0,0.0,0.0,0.0,1.51,1.3594534237661322,1.6605465762338678,0.01,-0.009842169349613095,0.029842169349613097,100
adverse,1000,switch,1000,0.3588854064401733,0.3583307803589133,0.3594400325214333,0.30309866977281436,0.30158409758100874,0.30461324196462,0.2975421277011827,0.2949138337805508,0.3001704216218146,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,100
adverse,1000,switch_plus_250,1250,0.4427498982885831,0.44122495620350477,0.4442748403736614,0.23672076640532605,0.23084699598379588,0.24259453682685622,0.4906918525230984,0.4840498041517011,0.49733390089449564,1.0,1.0,1.0,0.0,0.0,0.0,3.98,3.9520810172536063,4.007918982746394,0.98,0.9520810172536062,1.007918982746394,100
adverse,1000,final,4000,0.9825441653138884,0.9823557578166532,0.9827325728111237,0.9885432428127977,0.9883916992712117,0.9886947863543837,0.990593630207928,0.9904823170336557,0.9907049433822003,0.0,0.0,0.0,0.0,0.0,0.0,2.52,2.3987623426710205,2.6412376573289795,0.06,0.012640064021030031,0.10735993597896996,100
adverse,1500,switch,1500,0.511648560556343,0.5100454782022124,0.5132516429104736,0.49227866398284026,0.4894823926990114,0.4950749352666691,0.6654820302985516,0.6634883160194378,0.6674757445776653,1.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,1.0,1.0,100
adverse,1500,switch_plus_250,1750,0.7793249577568175,0.7774770087372418,0.7811729067763933,0.8118394616247322,0.8095306684852402,0.8141482547642241,0.8831869174515057,0.8822691886357056,0.8841046462673058,1.0,1.0,1.0,0.0,0.0,0.0,3.99,3.970157830650387,4.009842169349613,0.99,0.9701578306503869,1.0098421693496131,100
adverse,1500,final,4000,0.9830288789958181,0.983000699093805,0.9830570588978312,0.9893659987699072,0.9893323247359372,0.9893996728038771,0.9910707311782585,0.9910594085729573,0.9910820537835597,0.0,0.0,0.0,0.0,0.0,0.0,2.47,2.352172549948208,2.5878274500517926,0.05,0.006537134143576297,0.09346286585642372,100
adverse,2000,switch,2000,0.5936076671203895,0.5926813912541916,0.5945339429865873,0.595467649537592,0.5935676272995272,0.5973676717756569,0.7491892225734021,0.7485961635793107,0.7497822815674936,1.0,1.0,1.0,0.0,0.0,0.0,3.99,3.970157830650387,4.009842169349613,0.99,0.9701578306503869,1.0098421693496131,100
adverse,2000,switch_plus_250,2250,0.8312425424114679,0.8305151571492607,0.8319699276736751,0.8634340073444221,0.8625098135815986,0.8643582011072456,0.9110414793689385,0.9107207156589573,0.9113622430789198,1.0,1.0,1.0,0.0,0.0,0.0,3.9,3.8401736084005846,3.959826391599415,0.9,0.8401736084005846,0.9598263915994154,100
