Device       : cpu

========== GPOMDP LOSS ==========
states shape  = (128, 500, 17)
actions shape = (128, 500, 6)
rewards shape = (128, 500)
returns shape = (128, 500)
mask shape    = (128, 500)
log_probs shape = (128, 500)
valid steps = 64000
objective = 35.595642
loss = -35.595642
========== END GPOMDP DEBUG ==========


========== NPG PRECONDITIONING ==========
Fisher condition number  : 7.981e+03
||nat_g|| / ||g||        : 11.921
========== END NPG DEBUG ==========

Iteration 0047 | train reward: 369.28 | best: 369.28 | KL: 2.508e-02 | std: 0.5423 | rollout: 5.077s | update: 0.137s | total: 5.215s | samples/s: 12273
Iteration 0048 | train reward: 380.53 | best: 380.53 | KL: 2.147e-02 | std: 0.5410 | rollout: 4.939s | update: 0.217s | total: 5.157s | samples/s: 12411
Iteration 0049 | train reward: 376.99 | best: 380.53 | KL: 3.563e-02 | std: 0.5392 | rollout: 5.098s | update: 0.135s | total: 5.233s | samples/s: 12231
Iteration 0050 | train reward: 417.79 | best: 417.79 | KL: 3.545e-02 | std: 0.5382 | rollout: 4.920s | update: 0.153s | total: 5.073s | samples/s: 12616
Iteration 0051 | train reward: 427.80 | best: 427.80 | KL: 3.322e-02 | std: 0.5332 | rollout: 5.080s | update: 0.139s | total: 5.219s | samples/s: 12263
Iteration 0052 | train reward: 424.01 | best: 427.80 | KL: 3.705e-02 | std: 0.5330 | rollout: 4.950s | update: 0.147s | total: 5.097s | samples/s: 12557
Iteration 0053 | train reward: 460.62 | best: 460.62 | KL: 4.054e-02 | std: 0.5315 | rollout: 4.959s | update: 0.137s | total: 5.096s | samples/s: 12558
Iteration 0054 | train reward: 485.02 | best: 485.02 | KL: 3.518e-02 | std: 0.5288 | rollout: 5.013s | update: 0.211s | total: 5.224s | samples/s: 12251
Iteration 0055 | train reward: 508.84 | best: 508.84 | KL: 2.987e-02 | std: 0.5262 | rollout: 4.859s | update: 0.163s | total: 5.022s | samples/s: 12745
Iteration 0056 | train reward: 513.10 | best: 513.10 | KL: 3.421e-02 | std: 0.5260 | rollout: 4.908s | update: 0.230s | total: 5.138s | samples/s: 12456
Iteration 0057 | train reward: 508.85 | best: 513.10 | KL: 4.228e-02 | std: 0.5234 | rollout: 4.879s | update: 0.158s | total: 5.037s | samples/s: 12706
Iteration 0058 | train reward: 508.01 | best: 513.10 | KL: 3.539e-02 | std: 0.5189 | rollout: 5.007s | update: 0.132s | total: 5.140s | samples/s: 12453
Iteration 0059 | train reward: 506.91 | best: 513.10 | KL: 6.305e-02 | std: 0.5163 | rollout: 5.216s | update: 0.149s | total: 5.365s | samples/s: 11930
Iteration 0060 | train reward: 515.37 | best: 515.37 | KL: 4.722e-02 | std: 0.5138 | rollout: 4.640s | update: 0.139s | total: 4.779s | samples/s: 13392
Iteration 0061 | train reward: 515.12 | best: 515.37 | KL: 8.418e-02 | std: 0.5102 | rollout: 4.905s | update: 0.270s | total: 5.175s | samples/s: 12367
Iteration 0062 | train reward: 521.33 | best: 521.33 | KL: 1.198e-01 | std: 0.5078 | rollout: 5.044s | update: 0.162s | total: 5.206s | samples/s: 12294
Iteration 0063 | train reward: 519.97 | best: 521.33 | KL: 9.092e-02 | std: 0.5059 | rollout: 4.933s | update: 0.207s | total: 5.139s | samples/s: 12453
Iteration 0064 | train reward: 513.45 | best: 521.33 | KL: 6.350e-02 | std: 0.5035 | rollout: 4.964s | update: 0.146s | total: 5.110s | samples/s: 12525
Iteration 0065 | train reward: 571.77 | best: 571.77 | KL: 8.319e-02 | std: 0.5007 | rollout: 4.662s | update: 0.140s | total: 4.802s | samples/s: 13329
Iteration 0066 | train reward: 577.38 | best: 577.38 | KL: 7.554e-02 | std: 0.4976 | rollout: 5.000s | update: 0.146s | total: 5.146s | samples/s: 12437
Iteration 0067 | train reward: 583.63 | best: 583.63 | KL: 5.775e-02 | std: 0.4920 | rollout: 5.316s | update: 0.150s | total: 5.466s | samples/s: 11709
Iteration 0068 | train reward: 632.49 | best: 632.49 | KL: 4.480e-02 | std: 0.4872 | rollout: 5.290s | update: 0.154s | total: 5.444s | samples/s: 11756
Iteration 0069 | train reward: 622.56 | best: 632.49 | KL: 9.179e-02 | std: 0.4844 | rollout: 5.060s | update: 0.153s | total: 5.212s | samples/s: 12278
Iteration 0070 | train reward: 632.66 | best: 632.66 | KL: 7.741e-02 | std: 0.4837 | rollout: 4.882s | update: 0.201s | total: 5.083s | samples/s: 12592
Iteration 0071 | train reward: 649.94 | best: 649.94 | KL: 7.204e-02 | std: 0.4816 | rollout: 4.972s | update: 0.145s | total: 5.116s | samples/s: 12509
Iteration 0072 | train reward: 667.97 | best: 667.97 | KL: 4.224e-02 | std: 0.4809 | rollout: 4.952s | update: 0.166s | total: 5.118s | samples/s: 12504
Iteration 0073 | train reward: 673.41 | best: 673.41 | KL: 4.934e-02 | std: 0.4800 | rollout: 4.961s | update: 0.151s | total: 5.112s | samples/s: 12519
Iteration 0074 | train reward: 685.12 | best: 685.12 | KL: 5.069e-02 | std: 0.4783 | rollout: 4.789s | update: 0.152s | total: 4.941s | samples/s: 12953
Iteration 0075 | train reward: 684.91 | best: 685.12 | KL: 4.291e-02 | std: 0.4758 | rollout: 5.056s | update: 0.140s | total: 5.196s | samples/s: 12317
Iteration 0076 | train reward: 689.87 | best: 689.87 | KL: 5.628e-02 | std: 0.4749 | rollout: 4.932s | update: 0.220s | total: 5.152s | samples/s: 12422
Iteration 0077 | train reward: 696.42 | best: 696.42 | KL: 8.506e-02 | std: 0.4716 | rollout: 4.910s | update: 0.151s | total: 5.061s | samples/s: 12645
Iteration 0078 | train reward: 722.34 | best: 722.34 | KL: 5.798e-02 | std: 0.4697 | rollout: 5.444s | update: 0.257s | total: 5.700s | samples/s: 11227
Iteration 0079 | train reward: 717.26 | best: 722.34 | KL: 6.412e-02 | std: 0.4687 | rollout: 4.824s | update: 0.167s | total: 4.991s | samples/s: 12823
Iteration 0080 | train reward: 710.28 | best: 722.34 | KL: 6.069e-02 | std: 0.4679 | rollout: 4.723s | update: 0.143s | total: 4.866s | samples/s: 13152
Iteration 0081 | train reward: 731.07 | best: 731.07 | KL: 8.136e-02 | std: 0.4671 | rollout: 4.916s | update: 0.225s | total: 5.141s | samples/s: 12449
Iteration 0082 | train reward: 727.56 | best: 731.07 | KL: 9.043e-02 | std: 0.4617 | rollout: 4.720s | update: 0.148s | total: 4.868s | samples/s: 13147
Iteration 0083 | train reward: 742.79 | best: 742.79 | KL: 6.047e-02 | std: 0.4626 | rollout: 4.928s | update: 0.143s | total: 5.071s | samples/s: 12620
Iteration 0084 | train reward: 760.68 | best: 760.68 | KL: 8.327e-02 | std: 0.4617 | rollout: 4.943s | update: 0.145s | total: 5.088s | samples/s: 12580
Iteration 0085 | train reward: 775.92 | best: 775.92 | KL: 8.821e-02 | std: 0.4600 | rollout: 4.850s | update: 0.140s | total: 4.990s | samples/s: 12826
Iteration 0086 | train reward: 762.44 | best: 775.92 | KL: 1.018e-01 | std: 0.4584 | rollout: 5.088s | update: 0.143s | total: 5.232s | samples/s: 12233
Iteration 0087 | train reward: 738.74 | best: 775.92 | KL: 1.234e-01 | std: 0.4555 | rollout: 4.827s | update: 0.141s | total: 4.968s | samples/s: 12883
Iteration 0088 | train reward: 774.15 | best: 775.92 | KL: 8.662e-02 | std: 0.4539 | rollout: 4.936s | update: 0.212s | total: 5.148s | samples/s: 12431
Iteration 0089 | train reward: 770.81 | best: 775.92 | KL: 1.057e-01 | std: 0.4540 | rollout: 4.731s | update: 0.197s | total: 4.928s | samples/s: 12986
Iteration 0090 | train reward: 739.96 | best: 775.92 | KL: 8.003e-02 | std: 0.4513 | rollout: 4.988s | update: 0.151s | total: 5.139s | samples/s: 12453
Iteration 0091 | train reward: 755.63 | best: 775.92 | KL: 7.126e-02 | std: 0.4529 | rollout: 4.956s | update: 0.146s | total: 5.102s | samples/s: 12544
Iteration 0092 | train reward: 750.67 | best: 775.92 | KL: 1.440e-01 | std: 0.4533 | rollout: 4.956s | update: 0.170s | total: 5.126s | samples/s: 12485
Iteration 0093 | train reward: 738.36 | best: 775.92 | KL: 9.512e-02 | std: 0.4550 | rollout: 5.013s | update: 0.324s | total: 5.337s | samples/s: 11992
Iteration 0094 | train reward: 725.77 | best: 775.92 | KL: 9.172e-02 | std: 0.4529 | rollout: 4.883s | update: 0.158s | total: 5.041s | samples/s: 12696
Iteration 0095 | train reward: 739.15 | best: 775.92 | KL: 8.212e-02 | std: 0.4531 | rollout: 4.805s | update: 0.163s | total: 4.967s | samples/s: 12884
Iteration 0096 | train reward: 769.75 | best: 775.92 | KL: 6.388e-02 | std: 0.4506 | rollout: 4.856s | update: 0.147s | total: 5.003s | samples/s: 12793
Iteration 0097 | train reward: 781.54 | best: 781.54 | KL: 7.719e-02 | std: 0.4515 | rollout: 4.680s | update: 0.157s | total: 4.837s | samples/s: 13231
Iteration 0098 | train reward: 773.33 | best: 781.54 | KL: 6.183e-02 | std: 0.4513 | rollout: 4.813s | update: 0.143s | total: 4.956s | samples/s: 12913
Iteration 0099 | train reward: 788.61 | best: 788.61 | KL: 6.633e-02 | std: 0.4505 | rollout: 4.753s | update: 0.144s | total: 4.896s | samples/s: 13071
Iteration 0100 | train reward: 795.45 | best: 795.45 | KL: 1.317e-01 | std: 0.4496 | rollout: 4.971s | update: 0.144s | total: 5.115s | samples/s: 12512
Iteration 0101 | train reward: 808.62 | best: 808.62 | KL: 1.094e-01 | std: 0.4477 | rollout: 5.001s | update: 0.156s | total: 5.157s | samples/s: 12410
Iteration 0102 | train reward: 807.29 | best: 808.62 | KL: 1.252e-01 | std: 0.4451 | rollout: 4.777s | update: 0.155s | total: 4.932s | samples/s: 12976
Iteration 0103 | train reward: 809.32 | best: 809.32 | KL: 9.045e-02 | std: 0.4446 | rollout: 4.781s | update: 0.154s | total: 4.936s | samples/s: 12967
Iteration 0104 | train reward: 813.07 | best: 813.07 | KL: 9.761e-02 | std: 0.4436 | rollout: 5.301s | update: 0.154s | total: 5.455s | samples/s: 11732
Iteration 0105 | train reward: 792.34 | best: 813.07 | KL: 1.200e-01 | std: 0.4435 | rollout: 4.942s | update: 0.220s | total: 5.162s | samples/s: 12399
Iteration 0106 | train reward: 812.07 | best: 813.07 | KL: 6.456e-02 | std: 0.4451 | rollout: 5.133s | update: 0.160s | total: 5.293s | samples/s: 12091
Iteration 0107 | train reward: 776.70 | best: 813.07 | KL: 8.325e-02 | std: 0.4427 | rollout: 4.913s | update: 0.195s | total: 5.108s | samples/s: 12529
Iteration 0108 | train reward: 797.19 | best: 813.07 | KL: 7.262e-02 | std: 0.4453 | rollout: 4.888s | update: 0.190s | total: 5.078s | samples/s: 12603
Iteration 0109 | train reward: 822.96 | best: 822.96 | KL: 8.040e-02 | std: 0.4477 | rollout: 5.145s | update: 0.211s | total: 5.356s | samples/s: 11949
