experiment,label,method,alpha,beta,updates,run,finite,final_return,final_q,final_p_good,final_min_pi0,final_min_pi1,final_lambda_min_f_pool,final_logdet_f_pool
robustness,uniform_alpha_0.05,uniform_action,0.05,0.1,2000,0,1,0.7928314712730182,0.8348958760019914,0.8726251907149035,0.05779992582429817,0.0636498482525351,0.010985053271872611,-13.695937449798514
robustness,uniform_alpha_0.05,visitation_only,0.05,0.1,2000,0,1,0.9749912560086221,0.9845215872452217,0.9868550599439332,0.005663178930063464,0.0029433409796152613,0.0010689631083092368,-23.012552224276693
robustness,uniform_alpha_0.05,full_pooled_fisher,0.05,0.1,2000,0,1,0.7951885551878477,0.8386499248450314,0.8734805978035076,0.05745648437871262,0.06274236137584444,0.010894483167527457,-13.741477297202117
robustness,uniform_alpha_0.1,reward_only,0.1,0.0,1000,0,1,0.9734783606349575,0.9830574179321355,0.986107800760383,0.006922873068806234,0.0031347898458061346,0.0011340231713451022,-22.67729136042537
robustness,uniform_alpha_0.1,detached_conditional,0.1,0.1,1000,0,1,0.7937084267059692,0.8239474767366406,0.882477604650284,0.06186690511248983,0.057651866596921536,0.010149632298116867,-13.73158310434642
robustness,uniform_alpha_0.1,complete_weighted,0.1,0.1,1000,0,1,0.7892218915079574,0.8158611425957921,0.8818916657941602,0.06355644938173247,0.05778891102834023,0.010155339565926931,-13.652766802377961
robustness,uniform_alpha_0.1,uniform_action,0.1,0.1,1000,0,1,0.7928417386025671,0.8348997595544789,0.8726290110453198,0.057788856815190026,0.06365012783734038,0.010984583862230285,-13.696112093174435
robustness,uniform_alpha_0.1,visitation_only,0.1,0.1,1000,0,1,0.9750030788011479,0.9845272059288118,0.9868608644542539,0.005665033089553298,0.002941476534344827,0.0010683729138411856,-23.0139947762681
robustness,uniform_alpha_0.1,full_pooled_fisher,0.1,0.1,1000,0,1,0.7951972561712316,0.8386517704115217,0.8734836078317559,0.05744622787022081,0.06273735087850758,0.010893954460904827,-13.741617330778896
robustness,adverse_alpha_0.025,reward_only,0.025,0.0,4000,0,1,0.4906901198150658,0.002036860722703456,0.01591364744255215,0.002036860722703456,0.01591364744255215,2.801236253715991e-05,-29.10077372501317
robustness,adverse_alpha_0.025,detached_conditional,0.025,0.1,4000,0,1,0.40102905014614476,0.2477953608006636,0.30949600691954965,0.14355329803829173,0.2867090067665993,0.020161394781855645,-10.837473378515094
robustness,adverse_alpha_0.025,complete_weighted,0.025,0.1,4000,0,1,0.38681584500664085,0.23141686559345956,0.23330383761903212,0.14694974719278014,0.23330383761903212,0.018365471219410914,-11.048922775412434
robustness,adverse_alpha_0.025,uniform_action,0.025,0.1,4000,0,1,0.5654896691718627,0.5326429768356762,0.6985885657708152,0.10852771512504747,0.13120159754780686,0.020392310349925412,-11.00378145098567
robustness,adverse_alpha_0.025,visitation_only,0.025,0.1,4000,0,1,0.41887253096837984,0.19247754868787145,0.017335110386044985,0.043930637394669646,0.017335110386044985,0.0023519004108522807,-15.471645085070762
robustness,adverse_alpha_0.025,full_pooled_fisher,0.025,0.1,4000,0,1,0.7847530046769121,0.829517967018515,0.8661827092810701,0.05817062892680142,0.06077736095571873,0.01187605869284822,-13.568742543279413
robustness,adverse_alpha_0.05,reward_only,0.05,0.0,2000,0,1,0.49069200273694474,0.0020364210682015035,0.015913652574638792,0.0020364210682015035,0.015913652574638792,2.8006333591078754e-05,-29.101617045425357
robustness,adverse_alpha_0.05,detached_conditional,0.05,0.1,2000,0,1,0.40101032769889133,0.24774470375482732,0.30936508997025364,0.14354659161782923,0.2867430706655772,0.020158775004481558,-10.837941276604756
robustness,adverse_alpha_0.05,complete_weighted,0.05,0.1,2000,0,1,0.3868038207839222,0.2313791027219171,0.23319381706482123,0.14694465707280213,0.23319381706482123,0.01836154732517456,-11.049476060714273
robustness,adverse_alpha_0.05,uniform_action,0.05,0.1,2000,0,1,0.5654545584011208,0.5325723082522283,0.69855097688393,0.10852874610037136,0.1312139137722297,0.020393115000804204,-11.003602985407204
robustness,adverse_alpha_0.05,visitation_only,0.05,0.1,2000,0,1,0.4188749461081391,0.19248162403628047,0.017334943175846645,0.0439232815302002,0.017334943175846645,0.0023519219696319068,-15.471771206087258
robustness,adverse_alpha_0.05,full_pooled_fisher,0.05,0.1,2000,0,1,0.7847768948266349,0.8295396841297439,0.8661985710772968,0.058162649635511904,0.060768477126825045,0.011874911708779285,-13.569194400270149
robustness,adverse_alpha_0.1,reward_only,0.1,0.0,1000,0,1,0.4906957694531871,0.002035541577384493,0.015913662847526145,0.002035541577384493,0.015913662847526145,2.799427318964895e-05,-29.103304587263267
robustness,adverse_alpha_0.1,detached_conditional,0.1,0.1,1000,0,1,0.4009730163575732,0.24764369916963594,0.30910388063933336,0.14353317374957347,0.2868110476412695,0.020153543841831066,-10.838875670418881
robustness,adverse_alpha_0.1,complete_weighted,0.1,0.1,1000,0,1,0.3867798577151028,0.23130378634935614,0.23297429633043895,0.14693447586899985,0.23297429633043895,0.018353711544048336,-11.05058095452241
robustness,adverse_alpha_0.1,uniform_action,0.1,0.1,1000,0,1,0.5653843899903418,0.5324310374342247,0.6984758238500387,0.10853078807989386,0.13123854780842484,0.02039472201396878,-11.003246621262491
robustness,adverse_alpha_0.1,visitation_only,0.1,0.1,1000,0,1,0.4188797802271195,0.19248976511484905,0.017334608804511663,0.04390856806474231,0.017334608804511663,0.0023519649901129563,-15.472023677926437
robustness,adverse_alpha_0.1,full_pooled_fisher,0.1,0.1,1000,0,1,0.7848246367914402,0.8295830818932403,0.8662302633733172,0.058146699445968585,0.0607507322811586,0.01187261962342768,-13.57009751485426
basin,basin,reward_only,0.05,0.0,2000,0,1,0.4884787839117969,0.0008277987932037595,0.01998198226021242,0.0008277987932037595,0.01998198226021242,1.5848514599424303e-05,-30.454881653077113
basin,basin,reward_only,0.05,0.0,2000,1,1,0.48847508915159193,0.0008371407336171549,0.05052361514418539,0.0008371407336171549,0.05052361514418539,3.774750741278536e-05,-29.554945675921605
basin,basin,reward_only,0.05,0.0,2000,2,1,0.4884691362498658,0.0008534584352090816,0.10269726921681728,0.0008534584352090816,0.10269726921681728,6.778243826641598e-05,-28.89731436373524
basin,basin,reward_only,0.05,0.0,2000,3,1,0.48845271995827605,0.0009078581811242699,0.2643346645803233,0.0009078581811242699,0.2643346645803233,0.0001042505604775567,-28.15280763354086
basin,basin,reward_only,0.05,0.0,2000,4,1,0.4884287440498681,0.001015710580234289,0.5272134292995105,0.001015710580234289,0.23220716789639326,8.75781134832487e-05,-27.989789175425347
basin,basin,reward_only,0.05,0.0,2000,5,1,0.4884085024632516,0.0011471732010042317,0.7658764157713988,0.0011471732010042317,0.11529068934689451,5.0721597783490356e-05,-28.634472729017283
basin,basin,reward_only,0.05,0.0,2000,6,1,0.4884008260286424,0.0012431061729540945,0.9038701476052309,0.0012431061729540945,0.047687868297239984,2.2743663967157492e-05,-29.993052881488083
basin,basin,reward_only,0.05,0.0,2000,7,1,0.48844390802245247,0.001812589790702496,0.019955340603881183,0.001812589790702496,0.019955340603881183,3.460922999120364e-05,-28.140142211923923
basin,basin,reward_only,0.05,0.0,2000,8,1,0.4884320615112901,0.0018570474698984824,0.05128135955195703,0.0018570474698984824,0.05128135955195703,8.46791506254408e-05,-27.184497293969255
basin,basin,reward_only,0.05,0.0,2000,9,1,0.488412692239224,0.0019396678277667596,0.10683695334840795,0.0019396678277667596,0.10683695334840795,0.00015804037033158237,-26.433291450127708
basin,basin,reward_only,0.05,0.0,2000,10,1,0.48835989233352267,0.002261599080259724,0.28890245645270174,0.002261599080259724,0.28890245645270174,0.00026007095866530995,-25.407853891474474
basin,basin,reward_only,0.05,0.0,2000,11,1,0.4882973813041284,0.0031265677015764916,0.5762605270469778,0.0031265677015764916,0.20133255390101473,0.0002468739782037339,-24.724961243634326
basin,basin,reward_only,0.05,0.0,2000,12,1,0.4883254698625775,0.004793683166276204,0.7972355920947818,0.004793683166276204,0.09663823945493806,0.00018573433301419555,-24.513679113270733
basin,basin,reward_only,0.05,0.0,2000,13,1,0.4885718300983982,0.006998749858352885,0.9132612877763752,0.006998749858352885,0.04215835516856324,0.00011590955549940295,-24.866703965557775
basin,basin,reward_only,0.05,0.0,2000,14,1,0.4884217417015262,0.0030361182280776574,0.01991115974673964,0.0030361182280776574,0.01991115974673964,5.7738585427095664e-05,-26.64201516724895
basin,basin,reward_only,0.05,0.0,2000,15,1,0.48839461194023226,0.00315951836895472,0.05250908239838214,0.00315951836895472,0.05250908239838214,0.0001466928657407662,-25.613959999932177
basin,basin,reward_only,0.05,0.0,2000,16,1,0.48834814272498345,0.0034108407196398478,0.11416667386090344,0.0034108407196398478,0.11416667386090344,0.00028981451653467815,-24.72998706469591
basin,basin,reward_only,0.05,0.0,2000,17,1,0.4882221528440057,0.0047080658931068844,0.34119648213485443,0.0047080658931068844,0.3106215605810737,0.0005311213342142039,-23.209264374612637
basin,basin,reward_only,0.05,0.0,2000,18,1,0.4886404156485245,0.013209273891236994,0.6963213979279338,0.013209273891236994,0.13187387248561386,0.0007708631173388556,-20.779222500604963
basin,basin,reward_only,0.05,0.0,2000,19,1,0.9528632240641477,0.963173431446206,0.9769138681745966,0.01575346570371212,0.007211525757662661,0.0021695675844675155,-19.919733175711126
basin,basin,reward_only,0.05,0.0,2000,20,1,0.9717249352509691,0.9793004574582918,0.9866356844829873,0.009236774664195738,0.0045633122766364186,0.0012979450599046424,-22.08298836737619
basin,basin,reward_only,0.05,0.0,2000,21,1,0.4884339054366202,0.005346861544121606,0.019769723205132136,0.005346861544121606,0.019769723205132136,0.0001005665544848226,-25.05202795663026
basin,basin,reward_only,0.05,0.0,2000,22,1,0.4883629569677007,0.00572351587085918,0.05636740636529465,0.00572351587085918,0.05636740636529465,0.0002807128002197603,-23.864382900565175
basin,basin,reward_only,0.05,0.0,2000,23,1,0.4882229711832988,0.006730475215091132,0.14312928916464424,0.006730475215091132,0.14312928916464424,0.0006512009675386261,-22.613655177214124
basin,basin,reward_only,0.05,0.0,2000,24,1,0.509832743844822,0.11058328388502585,0.7731290956511656,0.04422624060511333,0.07878007256218843,0.004409191101050588,-15.02046461123185
basin,basin,reward_only,0.05,0.0,2000,25,1,0.9743210001770831,0.9835719974371692,0.9867321415667701,0.006327909224210862,0.0032277359987295034,0.0011301557002817877,-22.79778330659804
basin,basin,reward_only,0.05,0.0,2000,26,1,0.9769682469050271,0.9853520138328792,0.9883760291984318,0.004863615983613146,0.0032380718232816073,0.0010585375346974218,-23.266069033604502
basin,basin,reward_only,0.05,0.0,2000,27,1,0.9787263016563088,0.9860084286515132,0.9897279871921172,0.00437151228559523,0.003348896675710983,0.000989733312792085,-23.54566828508782
