seed,run_label,update,true_environment_steps,stochastic_return,deterministic_return,deterministic_episode_length,entropy,mean_min_probability,global_min_probability,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,barrier_active,on_policy_numerical_rank,on_policy_trace,on_policy_smallest_positive_eigenvalue,on_policy_largest_eigenvalue,on_policy_entropy_effective_rank,on_policy_log_pseudodeterminant,on_policy_positive_spectrum_condition_number,fixed_reference_numerical_rank,fixed_reference_trace,fixed_reference_smallest_positive_eigenvalue,fixed_reference_largest_eigenvalue,fixed_reference_entropy_effective_rank,fixed_reference_log_pseudodeterminant,fixed_reference_positive_spectrum_condition_number
402,logbarrier_handoff_h25,650,2598909,-500.0,-500.0,500.0,0.9710047841072083,0.19723959267139435,0.14104244112968445,106.446044921875,0.5118274092674255,0.0,False,54,1.7118600003536697,1.2617205341350266e-10,1.134288444864981,2.038316459247421,-827.017852980137,8990013352.224575,146,2.0271219575082053,4.115669319166281e-10,0.9171843185255476,5.117278079101053,-1809.0189544239165,2228518006.182633
402,logbarrier_handoff_h25,700,2798782,-498.65625,-500.0,500.0,0.8432002663612366,0.15272977948188782,0.12624754011631012,137.05361938476562,0.792171061038971,0.0,False,50,1.650796828991182,1.212104685588833e-10,1.1347927186017304,1.9429742901303146,-777.7870567244713,9362167575.90088,146,2.0136628944911314,1.7077259229869651e-10,1.0110031687338599,4.68226684573224,-1839.2646301479467,5920172289.506064
402,logbarrier_handoff_h25,750,2996095,-446.1875,-500.0,500.0,0.8775383830070496,0.15687131881713867,0.11860156059265137,282.9655456542969,0.7075838446617126,0.0,False,49,1.701361470474107,1.2863474731164865e-10,1.160918350218423,1.9556111976666373,-754.4365223937737,9024920361.57088,145,2.137654530573262,2.680876998288139e-10,1.038556934408761,4.757536365943225,-1800.3438493930742,3873944739.247368
402,logbarrier_handoff_h25,800,3130124,-169.75,-500.0,500.0,0.8096778988838196,0.1479044407606125,0.05836828052997589,158.1828155517578,0.8283815383911133,0.0,False,66,2.082253845528463,1.6088844606407203e-10,1.4586201899130011,2.3558378517832606,-986.0412029562688,9066034420.719818,146,2.5366348597137445,5.818374329993348e-10,0.9732709920701523,6.123099899806918,-1726.624107433115,1672754169.5847971
402,logbarrier_handoff_h25,850,3192885,-138.625,-199.1875,199.9375,0.7266955971717834,0.10017876327037811,0.02702898159623146,123.91761016845703,0.845048725605011,0.0,False,72,3.274905561465961,2.709492117170237e-10,2.414944751750465,2.326005343525377,-1046.137115563055,8912905619.642866,146,2.846203674282217,4.4276859932157436e-10,1.007156281064642,6.537909735673533,-1677.0695941355823,2274678652.930317
402,logbarrier_handoff_h25,900,3243621,-108.1875,-97.0,97.96875,0.5994752049446106,0.07129877805709839,0.014063915237784386,120.64449310302734,1.1339538097381592,0.0,False,71,3.70177371632752,3.4296941687749054e-10,2.861561622168161,2.221187689787954,-1009.4723158251168,8343489189.854841,146,2.934455642740559,4.1694367073928856e-10,1.1121058718958723,6.54271412343564,-1689.3775868068965,2667280858.164802
402,logbarrier_handoff_h25,950,3289663,-108.96875,-81.75,82.75,0.5403103232383728,0.058835409581661224,0.010387882590293884,179.8033905029297,1.1177971363067627,0.0,False,81,4.596415531041013,4.011271220057288e-10,3.5352847109669714,2.2869214934482724,-1137.1197619200223,8813377398.391129,146,3.0681869949908314,7.883948642072421e-10,1.2404833197069134,6.463199176062671,-1684.2037623810859,1573428970.7154064
402,logbarrier_handoff_h25,1000,3332249,-105.3125,-88.625,89.625,0.5003747940063477,0.050506968051195145,0.00776967266574502,151.9932403564453,1.2118149995803833,0.0,False,85,5.297479184077301,4.0576620754293114e-10,4.052438807395816,2.3085064047625057,-1185.7901677754246,9987127395.193592,146,3.261256860931657,7.548569936534356e-10,1.3902814686368368,6.312832509189745,-1688.4812397849205,1841781264.9625294
402,reward_only,0,0,-500.0,-500.0,500.0,1.0586528778076172,0.22770562767982483,0.20529261231422424,354.033203125,0.2385210394859314,0.0,False,43,1.5801894276958341,1.2244686593954363e-10,0.8845417479979832,2.0825371807715327,-649.8602022882233,7223882303.649265,146,1.8224040045296177,1.1874961083910142e-10,0.6973953485616339,5.213760903253721,-1857.9895664092019,5872822181.342241
402,reward_only,50,200000,-500.0,-500.0,500.0,1.0677107572555542,0.23736637830734253,0.18782158195972443,489.77337646484375,0.1989983171224594,0.0,False,55,1.5885607311712158,1.2000650814079106e-10,0.870147828693446,2.172040995124056,-857.0824783035804,7250838660.121606,146,1.901769314961962,1.018309408874105e-10,0.6825786660270637,5.377282069977063,-1832.5702942767712,6703057637.282932
