run_label,method,seed,finite,learning_rate,final_stochastic_return,final_deterministic_return,final_stochastic_termination_rate,stochastic_return_auc,environment_steps,optimizer_updates,training_episodes,environment_step_return_auc,failure
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1066,True,0.003,-88.84375,-79.09375,1.0,-193.8233125,1556962,1000,8000,-330.8476066391633,False
reward_only,gpomdp_reward_only,1067,True,0.003,-94.78125,-125.71875,0.96875,-110.11171875,872730,1000,8000,-136.27756540539457,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1067,True,0.003,-90.34375,-118.125,1.0,-250.1651875,1995054,1000,8000,-387.5593171914144,False
reward_only,gpomdp_reward_only,1068,True,0.003,-86.15625,-82.75,1.0,-110.91484375,925196,1000,8000,-144.59946657586607,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1068,True,0.003,-103.75,-90.09375,0.96875,-195.5848125,1595869,1000,8000,-333.72730063134884,False
reward_only,gpomdp_reward_only,1069,True,0.003,-80.875,-80.875,1.0,-192.4734375,1545333,1000,8000,-318.508226736163,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1069,True,0.003,-85.90625,-84.53125,1.0,-172.807234375,1389221,1000,8000,-274.30724953049224,False
reward_only,gpomdp_reward_only,1070,True,0.003,-82.90625,-85.625,1.0,-117.9421875,938617,1000,8000,-149.50633203892002,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1070,True,0.003,-90.59375,-81.90625,1.0,-146.171125,1197244,1000,8000,-191.01076995635393,False
reward_only,gpomdp_reward_only,1071,True,0.003,-87.125,-80.21875,1.0,-110.08125,880134,1000,8000,-141.08743324169956,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1071,True,0.003,-84.25,-89.0,1.0,-246.67709375,1972234,1000,8000,-385.4107330031578,False
reward_only,gpomdp_reward_only,1072,True,0.003,-84.25,-90.0,1.0,-136.7859375,1113933,1000,8000,-220.08453933607316,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1072,True,0.003,-86.25,-80.03125,1.0,-219.99196875,1776724,1000,8000,-358.0190575815377,False
reward_only,gpomdp_reward_only,1073,True,0.003,-81.3125,-83.625,1.0,-192.9796875,1562816,1000,8000,-330.5879818265554,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1073,True,0.003,-104.78125,-82.21875,0.96875,-335.79296875,2716345,1000,8000,-441.4303540522743,False
reward_only,gpomdp_reward_only,1074,True,0.003,-84.09375,-81.3125,1.0,-107.8578125,848921,1000,8000,-127.99736317852309,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1074,True,0.003,-80.5625,-82.21875,1.0,-147.986859375,1192571,1000,8000,-188.43405380843154,False
