seed,reward_only_failure,reward_only_final_stochastic_return,reward_only_final_stochastic_termination_rate,reward_only_environment_step_return_auc,logbarrier_handoff_h25_failure,logbarrier_handoff_h25_final_stochastic_return,logbarrier_handoff_h25_final_stochastic_termination_rate,logbarrier_handoff_h25_environment_step_return_auc,discordant
1108,True,-500.0,0.0,-500.0,False,-81.09375,1.0,-299.6310752257047,True
1109,False,-94.46875,1.0,-297.4807094536621,False,-82.28125,1.0,-268.44831965891876,False
1110,False,-88.40625,1.0,-372.8383392934234,False,-101.5,1.0,-373.39278487998575,False
1111,False,-85.84375,1.0,-130.73105473034147,False,-88.1875,1.0,-184.8866592625995,False
1112,True,-500.0,0.0,-499.98125,False,-103.96875,1.0,-375.79159085168766,True
1113,True,-500.0,0.0,-499.9407338745689,False,-89.0625,1.0,-279.093661122349,True
1114,False,-81.96875,1.0,-172.5906409359385,False,-88.15625,1.0,-259.9263228563965,False
1115,False,-87.625,1.0,-196.2533618473013,False,-95.65625,1.0,-227.18321287571825,False
1116,True,-500.0,0.0,-500.0,False,-83.0,1.0,-250.18618110012966,True
1117,False,-91.625,1.0,-157.4147454225999,False,-83.875,1.0,-262.0910254223628,False
1118,False,-81.90625,1.0,-254.95640054847746,False,-82.34375,1.0,-246.0288280409302,False
1119,False,-80.71875,1.0,-255.72140197654812,False,-101.34375,0.96875,-271.6811399912574,False
1120,False,-84.0,1.0,-300.1903228379972,True,-500.0,0.0,-499.20145092343796,True
1121,False,-78.4375,1.0,-214.9923908466848,False,-81.15625,1.0,-228.89959248374328,False
1122,False,-85.875,1.0,-296.97675860032166,False,-87.3125,1.0,-297.0716350745141,False
1123,False,-85.21875,1.0,-197.4110548810991,False,-95.71875,1.0,-198.17705639006667,False
1124,False,-86.1875,1.0,-172.38620948830967,False,-83.34375,1.0,-195.02784787826306,False
1125,False,-88.125,1.0,-135.1810089710654,False,-95.78125,1.0,-192.84441463059667,False
1126,False,-87.65625,1.0,-129.23943071303188,False,-90.71875,1.0,-192.99309072570884,False
1127,False,-82.25,1.0,-105.16710411391674,False,-84.34375,1.0,-181.05611371686766,False
1128,False,-85.375,1.0,-367.7084755921764,False,-88.03125,1.0,-235.86346164908844,False
1129,True,-500.0,0.0,-500.0,False,-81.8125,1.0,-271.893564323372,True
1130,False,-78.34375,1.0,-153.4246985045729,False,-82.09375,1.0,-201.05393759187876,False
1131,False,-91.9375,1.0,-143.12116848929105,False,-86.75,1.0,-253.2557627007097,False
1132,False,-83.0,1.0,-263.604071580206,False,-103.0,1.0,-475.24336560166154,False
1133,False,-91.46875,1.0,-207.99610460553174,False,-98.65625,1.0,-349.8263700598168,False
1134,False,-80.625,1.0,-140.98359057894737,False,-95.78125,0.96875,-183.6790532873645,False
1135,False,-88.78125,1.0,-213.66350873916156,False,-84.3125,1.0,-252.54790983748745,False
1136,False,-92.03125,1.0,-118.08669925300252,False,-92.875,1.0,-184.03710636884026,False
1137,False,-95.125,1.0,-466.09867566996974,False,-94.34375,0.96875,-298.562582006738,False
1138,False,-86.8125,1.0,-150.4602714356137,False,-87.21875,1.0,-224.5610038309242,False
1139,False,-78.5625,1.0,-149.43264228340504,False,-83.78125,1.0,-185.4826043291365,False
1140,True,-500.0,0.0,-500.0,False,-83.4375,1.0,-268.00452926842775,True
1141,False,-91.84375,1.0,-257.54085000854,False,-87.65625,1.0,-333.47432891362854,False
