initialization,n_trajectories,updates,budget_trajectories,arm,n,successes,success_rate,wilson95_low,wilson95_high,finite_rate,final_pi1_good_median,final_return_median,pi1_good_at_handoff_median
adverse,128,4000,512000,reward_only_npg,100,0,0.0,0.0,0.037,0.0,0.014541578376783118,0.5,
adverse,128,4000,512000,reward_only_pg,100,0,0.0,0.0,0.037,1.0,0.015931846694173926,0.49512570113915455,0.01591431862039651
adverse,128,16000,2048000,barrier_npg,100,0,0.0,0.0,0.037,0.0,0.7890026313831873,0.6428599671531176,0.7680658577197496
adverse,128,16000,2048000,barrier_pg,100,100,1.0,0.963,1.0,1.0,0.9974405407702905,0.9951138846054342,0.7657546458950693
adverse,128,16000,2048000,entropy_npg,100,10,0.1,0.0552,0.1744,0.0,0.9560950237997288,0.8907116833744639,0.947602145170739
adverse,128,16000,2048000,entropy_pg,100,100,1.0,0.963,1.0,1.0,0.9975832875950886,0.9955410506608806,0.9385273559327068
adverse,128,16000,2048000,reward_only_npg,100,0,0.0,0.0,0.037,0.0,0.014541578376783118,0.5,
adverse,128,16000,2048000,reward_only_pg,100,0,0.0,0.0,0.037,1.0,0.01595610689174812,0.49875234573624694,0.015931277732005148
uniform,4,250,1000,barrier_npg,100,58,0.58,0.4821,0.672,0.94,0.9999999999999754,0.9999999999999513,0.7134529949344225
uniform,4,250,1000,barrier_pg,100,0,0.0,0.0,0.037,1.0,0.5940948005575755,0.4427771964266822,0.44138038608558655
uniform,4,250,1000,entropy_npg,100,57,0.57,0.4722,0.6627,1.0,0.9999999999999994,0.9999999999999989,0.904996521240331
uniform,4,250,1000,entropy_pg,100,0,0.0,0.0,0.037,1.0,0.5941766459399931,0.4425892133917251,0.44520869295791654
uniform,4,250,1000,reward_only_npg,100,37,0.37,0.2818,0.4678,0.76,0.6213840083118994,0.5,0.9390476256593421
uniform,4,250,1000,reward_only_pg,100,0,0.0,0.0,0.037,1.0,0.6061486830309373,0.44922560007412843,0.45766769373359995
uniform,4,1000,4000,barrier_npg,100,91,0.91,0.8377,0.9519,0.95,1.0,1.0,0.8135441025442639
uniform,4,1000,4000,barrier_pg,100,100,1.0,0.963,1.0,1.0,0.94604876721741,0.8961722104044524,0.6811102321356624
uniform,4,1000,4000,entropy_npg,100,87,0.87,0.7902,0.9224,1.0,1.0,1.0,0.9748793547612995
uniform,4,1000,4000,entropy_pg,100,100,1.0,0.963,1.0,1.0,0.9494234369804091,0.9029274562084395,0.7250327214858938
uniform,4,1000,4000,reward_only_npg,100,37,0.37,0.2818,0.4678,0.37,0.6213840083118994,0.5,0.9390476256593421
uniform,4,1000,4000,reward_only_pg,100,99,0.99,0.9455,0.9982,1.0,0.9610642686948265,0.9247644714285141,0.8468735539493497
uniform,4,4000,16000,barrier_npg,100,0,0.0,0.0,0.037,0.0,0.8334239481868084,0.7187775339287157,0.8094519178044399
uniform,4,4000,16000,barrier_pg,100,100,1.0,0.963,1.0,1.0,0.9894121222606493,0.9799313852441387,0.7713902764728698
uniform,4,4000,16000,entropy_npg,100,99,0.99,0.9455,0.9982,0.0,0.9812237680136133,0.9683536761841869,0.9747753177321128
uniform,4,4000,16000,entropy_pg,100,100,1.0,0.963,1.0,1.0,0.9905300209879413,0.9821604949400426,0.9199831134730473
uniform,4,4000,16000,reward_only_npg,100,37,0.37,0.2818,0.4678,0.0,0.6213840083118994,0.5,
uniform,4,4000,16000,reward_only_pg,100,100,1.0,0.963,1.0,1.0,0.9940596730692366,0.9886754440535186,0.9861361184855806
uniform,4,16000,64000,barrier_npg,100,0,0.0,0.0,0.037,0.0,0.835950775990224,0.717670557999876,0.8147957867143277
uniform,4,16000,64000,barrier_pg,100,100,1.0,0.963,1.0,1.0,0.997445159712957,0.9951193211122173,0.772709289323056
uniform,4,16000,64000,entropy_npg,100,100,1.0,0.963,1.0,0.0,0.9805295940735843,0.9676608635439754,0.9745712778768525
uniform,4,16000,64000,entropy_pg,100,100,1.0,0.963,1.0,1.0,0.997607819095815,0.9956147877935504,0.9418570947905023
uniform,4,16000,64000,reward_only_npg,100,37,0.37,0.2818,0.4678,0.0,0.6213840083118994,0.5,
uniform,4,16000,64000,reward_only_pg,100,100,1.0,0.963,1.0,1.0,0.9986783783218864,0.997464302139182,0.9972541314976231
uniform,32,250,8000,barrier_npg,100,100,1.0,0.963,1.0,1.0,0.9999999999999998,0.9999999999999996,0.77239084452122
uniform,32,250,8000,barrier_pg,100,0,0.0,0.0,0.037,1.0,0.5908441081197943,0.44076358254157577,0.4416785803066019
uniform,32,250,8000,entropy_npg,100,100,1.0,0.963,1.0,1.0,1.0,1.0,0.9675560048648577
uniform,32,250,8000,entropy_pg,100,0,0.0,0.0,0.037,1.0,0.593639997328887,0.4427360328185384,0.444970563530542
uniform,32,250,8000,reward_only_npg,100,100,1.0,0.963,1.0,1.0,1.0,1.0,0.9999999999998413
uniform,32,250,8000,reward_only_pg,100,0,0.0,0.0,0.037,1.0,0.6048083246867961,0.4491085256359299,0.45826836155175676
uniform,32,1000,32000,barrier_npg,100,100,1.0,0.963,1.0,1.0,1.0,1.0,0.7822124163128221
uniform,32,1000,32000,barrier_pg,100,100,1.0,0.963,1.0,1.0,0.9452218651254152,0.8941841905533912,0.6728381271447115
uniform,32,1000,32000,entropy_npg,100,100,1.0,0.963,1.0,1.0,1.0,1.0,0.9660879867434378
uniform,32,1000,32000,entropy_pg,100,100,1.0,0.963,1.0,1.0,0.9489255200364779,0.9014535853916934,0.7174901394767244
uniform,32,1000,32000,reward_only_npg,100,100,1.0,0.963,1.0,1.0,1.0,1.0,1.0
uniform,32,1000,32000,reward_only_pg,100,100,1.0,0.963,1.0,1.0,0.9610290455232227,0.9247447319177868,0.8464529720573197
uniform,32,4000,128000,barrier_npg,100,0,0.0,0.0,0.037,0.0,0.8006234627140634,0.6588827286420256,0.7801517866612325
uniform,32,4000,128000,barrier_pg,100,100,1.0,0.963,1.0,1.0,0.9893724552292222,0.9797818034420164,0.7641200581197559
uniform,32,4000,128000,entropy_npg,100,70,0.7,0.6042,0.7811,0.0,0.9729769856602453,0.9346022137903353,0.9659884591205952
uniform,32,4000,128000,entropy_pg,100,100,1.0,0.963,1.0,1.0,0.9904888899087751,0.9820213586258721,0.9172336507461434
uniform,32,4000,128000,reward_only_npg,100,100,1.0,0.963,1.0,0.0,1.0,1.0,
uniform,32,4000,128000,reward_only_pg,100,100,1.0,0.963,1.0,1.0,0.9940684159377948,0.9886871888459703,0.9861033389468294
uniform,32,16000,512000,barrier_npg,100,0,0.0,0.0,0.037,0.0,0.7995959197798214,0.6542291642364613,0.7752159643029947
uniform,32,16000,512000,barrier_pg,100,100,1.0,0.963,1.0,1.0,0.9974417032674915,0.9951120729666483,0.7668917410698824
