comparison_family,initialization,n_trajectories,updates,budget_trajectories,left_arm,right_arm,paired_seeds,left_success_rate,right_success_rate,success_rate_difference,left_only_wins,right_only_wins,exact_two_sided_mcnemar_p
entropy_vs_reward_only_natural,adverse,128,250,32000,entropy_npg,reward_only_npg,100,1.0,0.0,1.0,100,0,1.5777218104420236e-30
barrier_vs_entropy_euclidean,adverse,128,1000,128000,barrier_pg,entropy_pg,100,0.0,0.0,0.0,0,0,1.0
barrier_vs_entropy_natural,adverse,128,1000,128000,barrier_npg,entropy_npg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_reward_only_euclidean,adverse,128,1000,128000,barrier_pg,reward_only_pg,100,0.0,0.0,0.0,0,0,1.0
barrier_vs_reward_only_natural,adverse,128,1000,128000,barrier_npg,reward_only_npg,100,1.0,0.0,1.0,100,0,1.5777218104420236e-30
entropy_vs_reward_only_euclidean,adverse,128,1000,128000,entropy_pg,reward_only_pg,100,0.0,0.0,0.0,0,0,1.0
entropy_vs_reward_only_natural,adverse,128,1000,128000,entropy_npg,reward_only_npg,100,1.0,0.0,1.0,100,0,1.5777218104420236e-30
barrier_vs_entropy_euclidean,adverse,128,4000,512000,barrier_pg,entropy_pg,100,1.0,0.12,0.88,88,0,6.462348535570529e-27
barrier_vs_entropy_natural,adverse,128,4000,512000,barrier_npg,entropy_npg,100,0.0,0.06,-0.06,0,6,0.03125
barrier_vs_reward_only_euclidean,adverse,128,4000,512000,barrier_pg,reward_only_pg,100,1.0,0.0,1.0,100,0,1.5777218104420236e-30
barrier_vs_reward_only_natural,adverse,128,4000,512000,barrier_npg,reward_only_npg,100,0.0,0.0,0.0,0,0,1.0
entropy_vs_reward_only_euclidean,adverse,128,4000,512000,entropy_pg,reward_only_pg,100,0.12,0.0,0.12,12,0,0.00048828125
entropy_vs_reward_only_natural,adverse,128,4000,512000,entropy_npg,reward_only_npg,100,0.06,0.0,0.06,6,0,0.03125
barrier_vs_entropy_euclidean,adverse,128,16000,2048000,barrier_pg,entropy_pg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_entropy_natural,adverse,128,16000,2048000,barrier_npg,entropy_npg,100,0.0,0.1,-0.1,0,10,0.001953125
barrier_vs_reward_only_euclidean,adverse,128,16000,2048000,barrier_pg,reward_only_pg,100,1.0,0.0,1.0,100,0,1.5777218104420236e-30
barrier_vs_reward_only_natural,adverse,128,16000,2048000,barrier_npg,reward_only_npg,100,0.0,0.0,0.0,0,0,1.0
entropy_vs_reward_only_euclidean,adverse,128,16000,2048000,entropy_pg,reward_only_pg,100,1.0,0.0,1.0,100,0,1.5777218104420236e-30
entropy_vs_reward_only_natural,adverse,128,16000,2048000,entropy_npg,reward_only_npg,100,0.1,0.0,0.1,10,0,0.001953125
barrier_vs_entropy_euclidean,uniform,4,250,1000,barrier_pg,entropy_pg,100,0.0,0.0,0.0,0,0,1.0
barrier_vs_entropy_natural,uniform,4,250,1000,barrier_npg,entropy_npg,100,0.58,0.57,0.01,10,9,1.0
barrier_vs_reward_only_euclidean,uniform,4,250,1000,barrier_pg,reward_only_pg,100,0.0,0.0,0.0,0,0,1.0
barrier_vs_reward_only_natural,uniform,4,250,1000,barrier_npg,reward_only_npg,100,0.58,0.37,0.21,27,6,0.0003240634687244892
entropy_vs_reward_only_euclidean,uniform,4,250,1000,entropy_pg,reward_only_pg,100,0.0,0.0,0.0,0,0,1.0
entropy_vs_reward_only_natural,uniform,4,250,1000,entropy_npg,reward_only_npg,100,0.57,0.37,0.2,28,8,0.0011932429624721408
barrier_vs_entropy_euclidean,uniform,4,1000,4000,barrier_pg,entropy_pg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_entropy_natural,uniform,4,1000,4000,barrier_npg,entropy_npg,100,0.91,0.87,0.04,9,5,0.4239501953125
barrier_vs_reward_only_euclidean,uniform,4,1000,4000,barrier_pg,reward_only_pg,100,1.0,0.99,0.01,1,0,1.0
barrier_vs_reward_only_natural,uniform,4,1000,4000,barrier_npg,reward_only_npg,100,0.91,0.37,0.54,55,1,1.582067810090848e-15
entropy_vs_reward_only_euclidean,uniform,4,1000,4000,entropy_pg,reward_only_pg,100,1.0,0.99,0.01,1,0,1.0
entropy_vs_reward_only_natural,uniform,4,1000,4000,entropy_npg,reward_only_npg,100,0.87,0.37,0.5,53,3,8.137102103233929e-13
barrier_vs_entropy_euclidean,uniform,4,4000,16000,barrier_pg,entropy_pg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_entropy_natural,uniform,4,4000,16000,barrier_npg,entropy_npg,100,0.0,0.99,-0.99,0,99,3.1554436208840472e-30
barrier_vs_reward_only_euclidean,uniform,4,4000,16000,barrier_pg,reward_only_pg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_reward_only_natural,uniform,4,4000,16000,barrier_npg,reward_only_npg,100,0.0,0.37,-0.37,0,37,1.4551915228366852e-11
entropy_vs_reward_only_euclidean,uniform,4,4000,16000,entropy_pg,reward_only_pg,100,1.0,1.0,0.0,0,0,1.0
entropy_vs_reward_only_natural,uniform,4,4000,16000,entropy_npg,reward_only_npg,100,0.99,0.37,0.62,62,0,4.336808689942018e-19
barrier_vs_entropy_euclidean,uniform,4,16000,64000,barrier_pg,entropy_pg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_entropy_natural,uniform,4,16000,64000,barrier_npg,entropy_npg,100,0.0,1.0,-1.0,0,100,1.5777218104420236e-30
barrier_vs_reward_only_euclidean,uniform,4,16000,64000,barrier_pg,reward_only_pg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_reward_only_natural,uniform,4,16000,64000,barrier_npg,reward_only_npg,100,0.0,0.37,-0.37,0,37,1.4551915228366852e-11
entropy_vs_reward_only_euclidean,uniform,4,16000,64000,entropy_pg,reward_only_pg,100,1.0,1.0,0.0,0,0,1.0
entropy_vs_reward_only_natural,uniform,4,16000,64000,entropy_npg,reward_only_npg,100,1.0,0.37,0.63,63,0,2.168404344971009e-19
barrier_vs_entropy_euclidean,uniform,32,250,8000,barrier_pg,entropy_pg,100,0.0,0.0,0.0,0,0,1.0
barrier_vs_entropy_natural,uniform,32,250,8000,barrier_npg,entropy_npg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_reward_only_euclidean,uniform,32,250,8000,barrier_pg,reward_only_pg,100,0.0,0.0,0.0,0,0,1.0
barrier_vs_reward_only_natural,uniform,32,250,8000,barrier_npg,reward_only_npg,100,1.0,1.0,0.0,0,0,1.0
entropy_vs_reward_only_euclidean,uniform,32,250,8000,entropy_pg,reward_only_pg,100,0.0,0.0,0.0,0,0,1.0
entropy_vs_reward_only_natural,uniform,32,250,8000,entropy_npg,reward_only_npg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_entropy_euclidean,uniform,32,1000,32000,barrier_pg,entropy_pg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_entropy_natural,uniform,32,1000,32000,barrier_npg,entropy_npg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_reward_only_euclidean,uniform,32,1000,32000,barrier_pg,reward_only_pg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_reward_only_natural,uniform,32,1000,32000,barrier_npg,reward_only_npg,100,1.0,1.0,0.0,0,0,1.0
entropy_vs_reward_only_euclidean,uniform,32,1000,32000,entropy_pg,reward_only_pg,100,1.0,1.0,0.0,0,0,1.0
entropy_vs_reward_only_natural,uniform,32,1000,32000,entropy_npg,reward_only_npg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_entropy_euclidean,uniform,32,4000,128000,barrier_pg,entropy_pg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_entropy_natural,uniform,32,4000,128000,barrier_npg,entropy_npg,100,0.0,0.7,-0.7,0,70,1.6940658945086007e-21
barrier_vs_reward_only_euclidean,uniform,32,4000,128000,barrier_pg,reward_only_pg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_reward_only_natural,uniform,32,4000,128000,barrier_npg,reward_only_npg,100,0.0,1.0,-1.0,0,100,1.5777218104420236e-30
entropy_vs_reward_only_euclidean,uniform,32,4000,128000,entropy_pg,reward_only_pg,100,1.0,1.0,0.0,0,0,1.0
entropy_vs_reward_only_natural,uniform,32,4000,128000,entropy_npg,reward_only_npg,100,0.7,1.0,-0.3,0,30,1.862645149230957e-09
barrier_vs_entropy_euclidean,uniform,32,16000,512000,barrier_pg,entropy_pg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_entropy_natural,uniform,32,16000,512000,barrier_npg,entropy_npg,100,0.0,0.63,-0.63,0,63,2.168404344971009e-19
barrier_vs_reward_only_euclidean,uniform,32,16000,512000,barrier_pg,reward_only_pg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_reward_only_natural,uniform,32,16000,512000,barrier_npg,reward_only_npg,100,0.0,1.0,-1.0,0,100,1.5777218104420236e-30
entropy_vs_reward_only_euclidean,uniform,32,16000,512000,entropy_pg,reward_only_pg,100,1.0,1.0,0.0,0,0,1.0
entropy_vs_reward_only_natural,uniform,32,16000,512000,entropy_npg,reward_only_npg,100,0.63,1.0,-0.37,0,37,1.4551915228366852e-11
barrier_vs_entropy_euclidean,uniform,128,250,32000,barrier_pg,entropy_pg,100,0.0,0.0,0.0,0,0,1.0
barrier_vs_entropy_natural,uniform,128,250,32000,barrier_npg,entropy_npg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_reward_only_euclidean,uniform,128,250,32000,barrier_pg,reward_only_pg,100,0.0,0.0,0.0,0,0,1.0
