arm,updates,handoff_update,budget_trajectories,entropy_coefficient,coefficient_multiple,method,initialization,n_trajectories,seed,finite,invalid_solve_count,final_return,final_q,final_pi1_good,near_optimal_basin,first_delta_safe_positive_update,zero_s1_batch_fraction
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91043,True,0,0.4503900287315288,0.4392330670967811,0.5975550795876106,False,118,0.124
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91044,True,0,0.456770565647298,0.43434728731518957,0.609103341157032,False,134,0.14
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91045,True,0,0.48709820173190355,0.485338584579032,0.6544252244923868,False,100,0.18
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91046,True,0,0.5150327495794206,0.5289109634897396,0.6898217002973644,False,85,0.1
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91047,True,0,0.4909791823048766,0.5055227328048755,0.6518901909699207,False,107,0.14
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91048,True,0,0.47179125119109755,0.4560677915968908,0.6358179592292259,False,114,0.144
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91049,True,0,0.41397147359429604,0.3026398549679656,0.5311593573931528,False,142,0.196
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91050,True,0,0.5087830526587209,0.5226735015119759,0.6815476920055512,False,95,0.124
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91051,True,0,0.4996801384814259,0.5078964715808245,0.6711483810906538,False,98,0.108
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91052,True,0,0.4920792729083489,0.5042627254825851,0.6550802297359494,False,77,0.1
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91053,True,0,0.4769881135058729,0.4506941629262501,0.6461428194823097,False,97,0.144
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91054,True,0,0.4556476107435862,0.37034231050507677,0.6253324889267013,False,103,0.204
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91055,True,0,0.4907562072519709,0.49319597507582313,0.6585416928948062,False,111,0.152
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91056,True,0,0.44225582577946665,0.38210877207359967,0.5941749563926644,False,126,0.208
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91057,True,0,0.44536181969497546,0.3967148961710926,0.5978611287439429,False,128,0.16
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91058,True,0,0.45241599486596884,0.42885076276398465,0.6068642539117572,False,119,0.22
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91059,True,0,0.4728184727638405,0.4660043148301345,0.6343360301443897,False,125,0.184
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91060,True,0,0.4543442291914478,0.42499068068430423,0.6102837647353359,False,122,0.164
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91061,True,0,0.4352745432674874,0.3743432906153547,0.5815617794255732,False,120,0.196
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91062,True,0,0.44843359943779976,0.39954953592498094,0.6020643214818203,False,114,0.184
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91063,True,0,0.43544466454121056,0.3624244205334976,0.5838583406150843,False,119,0.176
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91064,True,0,0.530370012668142,0.5586790368412595,0.7030551896837559,False,71,0.124
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91065,True,0,0.41270795119060444,0.2690086195518557,0.5273425433715747,False,149,0.284
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91066,True,0,0.42676245214050723,0.3062825755813271,0.5655636321954541,False,122,0.2
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91067,True,0,0.4392014541645639,0.36395271222012243,0.5922930845558615,False,98,0.176
