experiment,method,initialization,n,beta,alpha,n_seeds,reward_noise_std,center_returns,normalize_returns,metric,mean,ci_lower,ci_upper,finite_fraction
main,uniform_action_oracle,uniform,4,0.2,0.05,100,0.0,0,0,pi1_a0,0.716852538140357,0.7143515913202386,0.7193534849604754,1.0
main,uniform_action_oracle,uniform,4,0.2,0.05,100,0.0,0,0,zero_s1,0.02,-0.007918982746393827,0.04791898274639383,1.0
main,uniform_action_oracle,uniform,4,0.2,0.05,100,0.0,0,0,empirical_fisher_rank,3.3,3.1723080606372114,3.4276919393627883,1.0
main,visitation_only_oracle,uniform,4,0.2,0.05,100,0.0,0,0,population_return,0.975543858641324,0.9754305493341721,0.9756571679484759,1.0
main,visitation_only_oracle,uniform,4,0.2,0.05,100,0.0,0,0,q,0.9850907179130456,0.9849615785945529,0.9852198572315383,1.0
main,visitation_only_oracle,uniform,4,0.2,0.05,100,0.0,0,0,pi1_a0,0.9871084653992758,0.987060513262882,0.9871564175356695,1.0
main,visitation_only_oracle,uniform,4,0.2,0.05,100,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
main,visitation_only_oracle,uniform,4,0.2,0.05,100,0.0,0,0,empirical_fisher_rank,2.09,2.0329292597739963,2.1470707402260034,1.0
main,full_pooled_fisher_oracle,uniform,4,0.2,0.05,100,0.0,0,0,population_return,0.623680414145605,0.6213796262111092,0.6259812020801009,1.0
main,full_pooled_fisher_oracle,uniform,4,0.2,0.05,100,0.0,0,0,q,0.6803248096036654,0.6764494403131007,0.68420017889423,1.0
main,full_pooled_fisher_oracle,uniform,4,0.2,0.05,100,0.0,0,0,pi1_a0,0.7301411924521585,0.7281727119158977,0.7321096729884192,1.0
main,full_pooled_fisher_oracle,uniform,4,0.2,0.05,100,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
main,full_pooled_fisher_oracle,uniform,4,0.2,0.05,100,0.0,0,0,empirical_fisher_rank,3.32,3.1942538368331617,3.445746163166838,1.0
main,detached_conditional_sampled,uniform,4,0.2,0.05,100,0.0,0,0,population_return,0.6193950857185464,0.6170585639439825,0.6217316074931103,1.0
main,detached_conditional_sampled,uniform,4,0.2,0.05,100,0.0,0,0,q,0.6203960333658816,0.6154393049184967,0.6253527618132664,1.0
main,detached_conditional_sampled,uniform,4,0.2,0.05,100,0.0,0,0,pi1_a0,0.7713277377978071,0.770005221335449,0.7726502542601651,1.0
main,detached_conditional_sampled,uniform,4,0.2,0.05,100,0.0,0,0,zero_s1,0.02,-0.007918982746393827,0.04791898274639383,1.0
main,detached_conditional_sampled,uniform,4,0.2,0.05,100,0.0,0,0,empirical_fisher_rank,3.27,3.1412071808559476,3.3987928191440524,1.0
main,reward_only,uniform,32,0.0,0.05,100,0.0,0,0,population_return,0.9734691239499392,0.9733823797558441,0.9735558681440344,1.0
main,reward_only,uniform,32,0.0,0.05,100,0.0,0,0,q,0.983063938520808,0.9829752222227297,0.9831526548188863,1.0
main,reward_only,uniform,32,0.0,0.05,100,0.0,0,0,pi1_a0,0.9861005972786009,0.9860569550962254,0.9861442394609764,1.0
main,reward_only,uniform,32,0.0,0.05,100,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
main,reward_only,uniform,32,0.0,0.05,100,0.0,0,0,empirical_fisher_rank,2.91,2.777433571681325,3.042566428318675,1.0
main,detached_conditional_oracle,uniform,32,0.01,0.05,100,0.0,0,0,population_return,0.9610054938461424,0.9609127929617441,0.9610981947305407,1.0
main,detached_conditional_oracle,uniform,32,0.01,0.05,100,0.0,0,0,q,0.9740614483686444,0.9739494324315794,0.9741734643057094,1.0
main,detached_conditional_oracle,uniform,32,0.01,0.05,100,0.0,0,0,pi1_a0,0.9793755322217591,0.979332638017303,0.9794184264262152,1.0
main,detached_conditional_oracle,uniform,32,0.01,0.05,100,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
main,detached_conditional_oracle,uniform,32,0.01,0.05,100,0.0,0,0,empirical_fisher_rank,3.15,3.0024417090825115,3.2975582909174883,1.0
main,complete_weighted_oracle,uniform,32,0.01,0.05,100,0.0,0,0,population_return,0.9609140183249127,0.9608196582295466,0.9610083784202789,1.0
main,complete_weighted_oracle,uniform,32,0.01,0.05,100,0.0,0,0,q,0.9739386988578778,0.9738249181614972,0.9740524795542583,1.0
main,complete_weighted_oracle,uniform,32,0.01,0.05,100,0.0,0,0,pi1_a0,0.9793603735907455,0.9793169004327281,0.9794038467487628,1.0
main,complete_weighted_oracle,uniform,32,0.01,0.05,100,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
