configuration,algorithm,run,failed,failure_step,final_modal_action_correct,final_optimal_probability,final_expected_reward,final_expected_pseudo_regret,final_cumulative_pseudo_regret,final_minimum_probability,final_normalized_log_fisher_volume,final_entropy,final_numerically_collapsed
K0010_alpha0p01,sgb,68,0,-1,0,0.022301076542579325,0.8971345607874331,0.10286543921256686,3630.497702375275,0.0005385456739861707,-3.398916507439729,0.22954760145396255,0.0
K0010_alpha0p01,sgb,69,0,-1,1,0.9845263789289863,0.994884996643376,0.0051150033566239594,1404.4796835499303,0.0005412118564216447,-3.6201983616069073,0.11068699765363964,0.0
K0010_alpha0p01,sgb,70,0,-1,1,0.9902877970973426,0.9962084441659214,0.0037915558340786415,1238.5506548943215,0.0002790196307727014,-4.178286081779071,0.07276454253481823,0.0
K0010_alpha0p01,sgb,71,0,-1,1,0.9909809766526056,0.9962780862114151,0.003721913788584885,1515.4760930906268,0.00023065739814488988,-4.423316560967265,0.06530488058079259,0.0
K0010_alpha0p01,sgb,72,0,-1,1,0.9754040836202866,0.9944355764007959,0.00556442359920406,2500.8979163659405,0.000222853554812273,-4.231860438225198,0.1351522786074671,0.0
K0010_alpha0p01,sgb,73,0,-1,1,0.9894453232823814,0.9960714390640019,0.003928560935998138,1694.7136799598607,0.00021628970192787353,-4.313304233575231,0.07509855258629221,0.0
K0010_alpha0p01,sgb,74,0,-1,1,0.9913840803374352,0.9955760521351601,0.0044239478648399055,1315.3385663713032,0.000318804955721768,-4.186185494152854,0.06637925514883461,0.0
K0010_alpha0p01,sgb,75,0,-1,1,0.9895265898231906,0.9956260579647436,0.0043739420352564284,1445.5219354233682,0.00027633067553212853,-4.145337363569434,0.07686519165685518,0.0
K0010_alpha0p01,sgb,76,0,-1,1,0.9907332589038796,0.9969173443177631,0.003082655682236868,1536.512514094498,0.00019826663308528187,-4.427273683403207,0.06773714406344353,0.0
K0010_alpha0p01,sgb,77,0,-1,1,0.9763765179154577,0.9929420064026032,0.007057993597396783,1738.1696265645858,0.0003672352801514056,-3.6922432027304524,0.14699475057079767,0.0
K0010_alpha0p01,sgb,78,0,-1,1,0.984966020201521,0.9948308562613527,0.005169143738647297,1522.2060337302255,0.000319868052471548,-4.066179134449936,0.10228509436487282,0.0
K0010_alpha0p01,sgb,79,0,-1,1,0.9904896251506687,0.9958885854476907,0.004111414552309345,1543.3125245762415,0.00025582720401373925,-4.29314168341925,0.06996507227323515,0.0
K0010_alpha0p01,sgb,80,0,-1,1,0.9907397063182066,0.9955101189578383,0.0044898810421617474,1681.3887595037606,0.00023967988803500403,-4.508227893451213,0.06533700132805431,0.0
K0010_alpha0p01,sgb,81,0,-1,1,0.9831543130090731,0.995251543110982,0.004748456889018038,1889.1024539439516,0.00024077755268552315,-4.3690618223203606,0.10213484134202841,0.0
K0010_alpha0p01,sgb,82,0,-1,1,0.9878295741573839,0.9958515095289507,0.00414849047104926,1805.7222310951154,0.00025243678369876976,-4.0740859207320055,0.0868763826207117,0.0
K0010_alpha0p01,sgb,83,0,-1,1,0.9895611580644782,0.9956519212063759,0.004348078793624088,1679.1155544042406,0.0002084566052724295,-4.389639868135062,0.07312448664693055,0.0
K0010_alpha0p01,sgb,84,0,-1,1,0.9909102767095432,0.9959534322436868,0.00404656775631318,1659.7600504622712,0.000284120513888843,-4.287354026914123,0.06688218676381605,0.0
K0010_alpha0p01,sgb,85,0,-1,0,0.03984947835135314,0.8984230805503068,0.10157691944969316,3756.19467493261,0.0004011431264451596,-3.4869333894132515,0.2658024640015517,0.0
K0010_alpha0p01,sgb,86,0,-1,1,0.903493846067113,0.9851367359994714,0.01486326400052862,2459.605282910344,0.0004718654092853103,-3.048700460388102,0.43446783856706905,0.0
K0010_alpha0p01,sgb,87,0,-1,1,0.9896501313014718,0.9960253249132199,0.003974675086780066,1470.763728819633,0.00023887354128024655,-4.17591432118535,0.07640014365008199,0.0
K0010_alpha0p01,sgb,88,0,-1,1,0.9855789384921131,0.9948742885128704,0.005125711487129592,1715.987869992953,0.0003199414374592572,-4.045237191323914,0.09834411763260328,0.0
K0010_alpha0p01,sgb,89,0,-1,1,0.9796435508514448,0.9946595110324726,0.005340488967527368,1857.3027171220488,0.0002316741895799615,-3.9024621573769016,0.12692710260699808,0.0
K0010_alpha0p01,sgb,90,0,-1,1,0.9416607456624215,0.9900690198698994,0.00993098013010063,3183.746236704922,0.00027504080245818117,-3.9891597671847228,0.2526635594164931,0.0
K0010_alpha0p01,sgb,91,0,-1,1,0.9905264455569561,0.9959735313512794,0.0040264686487205825,1613.487100182154,0.00023289859410932995,-4.504935526166597,0.06752043398548556,0.0
K0010_alpha0p01,sgb,92,0,-1,1,0.9770380154204972,0.9938835099456863,0.006116490054313695,1791.280313259104,0.00024331145116661352,-4.126190957763318,0.13445522635938426,0.0
K0010_alpha0p01,sgb,93,0,-1,1,0.9925025402209923,0.9958771512072374,0.00412284879276259,1369.0710443692942,0.0002419248444210702,-4.518241587354808,0.05599202517743437,0.0
K0010_alpha0p01,sgb,94,0,-1,1,0.9872920681899172,0.9945565471497156,0.005443452850284358,1539.5308900915795,0.0003106542076612606,-4.208326169962791,0.08716201496776249,0.0
K0010_alpha0p01,sgb,95,0,-1,1,0.992280162806657,0.9957459374798846,0.004254062520115398,1452.2468147711718,0.00029028540624142395,-4.381520867571638,0.058780707186389614,0.0
K0010_alpha0p01,sgb,96,0,-1,1,0.9889407560877169,0.9958498143063333,0.004150185693666653,1411.5557384986541,0.00026050443450368477,-4.011346990594647,0.08148475024464848,0.0
K0010_alpha0p01,sgb,97,0,-1,1,0.9922206421201782,0.9954942601425958,0.004505739857404212,1419.2525731337803,0.0002972382153187582,-4.360494682494482,0.059338947534841625,0.0
K0010_alpha0p01,sgb,98,0,-1,1,0.98420447152755,0.9950703681036702,0.004929631896329778,1687.4912953041419,0.0003586901342656578,-4.0209420958799695,0.10251708188660008,0.0
K0010_alpha0p01,sgb,99,0,-1,1,0.9879820581455784,0.995013331280685,0.004986668719314968,1725.1621646508052,0.0002427658318745278,-4.101992862692565,0.08496297814744361,0.0
K0010_alpha0p01,entropy_sgb,0,0,-1,1,0.986273994573757,0.9959414728492859,0.004058527150714086,1817.4399201079755,0.00024059383392132782,-4.150011045688262,0.09343662629860273,0.0
K0010_alpha0p01,entropy_sgb,1,0,-1,1,0.9919761309919254,0.9958533948734635,0.004146605126536529,1510.0147699047566,0.00023747161945919987,-4.402328516654238,0.060605213982605925,0.0
K0010_alpha0p01,entropy_sgb,2,0,-1,1,0.9916778261075374,0.9965417615614497,0.0034582384385503095,1306.3169417983806,0.00024890638293563705,-4.352771467309184,0.06326190097162081,0.0
K0010_alpha0p01,entropy_sgb,3,0,-1,1,0.9894541934402238,0.9961428541222813,0.0038571458777186818,1701.3183426770079,0.00023112542618805853,-4.413138863217876,0.07256488902856409,0.0
K0010_alpha0p01,entropy_sgb,4,0,-1,1,0.9899925470145594,0.9960787637225198,0.0039212362774802,1631.3691704066737,0.00021853150165279176,-4.393828292295864,0.07207746916169588,0.0
K0010_alpha0p01,entropy_sgb,5,0,-1,1,0.9893151978523113,0.9957088074676873,0.004291192532312693,1523.8605419390753,0.0002489685750797476,-4.263072539956869,0.0765902190308683,0.0
K0010_alpha0p01,entropy_sgb,6,0,-1,1,0.993332481651093,0.9966946845128999,0.0033053154871001134,1392.9777550039323,0.00022019061056400305,-4.4576250319304895,0.05271796962429655,0.0
K0010_alpha0p01,entropy_sgb,7,0,-1,1,0.9860183509090119,0.995398825229187,0.00460117477081301,1451.2695179734278,0.0002916903486585836,-3.8873988134610604,0.09920765623133906,0.0
K0010_alpha0p01,entropy_sgb,8,0,-1,1,0.9657563542061218,0.9924729801166752,0.007527019883324826,1827.8776504915272,0.00034835722242875715,-3.7816405037055167,0.1803658905852604,0.0
K0010_alpha0p01,entropy_sgb,9,0,-1,1,0.978338636570379,0.9938563305204886,0.006143669479511393,1841.4908092542992,0.0003428867020812922,-3.6668573184171462,0.1405587841506413,0.0
K0010_alpha0p01,entropy_sgb,10,0,-1,1,0.9857464047042702,0.9961298769020922,0.003870123097907796,1989.9252206763706,0.0002469114062830039,-4.444992140526622,0.08886137433712818,0.0
K0010_alpha0p01,entropy_sgb,11,0,-1,1,0.9899332245579305,0.9959785329868953,0.004021467013104685,1819.0862557164078,0.0001978702186648388,-4.33629631212164,0.07281167605087105,0.0
K0010_alpha0p01,entropy_sgb,12,0,-1,1,0.9859428475625115,0.9950551632972645,0.004944836702735489,1710.7844552529139,0.00029010824447167383,-4.17735405706851,0.09277216154867435,0.0
K0010_alpha0p01,entropy_sgb,13,0,-1,1,0.9917181921992211,0.9962691086639284,0.003730891336071629,1486.6541227939886,0.00021125801125852897,-4.4013022232198145,0.062070210455158814,0.0
K0010_alpha0p01,entropy_sgb,14,0,-1,1,0.9868748522040518,0.9960271190395676,0.003972880960432357,1688.602036422071,0.00024638830600906943,-3.9522964935552,0.09299347448827551,0.0
K0010_alpha0p01,entropy_sgb,15,0,-1,1,0.990293430736735,0.9950567124426273,0.004943287557372722,1546.0828949663016,0.0003464642906454332,-4.310913486373934,0.06955191815825792,0.0
K0010_alpha0p01,entropy_sgb,16,0,-1,1,0.990384783585578,0.9951970356900516,0.004802964309948421,1605.0930057343141,0.00028183073653773657,-4.171424989804923,0.07195894295001219,0.0
K0010_alpha0p01,entropy_sgb,17,0,-1,1,0.9909438194674571,0.9962620764679018,0.0037379235320982307,1468.1099921971208,0.00025155502578690244,-4.284322472476832,0.06794535077639227,0.0
K0010_alpha0p01,entropy_sgb,18,0,-1,1,0.9888689281901897,0.9957040016973754,0.004295998302624615,1760.960783808575,0.00021612950500512378,-4.395234500023806,0.07745356469066093,0.0
K0010_alpha0p01,entropy_sgb,19,0,-1,1,0.9881074328298042,0.996330706442042,0.0036692935579579755,1823.882367141517,0.00018543120315771855,-4.359070364567576,0.08048615229283274,0.0
K0010_alpha0p01,entropy_sgb,20,0,-1,1,0.9902506573209613,0.9954771464054876,0.004522853594512433,1473.1291496093252,0.0003031777704008694,-4.191774287004087,0.0723758102638284,0.0
K0010_alpha0p01,entropy_sgb,21,0,-1,1,0.9940032406071767,0.9967563212517347,0.003243678748265255,1415.8032627512268,0.00020848841497603606,-4.516250107114584,0.04813320466402519,0.0
K0010_alpha0p01,entropy_sgb,22,0,-1,1,0.9905921351225591,0.9965294936456323,0.0034705063543677417,1287.4199054427495,0.00023790210652325773,-4.163995652551782,0.07123120950406948,0.0
K0010_alpha0p01,entropy_sgb,23,0,-1,1,0.9854103345784956,0.996053926490141,0.003946073509858983,1416.165338430889,0.00028568333056215215,-3.8712289793528045,0.1023233106566625,0.0
K0010_alpha0p01,entropy_sgb,24,0,-1,1,0.9861649421995351,0.9951324458163056,0.004867554183694445,2022.3967601278584,0.0002826977551332756,-4.093829294279624,0.09537560210787444,0.0
K0010_alpha0p01,entropy_sgb,25,0,-1,1,0.993032814847971,0.9961791901363718,0.003820809863628205,1462.000558283012,0.00023268728574948484,-4.522319107913782,0.05350347043300545,0.0
K0010_alpha0p01,entropy_sgb,26,0,-1,1,0.9807582373550578,0.994483631430014,0.005516368569986052,1494.4530741687374,0.00043448886663031495,-3.6445482301202574,0.12939516529835615,0.0
K0010_alpha0p01,entropy_sgb,27,0,-1,1,0.9074979156721972,0.9862327231423335,0.013767276857666544,3226.5437511122273,0.00033684436813238936,-3.9051419727742216,0.3399475050991305,0.0
K0010_alpha0p01,entropy_sgb,28,0,-1,1,0.9779758559341089,0.9940658591490408,0.005934140850959224,1822.8878400865804,0.0003131409050572569,-3.9558794298129873,0.13538525436579635,0.0
K0010_alpha0p01,entropy_sgb,29,0,-1,1,0.9815565919089999,0.9943357023458523,0.005664297654147665,1967.4946505680653,0.0002474332479679573,-4.489741963473958,0.1057869345745434,0.0
K0010_alpha0p01,entropy_sgb,30,0,-1,1,0.9906289624689962,0.9963047739770947,0.0036952260229052847,1704.7471784680986,0.00022838174814405395,-4.496833062915228,0.066500720960489,0.0
K0010_alpha0p01,entropy_sgb,31,0,-1,1,0.992807640506068,0.9960284770196884,0.003971522980311559,1525.821305268387,0.00023221271105843073,-4.516579743060797,0.05501655394580794,0.0
K0010_alpha0p01,entropy_sgb,32,0,-1,1,0.9875168508716853,0.9955537324883954,0.004446267511604596,1659.3515229225789,0.0003627811195952017,-3.8652773823653286,0.09097266965235842,0.0
K0010_alpha0p01,entropy_sgb,33,0,-1,1,0.9885497564875602,0.9964972029561047,0.0035027970438953338,1147.6890284071455,0.00027925050361024935,-4.071826333865269,0.08353293988310098,0.0
K0010_alpha0p01,entropy_sgb,34,0,-1,1,0.9843212552527861,0.9944574369455729,0.00554256305442713,1794.1878845914096,0.00033923009764583113,-4.123261148944866,0.10103937037042275,0.0
K0010_alpha0p01,entropy_sgb,35,0,-1,1,0.9866257430385943,0.9950092565025946,0.004990743497405359,1649.5100560427275,0.00032032591926602603,-4.080618835605703,0.09242409811081212,0.0
K0010_alpha0p01,entropy_sgb,36,0,-1,1,0.9880399445669185,0.9961543410511003,0.003845658948899655,1675.355018557507,0.00023021921834596404,-4.257872641710698,0.082925421983966,0.0
K0010_alpha0p01,entropy_sgb,37,0,-1,1,0.9928466959313327,0.9965543083315442,0.0034456916684557637,1623.9506160457074,0.00023088603693777104,-4.4539992340198,0.05513194663407486,0.0
K0010_alpha0p01,entropy_sgb,38,0,-1,1,0.9942459647515718,0.9961686696417296,0.003831330358270435,1668.689945005504,0.0002109594668075374,-4.69091239012043,0.045241729059589564,0.0
K0010_alpha0p01,entropy_sgb,39,0,-1,1,0.9853040096989534,0.9952944036512019,0.00470559634879808,1839.1066512623936,0.0002595415087880934,-4.195096528053385,0.09608004720842223,0.0
K0010_alpha0p01,entropy_sgb,40,0,-1,1,0.9921681537556563,0.9953747112961018,0.004625288703898223,1581.4297947707694,0.0002678972681171123,-4.424739835258836,0.05909084012607006,0.0
K0010_alpha0p01,entropy_sgb,41,0,-1,1,0.9870016755000676,0.995242820855698,0.0047571791443019595,1593.3590337982976,0.0003291008802908423,-4.0528390301239074,0.09051867581604021,0.0
K0010_alpha0p01,entropy_sgb,42,0,-1,1,0.9891736106043397,0.9958095970693481,0.004190402930651871,1325.7772305888536,0.00033120430387791077,-4.10455012492218,0.07922954919935282,0.0
