configuration,algorithm,num_runs,finite_runs,failed_fraction,incorrect_modal_action_rate,optimal_probability_below_0p5_fraction,metric,mean,ci95_lower,ci95_upper
K0100_alpha0p01,entropy_sgb,100,100,0.0,0.37,0.37,normalized_log_fisher_volume,-4.130596008713784,-4.240565262892757,-4.0206267545348116
K0100_alpha0p01,entropy_sgb,100,100,0.0,0.37,0.37,entropy,0.27018051182845537,0.20744117635631368,0.3329198473005971
K0100_alpha0p01,entropy_sgb,100,100,0.0,0.37,0.37,numerically_collapsed,0.0,0.0,0.0
K0100_alpha0p01,npg,100,100,0.0,0.97,0.97,optimal_arm_probability,0.03000000160276393,-0.004018724644109826,0.06401872784963769
K0100_alpha0p01,npg,100,100,0.0,0.97,0.97,expected_reward,0.5141347684557742,0.44680595391733646,0.581463582994212
K0100_alpha0p01,npg,100,100,0.0,0.97,0.97,expected_pseudo_regret,0.4858652315442257,0.4185364170057879,0.5531940460826634
K0100_alpha0p01,npg,100,100,0.0,0.97,0.97,cumulative_pseudo_regret,12618.83827936447,10949.166979610716,14288.509579118225
K0100_alpha0p01,npg,100,100,0.0,0.97,0.97,minimum_probability,3.1864607480514507e-16,-2.715298782234939e-16,9.08822027833784e-16
K0100_alpha0p01,npg,100,100,0.0,0.97,0.97,normalized_log_fisher_volume,-279.52930828933177,-381.3004467962255,-177.75816978243805
K0100_alpha0p01,npg,100,100,0.0,0.97,0.97,entropy,0.006174367232344044,-0.006015785517548969,0.01836451998223706
K0100_alpha0p01,npg,100,100,0.0,0.97,0.97,numerically_collapsed,1.0,1.0,1.0
K0100_alpha0p01,lb_sgb,100,100,0.0,0.21,0.21,optimal_arm_probability,0.721761767050739,0.6489068178480863,0.7946167162533917
K0100_alpha0p01,lb_sgb,100,100,0.0,0.21,0.21,expected_reward,0.9203767171580991,0.9091754301318891,0.9315780041843091
K0100_alpha0p01,lb_sgb,100,100,0.0,0.21,0.21,expected_pseudo_regret,0.07962328284190102,0.06842199581569097,0.09082456986811108
K0100_alpha0p01,lb_sgb,100,100,0.0,0.21,0.21,cumulative_pseudo_regret,12306.80209943732,12038.725687363929,12574.878511510711
K0100_alpha0p01,lb_sgb,100,100,0.0,0.21,0.21,minimum_probability,0.00026425307545904477,0.00024984180898389067,0.00027866434193419886
K0100_alpha0p01,lb_sgb,100,100,0.0,0.21,0.21,normalized_log_fisher_volume,-2.6584304061212087,-2.7113574764667714,-2.605503335775646
K0100_alpha0p01,lb_sgb,100,100,0.0,0.21,0.21,entropy,0.7530504042614393,0.6827516872937944,0.8233491212290842
K0100_alpha0p01,lb_sgb,100,100,0.0,0.21,0.21,numerically_collapsed,0.0,0.0,0.0
K0100_alpha0p1,sgb,100,100,0.0,0.75,0.75,optimal_arm_probability,0.24992553613484192,0.1636519234154154,0.33619914885426844
K0100_alpha0p1,sgb,100,100,0.0,0.75,0.75,expected_reward,0.8621065335525381,0.8404783571626034,0.8837347099424727
K0100_alpha0p1,sgb,100,100,0.0,0.75,0.75,expected_pseudo_regret,0.13789346644746184,0.11626529005752724,0.15952164283739645
K0100_alpha0p1,sgb,100,100,0.0,0.75,0.75,cumulative_pseudo_regret,4303.93813477226,3793.4738958661633,4814.4023736783565
K0100_alpha0p1,sgb,100,100,0.0,0.75,0.75,minimum_probability,2.0091016333415057e-06,1.762588337317157e-06,2.2556149293658546e-06
K0100_alpha0p1,sgb,100,100,0.0,0.75,0.75,normalized_log_fisher_volume,-7.404957176901514,-7.501717602662996,-7.3081967511400325
K0100_alpha0p1,sgb,100,100,0.0,0.75,0.75,entropy,0.011539513467010204,0.009675910800227627,0.013403116133792782
K0100_alpha0p1,sgb,100,100,0.0,0.75,0.75,numerically_collapsed,0.0,0.0,0.0
K0100_alpha0p1,entropy_sgb,100,100,0.0,0.71,0.71,optimal_arm_probability,0.289829974095418,0.1994082676630852,0.3802516805277508
K0100_alpha0p1,entropy_sgb,100,100,0.0,0.71,0.71,expected_reward,0.8892784930380797,0.8714397798158431,0.9071172062603163
K0100_alpha0p1,entropy_sgb,100,100,0.0,0.71,0.71,expected_pseudo_regret,0.11072150696192015,0.09288279373968356,0.12856022018415675
K0100_alpha0p1,entropy_sgb,100,100,0.0,0.71,0.71,cumulative_pseudo_regret,3602.7195075963414,3178.930142040958,4026.508873151725
K0100_alpha0p1,entropy_sgb,100,100,0.0,0.71,0.71,minimum_probability,1.9176751030831357e-06,1.7036488516477997e-06,2.1317013545184717e-06
K0100_alpha0p1,entropy_sgb,100,100,0.0,0.71,0.71,normalized_log_fisher_volume,-7.4569317597824805,-7.53972038395783,-7.374143135607131
K0100_alpha0p1,entropy_sgb,100,100,0.0,0.71,0.71,entropy,0.009970791247532133,0.008837844053385526,0.01110373844167874
K0100_alpha0p1,entropy_sgb,100,100,0.0,0.71,0.71,numerically_collapsed,0.0,0.0,0.0
K0100_alpha0p1,npg,100,100,0.0,0.98,0.98,optimal_arm_probability,0.02,-0.007918982746393827,0.04791898274639383
K0100_alpha0p1,npg,100,100,0.0,0.98,0.98,expected_reward,0.5714329501659329,0.5200293705761134,0.6228365297557523
K0100_alpha0p1,npg,100,100,0.0,0.98,0.98,expected_pseudo_regret,0.4285670498340671,0.3771634702442477,0.4799706294238866
K0100_alpha0p1,npg,100,100,0.0,0.98,0.98,cumulative_pseudo_regret,11041.972296720922,9727.449756490283,12356.49483695156
K0100_alpha0p1,npg,100,100,0.0,0.98,0.98,minimum_probability,1.1723467466877895e-76,-1.1506732947288902e-76,3.495366788104469e-76
K0100_alpha0p1,npg,100,100,0.0,0.98,0.98,normalized_log_fisher_volume,-1505.6883248003298,-1651.2661629034149,-1360.1104866972448
K0100_alpha0p1,npg,100,100,0.0,0.98,0.98,entropy,1.3926680237993893e-61,-1.3706874502883905e-61,4.156023497887169e-61
K0100_alpha0p1,npg,100,100,0.0,0.98,0.98,numerically_collapsed,1.0,1.0,1.0
