iteration,train_reward,best_reward,kl,grad_norm,nat_grad_norm,entropy,mean_std,return_mean,return_std,episode_len,rollout_time,update_time,total_time
61,26.1282,28.4824,1.309763e-05,2.578341e+02,3.046796e+03,1.821651,0.601582,4.6684,8.7585,500.0,1.8751,0.0714,1.9465
62,28.2284,28.4824,1.311174e-05,1.300261e+02,2.471122e+03,1.821365,0.601561,5.8406,8.3371,500.0,2.0176,0.0702,2.0878
63,27.2843,28.4824,1.522392e-05,1.836362e+02,2.809647e+03,1.821316,0.601558,5.2745,8.8284,500.0,1.9166,0.069,1.9856
64,29.2563,29.2563,1.426471e-05,1.552259e+02,3.226113e+03,1.820908,0.60148,6.1194,8.6222,500.0,1.8483,0.0717,1.9201
65,28.0695,29.2563,1.241516e-05,2.295207e+02,2.303707e+03,1.820413,0.601244,5.154,8.7782,500.0,1.8797,0.0707,1.9504
66,29.2607,29.2607,1.315570e-05,1.493553e+02,2.845987e+03,1.820442,0.601244,6.2262,8.5539,500.0,2.0349,0.0758,2.1107
67,29.3549,29.3549,1.210066e-05,9.553847e+01,2.816286e+03,1.820578,0.60125,6.3184,8.4709,500.0,1.9296,0.0726,2.0022
68,28.5842,29.3549,1.143682e-05,1.853345e+02,2.521545e+03,1.820538,0.601249,5.9727,8.6925,500.0,1.9018,0.0704,1.9722
69,28.7924,29.3549,1.036215e-05,1.477155e+02,2.208021e+03,1.820622,0.601459,5.8188,8.5801,500.0,1.9016,0.0693,1.9709
70,29.0588,29.3549,1.361320e-05,1.960353e+02,2.486844e+03,1.819984,0.601153,5.869,8.4911,500.0,1.8842,0.0675,1.9518
71,29.3227,29.3549,1.210995e-05,2.549368e+02,2.628230e+03,1.819799,0.601147,6.5127,8.0222,500.0,1.7948,0.0678,1.8626
72,28.0138,29.3549,1.022417e-05,1.943591e+02,2.873193e+03,1.819466,0.600977,5.4217,8.6885,500.0,1.8123,0.0693,1.8816
73,29.6944,29.6944,1.033705e-05,1.400051e+02,2.827012e+03,1.819008,0.600898,6.1291,8.7848,500.0,1.7441,0.0699,1.8139
74,28.5972,29.6944,1.048866e-05,1.679480e+02,2.402781e+03,1.818546,0.600612,5.5861,8.5728,500.0,1.7679,0.0693,1.8373
75,29.0699,29.6944,1.324459e-05,1.368272e+02,2.376000e+03,1.817112,0.600254,5.957,8.8214,500.0,1.8033,0.0678,1.8711
76,29.0687,29.6944,1.241743e-05,1.352888e+02,2.312857e+03,1.815777,0.599923,6.1059,8.5823,500.0,1.7555,0.0673,1.8228
77,30.008,30.008,1.260489e-05,2.167964e+02,2.803318e+03,1.814943,0.59961,6.5615,8.1874,500.0,1.7577,0.0708,1.8285
78,30.1614,30.1614,8.961744e-06,1.365026e+02,2.547682e+03,1.814102,0.599505,6.4127,8.3363,500.0,1.7739,0.0687,1.8426
79,30.2177,30.2177,1.317383e-05,1.006208e+02,2.692583e+03,1.813765,0.599272,6.3911,8.709,500.0,1.7713,0.0732,1.8445
80,30.4066,30.4066,1.429373e-05,1.273649e+02,2.553386e+03,1.813366,0.599194,6.4987,8.3897,500.0,1.7941,0.0782,1.8722
81,30.4086,30.4086,1.387583e-05,1.485572e+02,2.764112e+03,1.813578,0.599217,6.1796,8.6903,500.0,1.7835,0.0703,1.8538
82,30.6462,30.6462,1.206312e-05,1.567492e+02,2.805676e+03,1.812512,0.598947,6.4862,8.5345,500.0,1.7768,0.0685,1.8453
83,30.6382,30.6462,1.374937e-05,8.649052e+01,2.690581e+03,1.812525,0.598947,6.7453,8.4081,500.0,1.8315,0.0691,1.9006
84,30.9222,30.9222,1.204231e-05,7.224770e+01,2.962029e+03,1.812099,0.598712,6.4019,8.3612,500.0,1.838,0.0686,1.9067
85,30.4669,30.9222,1.383282e-05,1.622902e+02,2.725676e+03,1.811579,0.598631,6.2949,8.7279,500.0,1.8258,0.0717,1.8976
86,30.8511,30.9222,1.952763e-05,1.661039e+02,2.568500e+03,1.810175,0.598221,6.3184,8.7432,500.0,2.144,0.0744,2.2183
87,30.5774,30.9222,1.649435e-05,2.676273e+02,2.817189e+03,1.810078,0.598216,5.9723,8.6758,500.0,2.001,0.0711,2.0721
