environment,run_label,method,seed,update,environment_steps,fisher,analysis_batch_identifier,training_batch_reused,parameter_count,state_count,action_count,score_row_count,maximum_possible_rank,numerical_rank,eigenvalue_threshold,trace,largest_eigenvalue,smallest_positive_eigenvalue,k90,participation_ratio,entropy_effective_rank,log_pseudodeterminant,positive_spectrum_condition_number,dtype,spectral_floor_used,decomposition_space
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,303,87622,87622,fixed_reference,analysis-fixed_reference-303-87622,False,155,256,3,768,155,146,1e-10,1.9111196076033428,0.6317660096975765,3.5649715532514723e-10,5,4.1340250905417655,5.72599344547127,-1799.256099872007,1772148810.3358557,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,303,99617,99617,fixed_reference,analysis-fixed_reference-303-99617,False,155,256,3,768,155,146,1e-10,1.9100054101403463,0.6319107593915197,3.553273341910072e-10,5,4.1338923269539425,5.726364532290306,-1799.238412839873,1778390510.907991,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,303,111617,111617,fixed_reference,analysis-fixed_reference-303-111617,False,155,256,3,768,155,146,1e-10,1.9092868042762021,0.6321999856663671,3.5275434122479387e-10,5,4.13349630670313,5.726356685446487,-1799.2644607237137,1792182013.8947506,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,303,122880,122880,fixed_reference,analysis-fixed_reference-303-122880,False,155,256,3,768,155,146,1e-10,1.9081228404276511,0.6325486753114374,3.5036450937534096e-10,5,4.133128503045859,5.726452378217924,-1799.3250806771518,1805401684.2036824,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,304,0,0,fixed_reference,analysis-fixed_reference-304-0,False,155,256,3,768,155,145,1e-10,1.5402040529481609,0.5802102482242286,1.48071850226896e-10,5,3.8027904568451607,5.251524277432678,-1857.349398950722,3918437213.6577673,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,304,16000,16000,fixed_reference,analysis-fixed_reference-304-16000,False,155,256,3,768,155,145,1e-10,1.5355642646295118,0.5775169764856871,1.5590069615026213e-10,5,3.8031407204392758,5.2514242870064125,-1858.1954523204909,3704389978.6634536,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,304,28000,28000,fixed_reference,analysis-fixed_reference-304-28000,False,155,256,3,768,155,145,1e-10,1.5339518476366842,0.5760375844273171,1.6046543767679043e-10,5,3.805628458841718,5.253977251361258,-1858.1907217599528,3589792249.1419764,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,304,40000,40000,fixed_reference,analysis-fixed_reference-304-40000,False,155,256,3,768,155,145,1e-10,1.532002226355305,0.5745801596800219,1.6392571670134442e-10,5,3.807229967830165,5.255510966003635,-1858.365305956061,3505125194.766402,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,304,52000,52000,fixed_reference,analysis-fixed_reference-304-52000,False,155,256,3,768,155,145,1e-10,1.5303404795135218,0.5738659559014803,1.651587612286838e-10,5,3.806282237020786,5.254422671741564,-1858.6898748767273,3474632236.47511,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,304,64000,64000,fixed_reference,analysis-fixed_reference-304-64000,False,155,256,3,768,155,145,1e-10,1.528930763273125,0.5734472259539742,1.6630453733533733e-10,5,3.8048036785276116,5.252588435792148,-1858.9577365873336,3448175468.5843134,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,304,76000,76000,fixed_reference,analysis-fixed_reference-304-76000,False,155,256,3,768,155,145,1e-10,1.528807096701676,0.5736722017180652,1.6558896635285357e-10,5,3.8037179694076917,5.251207286074772,-1859.1636462203187,3464434946.079843,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,304,88000,88000,fixed_reference,analysis-fixed_reference-304-88000,False,155,256,3,768,155,145,1e-10,1.5282603608501821,0.5734583489413431,1.6598377912099884e-10,5,3.80345826502233,5.250784379014348,-1859.3218199948647,3454905967.18673,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,304,100000,100000,fixed_reference,analysis-fixed_reference-304-100000,False,155,256,3,768,155,145,1e-10,1.5284364513932054,0.5736441162344433,1.6533355964486096e-10,5,3.8032045187944963,5.250519415751553,-1859.3564886199692,3469616921.4927673,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,304,112000,112000,fixed_reference,analysis-fixed_reference-304-112000,False,155,256,3,768,155,145,1e-10,1.5292422308264555,0.5741073330114933,1.6278308305511973e-10,5,3.8029934487367356,5.250398236668642,-1859.4040291616748,3526824300.3918023,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,304,122880,122880,fixed_reference,analysis-fixed_reference-304-122880,False,155,256,3,768,155,145,1e-10,1.5293187236903616,0.5742249414421711,1.6064746085509965e-10,5,3.802492981065905,5.249738046672347,-1859.652040683064,3574441440.8149834,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,305,0,0,fixed_reference,analysis-fixed_reference-305-0,False,155,256,3,768,155,145,1e-10,2.1399976819012734,0.6513538877659867,2.4339679847162394e-10,5,4.444494084640744,5.944117650922155,-1760.7220595163722,2676098830.6176257,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,305,16000,16000,fixed_reference,analysis-fixed_reference-305-16000,False,155,256,3,768,155,145,1e-10,2.1428071537840427,0.6534344888841667,2.3143723769322665e-10,5,4.44072243381959,5.943528905696294,-1761.2824195783892,2823376632.892168,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,305,28000,28000,fixed_reference,analysis-fixed_reference-305-28000,False,155,256,3,768,155,145,1e-10,2.142926645170504,0.6541928035974988,2.245644865786939e-10,5,4.438975139247321,5.943191012830703,-1761.7744289670586,2913162332.852887,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,305,40000,40000,fixed_reference,analysis-fixed_reference-305-40000,False,155,256,3,768,155,145,1e-10,2.1437410688119174,0.6553711931838015,2.2330098869046748e-10,5,4.435899822590009,5.941016900469214,-1762.127513925611,2934922935.3044004,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,305,52000,52000,fixed_reference,analysis-fixed_reference-305-52000,False,155,256,3,768,155,145,1e-10,2.145131514323815,0.656614693261183,2.2338824854628126e-10,5,4.433611538554744,5.9400001243836735,-1762.2818152923217,2939343038.5625076,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,305,64000,64000,fixed_reference,analysis-fixed_reference-305-64000,False,155,256,3,768,155,145,1e-10,2.146099787821593,0.6573853463673143,2.2608708399694842e-10,5,4.432063716776176,5.939148078173997,-1762.2728455156712,2907664315.6501026,float64,False,parameter_fisher
