run_label,environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,episode_length,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,305,22,88000,-500.0,-500.0,500.0,1.0848758220672607,0.28099149465560913,0.21174921095371246,-1.112277626991272,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,305,25,100000,-500.0,-500.0,500.0,1.0838634967803955,0.2795655131340027,0.2073998898267746,-1.1133055686950684,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,305,28,112000,-500.0,-500.0,500.0,1.084835410118103,0.2814655303955078,0.21185849606990814,-1.112298607826233,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,305,31,122880,-500.0,-500.0,500.0,1.0843967199325562,0.2808096706867218,0.21102970838546753,-1.1127349138259888,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,306,0,0,-500.0,-500.0,500.0,1.0962234735488892,0.30625462532043457,0.2446736842393875,-1.101047396659851,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,306,4,16000,-500.0,-500.0,500.0,1.0966036319732666,0.30815809965133667,0.2637852728366852,-1.1006524562835693,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,306,7,28000,-500.0,-500.0,500.0,1.0960625410079956,0.3057651221752167,0.24061888456344604,-1.101206660270691,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,306,10,40000,-500.0,-500.0,500.0,1.0964109897613525,0.3072611689567566,0.2625992000102997,-1.1008479595184326,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,306,13,52000,-500.0,-500.0,500.0,1.095903754234314,0.3050382435321808,0.24390798807144165,-1.1013721227645874,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,306,16,64000,-500.0,-500.0,500.0,1.0964428186416626,0.30789151787757874,0.24461881816387177,-1.1008186340332031,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,306,19,76000,-500.0,-500.0,500.0,1.0968043804168701,0.3099201023578644,0.2562497854232788,-1.1004468202590942,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,306,22,88000,-500.0,-500.0,500.0,1.097020149230957,0.3110252916812897,0.26405930519104004,-1.100225806236267,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,306,25,100000,-500.0,-500.0,500.0,1.0962085723876953,0.3069060444831848,0.2478000968694687,-1.1010574102401733,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,306,28,112000,-500.0,-500.0,500.0,1.0962152481079102,0.3065813481807709,0.24303331971168518,-1.1010487079620361,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,306,31,122880,-500.0,-500.0,500.0,1.0966557264328003,0.3091075122356415,0.2555646300315857,-1.1005984544754028,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,307,0,0,-500.0,-500.0,500.0,1.0884710550308228,0.2788606584072113,0.24359172582626343,-1.1088511943817139,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,307,4,16000,-500.0,-500.0,500.0,1.087708592414856,0.2776359021663666,0.24138689041137695,-1.1096150875091553,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,307,7,28000,-500.0,-500.0,500.0,1.0886867046356201,0.2798284590244293,0.2367560863494873,-1.108629584312439,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,307,10,40000,-500.0,-500.0,500.0,1.08918035030365,0.2813038229942322,0.24758777022361755,-1.1081187725067139,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,307,13,52000,-500.0,-500.0,500.0,1.0893609523773193,0.28162169456481934,0.24231263995170593,-1.1079354286193848,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,307,16,64000,-500.0,-500.0,500.0,1.088834285736084,0.28140872716903687,0.2469121217727661,-1.1084426641464233,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,307,19,76000,-500.0,-500.0,500.0,1.089195728302002,0.28248411417007446,0.24471676349639893,-1.1080726385116577,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,307,22,88000,-500.0,-500.0,500.0,1.0898585319519043,0.2839576303958893,0.2492782175540924,-1.107409119606018,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,307,25,100000,-500.0,-500.0,500.0,1.0882339477539062,0.2805204689502716,0.2408776432275772,-1.1090302467346191,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,307,28,112000,-500.0,-500.0,500.0,1.0890073776245117,0.2822102904319763,0.2424190789461136,-1.1082583665847778,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,307,31,122880,-500.0,-500.0,500.0,1.0899503231048584,0.2845291197299957,0.2490158975124359,-1.1073055267333984,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,308,0,0,-500.0,-500.0,500.0,1.0540071725845337,0.20241989195346832,0.17561399936676025,-1.147779941558838,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,308,4,16000,-500.0,-500.0,500.0,1.0541048049926758,0.20232848823070526,0.17393037676811218,-1.1477195024490356,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,308,7,28000,-500.0,-500.0,500.0,1.0549651384353638,0.2033657431602478,0.17328812181949615,-1.1467324495315552,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,308,10,40000,-500.0,-500.0,500.0,1.0552300214767456,0.20371168851852417,0.1725817769765854,-1.1464167833328247,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,308,13,52000,-500.0,-500.0,500.0,1.0550503730773926,0.2049475610256195,0.17057162523269653,-1.146408200263977,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,308,16,64000,-500.0,-500.0,500.0,1.0563087463378906,0.20583735406398773,0.17095091938972473,-1.1450642347335815,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,308,19,76000,-500.0,-500.0,500.0,1.0557836294174194,0.20608218014240265,0.17506757378578186,-1.1455270051956177,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,308,22,88000,-500.0,-500.0,500.0,1.0563879013061523,0.20515957474708557,0.17015987634658813,-1.1450750827789307,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,308,25,100000,-500.0,-500.0,500.0,1.0569963455200195,0.2066931575536728,0.17733025550842285,-1.1442712545394897,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,308,28,112000,-500.0,-500.0,500.0,1.0568034648895264,0.20595844089984894,0.17562554776668549,-1.1445581912994385,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,308,31,122880,-500.0,-500.0,500.0,1.0569931268692017,0.20712785422801971,0.17501972615718842,-1.144199013710022,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,309,0,0,-500.0,-500.0,500.0,1.087021827697754,0.2729271352291107,0.21335402131080627,-1.110540747642517,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,309,4,16000,-500.0,-500.0,500.0,1.0865541696548462,0.2713465392589569,0.21657584607601166,-1.1110337972640991,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,309,7,28000,-500.0,-500.0,500.0,1.0866848230361938,0.2722615599632263,0.21012751758098602,-1.110965609550476,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,309,10,40000,-500.0,-500.0,500.0,1.087066888809204,0.27238166332244873,0.21360652148723602,-1.110510230064392,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,309,13,52000,-500.0,-500.0,500.0,1.0871354341506958,0.27283674478530884,0.21747907996177673,-1.1104503870010376,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,309,16,64000,-500.0,-500.0,500.0,1.087364673614502,0.27330145239830017,0.22068914771080017,-1.1101840734481812,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,309,19,76000,-500.0,-500.0,500.0,1.0875509977340698,0.2739039659500122,0.21360597014427185,-1.1100026369094849,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,309,22,88000,-500.0,-500.0,500.0,1.0878140926361084,0.2750978171825409,0.21662867069244385,-1.1097464561462402,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,309,25,100000,-500.0,-500.0,500.0,1.0881524085998535,0.27581873536109924,0.2202315628528595,-1.1093734502792358,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,309,28,112000,-500.0,-500.0,500.0,1.0880188941955566,0.2759547233581543,0.21067775785923004,-1.1095757484436035,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,309,31,122880,-500.0,-500.0,500.0,1.0886255502700806,0.2770038843154907,0.21551038324832916,-1.1089013814926147,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,310,0,0,-500.0,-500.0,500.0,1.0861308574676514,0.2818240821361542,0.21657556295394897,-1.11106538772583,0.0,False
