environment,run_label,method,seed,update,environment_steps,fisher,analysis_batch_identifier,training_batch_reused,parameter_count,state_count,action_count,score_row_count,maximum_possible_rank,numerical_rank,eigenvalue_threshold,trace,largest_eigenvalue,smallest_positive_eigenvalue,k90,participation_ratio,entropy_effective_rank,log_pseudodeterminant,positive_spectrum_condition_number,dtype,spectral_floor_used,decomposition_space
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,305,52000,52000,on_policy,analysis-on_policy-305-52000,False,155,128,3,384,155,62,1e-10,1.6115474634904592,0.8259293978124495,1.04543053947545e-10,2,2.1512449435400205,2.392306116725164,-948.5753876161283,7900375650.273845,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,305,64000,64000,on_policy,analysis-on_policy-305-64000,False,155,128,3,384,155,63,1e-10,1.606550578326844,0.8201220444828197,1.0706393484182369e-10,2,2.168463865182548,2.4306582052272345,-956.2264351158369,7660114918.197883,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,305,76000,76000,on_policy,analysis-on_policy-305-76000,False,155,128,3,384,155,65,1e-10,1.6093814241281779,0.8182905318506726,1.1013748169022753e-10,2,2.184991972449476,2.461460030573938,-991.2720794141417,7429718923.047423,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,305,88000,88000,on_policy,analysis-on_policy-305-88000,False,155,128,3,384,155,60,1e-10,1.6013674885080065,0.8236615037256941,1.105099509437299e-10,2,2.1337350365742576,2.357489232709733,-914.6269121797837,7453279063.937789,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,305,100000,100000,on_policy,analysis-on_policy-305-100000,False,155,128,3,384,155,60,1e-10,1.6079811202316012,0.8207497066844277,1.2091566249713136e-10,2,2.180845145677583,2.444153223228168,-906.8278757530511,6787786542.5738325,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,305,112000,112000,on_policy,analysis-on_policy-305-112000,False,155,128,3,384,155,58,1e-10,1.5979132041118786,0.8258305175444827,1.079559123018989e-10,2,2.121869114731193,2.3312588696141647,-878.798348167571,7649701622.964809,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,305,122880,122880,on_policy,analysis-on_policy-305-122880,False,155,128,3,384,155,59,1e-10,1.5965345681484198,0.8269840728539248,1.304127379683818e-10,2,2.1309369543326926,2.3579329907237203,-889.5833785089935,6341282958.528367,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,306,0,0,on_policy,analysis-on_policy-306-0,False,155,128,3,384,155,52,1e-10,1.5206351613747175,0.943154439044908,1.1265600137272e-10,2,1.9464938769871265,2.162301304049563,-798.4247896263456,8371985757.993501,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,306,16000,16000,on_policy,analysis-on_policy-306-16000,False,155,128,3,384,155,51,1e-10,1.5244547177946834,0.9509431533069324,1.0939655365688929e-10,2,1.9334475488984795,2.137488730023117,-785.4780243073578,8692624415.659975,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,306,28000,28000,on_policy,analysis-on_policy-306-28000,False,155,128,3,384,155,52,1e-10,1.525808438940707,0.9508270098922064,1.1515214844760502e-10,2,1.9382254828022758,2.149983112117544,-802.6724272951253,8257136516.431032,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,306,40000,40000,on_policy,analysis-on_policy-306-40000,False,155,128,3,384,155,49,1e-10,1.5257246256901302,0.955924850238646,1.374368004900348e-10,2,1.925468694863303,2.1245558513120266,-745.4344903914039,6955377648.710308,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,306,52000,52000,on_policy,analysis-on_policy-306-52000,False,155,128,3,384,155,50,1e-10,1.5269431777766471,0.9552794767462252,1.0517015005460789e-10,2,1.9274190771380488,2.1269858153351526,-763.8222598020241,9083180695.76027,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,306,64000,64000,on_policy,analysis-on_policy-306-64000,False,155,128,3,384,155,53,1e-10,1.5208062681565315,0.9465228757228537,1.1397820258291108e-10,2,1.9409941215279087,2.159254325285649,-810.6627097132707,8304420093.257088,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,306,76000,76000,on_policy,analysis-on_policy-306-76000,False,155,128,3,384,155,54,1e-10,1.5185853122763562,0.9457635910918695,1.1497833803048569e-10,2,1.941157961080014,2.1593276926789735,-832.7540368137844,8225580637.990323,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,306,88000,88000,on_policy,analysis-on_policy-306-88000,False,155,128,3,384,155,49,1e-10,1.5128136548372715,0.9459168727500763,1.5649616042510294e-10,2,1.924175353841296,2.1113492146978614,-754.0333507810615,6044345562.093072,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,306,100000,100000,on_policy,analysis-on_policy-306-100000,False,155,128,3,384,155,52,1e-10,1.5145004511055649,0.9457099300129328,1.0318739687392021e-10,2,1.9324140565827324,2.1387570014122548,-792.2183832287486,9164975168.12495,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,306,112000,112000,on_policy,analysis-on_policy-306-112000,False,155,128,3,384,155,50,1e-10,1.5096905479934535,0.9422211064773135,1.3726248932682623e-10,2,1.9312154442717848,2.133866799718414,-756.4684919596707,6864374317.398951,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,306,122880,122880,on_policy,analysis-on_policy-306-122880,False,155,128,3,384,155,50,1e-10,1.5133653555224245,0.9450698570464113,1.1971194525995334e-10,2,1.931648039096495,2.1334765992634246,-769.063634041016,7894532621.570898,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,307,0,0,on_policy,analysis-on_policy-307-0,False,155,128,3,384,155,57,1.021772254014442e-10,1.717938894572242,1.021772254014442,1.1475226661232093e-10,2,1.991162944708742,2.176065480805972,-881.0991014656621,8904157487.942244,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,307,16000,16000,on_policy,analysis-on_policy-307-16000,False,155,128,3,384,155,60,1.0230158571256618e-10,1.7261692424906119,1.0230158571256618,1.0702992714241908e-10,2,2.0015241983063503,2.1976660515802173,-934.5054647545827,9558222493.830053,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,307,28000,28000,on_policy,analysis-on_policy-307-28000,False,155,128,3,384,155,60,1.0192593667780412e-10,1.723432782552408,1.0192593667780412,1.2366679597793166e-10,2,2.00939182332155,2.2189435108397495,-923.7101535982922,8241980870.596244,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,307,40000,40000,on_policy,analysis-on_policy-307-40000,False,155,128,3,384,155,58,1.026828203847286e-10,1.724466584767768,1.026828203847286,1.3076941030797763e-10,2,1.9856197467568382,2.1646305693888186,-895.871337875179,7852204895.846685,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,307,52000,52000,on_policy,analysis-on_policy-307-52000,False,155,128,3,384,155,53,1.0293116615427333e-10,1.7216755561980257,1.0293116615427333,1.1656562252797257e-10,2,1.9716094391340075,2.1305369827872838,-811.5051711342065,8830319258.971287,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,307,64000,64000,on_policy,analysis-on_policy-307-64000,False,155,128,3,384,155,61,1.0237969917170138e-10,1.7425794759958455,1.0237969917170138,1.0913771442959775e-10,2,2.0347683946133572,2.267142427265532,-938.5146440316387,9380780943.304817,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,307,76000,76000,on_policy,analysis-on_policy-307-76000,False,155,128,3,384,155,55,1.0372252927906469e-10,1.7507216598926545,1.037225292790647,1.1520012556230521e-10,2,2.004656665930554,2.200607615480864,-841.3040101679699,9003681964.128334,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,307,88000,88000,on_policy,analysis-on_policy-307-88000,False,155,128,3,384,155,59,1.0208293769656354e-10,1.7338899254443085,1.0208293769656354,1.0404006144717746e-10,2,2.0183025434374224,2.2285526173639036,-915.7953306450015,9811887486.090387,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,307,100000,100000,on_policy,analysis-on_policy-307-100000,False,155,128,3,384,155,55,1.0400150912674675e-10,1.7432625665842592,1.0400150912674675,1.1646935496939707e-10,2,1.980527843055865,2.151596349562259,-850.1367836183164,8929517052.28158,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,307,112000,112000,on_policy,analysis-on_policy-307-112000,False,155,128,3,384,155,57,1.036644026743373e-10,1.741942469916105,1.036644026743373,1.2951525586288738e-10,2,1.9864631142232128,2.165287105729279,-867.058384064442,8004030257.569243,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,307,122880,122880,on_policy,analysis-on_policy-307-122880,False,155,128,3,384,155,54,1.0372873337053115e-10,1.7373925066805518,1.0372873337053115,1.0786770831380639e-10,2,1.9733931229212445,2.1328644816974047,-826.9859094057856,9616291566.032513,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,308,0,0,on_policy,analysis-on_policy-308-0,False,155,128,3,384,155,57,1e-10,1.2267896670904443,0.7681180782189106,1.0775021461455563e-10,2,1.9446231021229476,2.186416884847539,-884.3224153826721,7128691863.553356,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,308,16000,16000,on_policy,analysis-on_policy-308-16000,False,155,128,3,384,155,55,1e-10,1.2287907066671728,0.7688711151670545,1.0723976623720694e-10,2,1.9463868764143888,2.188249028102959,-846.9498515857833,7169645572.206534,float64,False,parameter_fisher
