Update 0117/1200 | return 27.9121 | logdet -241.09 | lambda_min 4.235e-08 | 10.5s
Update 0118/1200 | return 28.0887 | logdet -253.03 | lambda_min 4.255e-08 | 10.2s
Update 0119/1200 | return 27.9925 | logdet -243.92 | lambda_min 8.009e-08 | 10.2s
Update 0120/1200 | return 28.0355 | logdet -243.51 | lambda_min 5.374e-08 | 10.2s
Update 0121/1200 | return 27.4491 | logdet -245.51 | lambda_min 3.908e-08 | 10.1s
Update 0122/1200 | return 28.2330 | logdet -242.00 | lambda_min 6.133e-08 | 10.5s
Update 0123/1200 | return 27.9626 | logdet -236.45 | lambda_min 2.778e-08 | 10.4s
Update 0124/1200 | return 27.9992 | logdet -241.83 | lambda_min 4.209e-08 | 10.3s
Update 0125/1200 | return 27.6771 | logdet -236.19 | lambda_min 6.043e-08 | 10.6s
Update 0126/1200 | return 27.6279 | logdet -242.62 | lambda_min 3.424e-08 | 10.5s
Update 0127/1200 | return 27.4564 | logdet -243.37 | lambda_min 4.287e-08 | 10.2s
Update 0128/1200 | return 28.1156 | logdet -238.23 | lambda_min 8.501e-08 | 9.9s
Update 0129/1200 | return 28.1736 | logdet -240.55 | lambda_min 6.096e-08 | 9.6s
Update 0130/1200 | return 27.7254 | logdet -241.78 | lambda_min 3.599e-08 | 9.3s
Update 0131/1200 | return 27.9020 | logdet -242.35 | lambda_min 7.257e-08 | 10.1s
Update 0132/1200 | return 27.9479 | logdet -237.39 | lambda_min 5.218e-08 | 10.1s
Update 0133/1200 | return 28.1550 | logdet -244.99 | lambda_min 1.059e-07 | 10.3s
Update 0134/1200 | return 27.9219 | logdet -238.91 | lambda_min 6.670e-08 | 10.3s
Update 0135/1200 | return 27.4090 | logdet -240.25 | lambda_min 4.017e-08 | 10.3s
Update 0136/1200 | return 27.5718 | logdet -235.65 | lambda_min 5.475e-08 | 10.8s
Update 0137/1200 | return 27.9712 | logdet -240.53 | lambda_min 4.271e-08 | 10.3s
Update 0138/1200 | return 28.0530 | logdet -247.41 | lambda_min 5.908e-08 | 10.1s
Update 0139/1200 | return 28.1383 | logdet -239.42 | lambda_min 9.173e-08 | 10.2s
Update 0140/1200 | return 28.4865 | logdet -238.59 | lambda_min 7.569e-08 | 10.1s
