seed,run_label,update,true_environment_steps,stochastic_return,deterministic_return,deterministic_episode_length,entropy,mean_min_probability,global_min_probability,reward_gradient_norm,barrier_gradient_norm,regularizer_gradient_norm,beta,on_policy_numerical_rank,on_policy_trace,on_policy_smallest_positive_eigenvalue,on_policy_largest_eigenvalue,on_policy_entropy_effective_rank,on_policy_log_pseudodeterminant,on_policy_positive_spectrum_condition_number,fixed_reference_numerical_rank,fixed_reference_trace,fixed_reference_smallest_positive_eigenvalue,fixed_reference_largest_eigenvalue,fixed_reference_entropy_effective_rank,fixed_reference_log_pseudodeterminant,fixed_reference_positive_spectrum_condition_number
512,logbarrier_fixed,800,1991303,-241.21875,-90.125,91.125,1.0479068756103516,0.23763293027877808,0.12821318209171295,217.03152465820312,0.248748317360878,135.91941833496094,546.4135158976487,69,2.003909880074887,1.2936549862288105e-10,1.1463976305807062,2.348387203108452,-1053.1891728292276,8861695295.765213,146,2.318459873348443,3.493772978965501e-10,0.8413771893852509,5.617856735639949,-1710.4577296378693,2408219407.6456017
512,logbarrier_fixed,850,2086366,-242.125,-83.6875,84.6875,1.0436031818389893,0.22997546195983887,0.1179429292678833,170.811279296875,0.24931257963180542,136.22775268554688,546.4135158976487,66,2.0201534805926356,1.1993110279442622e-10,1.1596414147316507,2.2580796085850743,-1017.8760913852552,9669229980.477966,146,2.3614741434331754,2.891497529398395e-10,0.8448327733891452,5.658480049686917,-1702.8177192314583,2921782795.2456217
512,logbarrier_fixed,900,2178900,-234.1875,-130.9375,131.875,1.0408084392547607,0.22858521342277527,0.11707030236721039,210.9729461669922,0.24667736887931824,134.78787231445312,546.4135158976487,59,2.0692941315660964,1.5026350116253955e-10,1.1961504805661607,2.2440648175920277,-896.989887173885,7960352789.013538,137,2.412957919926413,1.6651771172312164e-09,0.8941341665969503,5.609540066146325,-1516.191567548786,536960397.3922471
512,logbarrier_fixed,950,2274506,-219.1875,-78.34375,79.34375,1.0327309370040894,0.22358839213848114,0.09739641100168228,290.0993347167969,0.2512035071849823,137.26100158691406,546.4135158976487,66,1.9695375826876496,1.322229383463337e-10,1.1564008280537394,2.3053079262996197,-1002.3743466908242,8745841247.490355,146,2.3199137955713818,5.443820464479794e-10,0.8073262237799436,5.941531099618415,-1681.4501224236917,1483014050.6058934
512,logbarrier_fixed,1000,2370570,-247.15625,-84.3125,85.3125,1.052515983581543,0.24013133347034454,0.11970261484384537,443.3918762207031,0.20297187566757202,110.90658569335938,546.4135158976487,62,1.8571322722599208,1.0710143334607526e-10,1.0564417718916133,2.226790954946354,-952.6324685187882,9863936820.321991,146,2.2323383322990598,8.996481405995235e-10,0.7827088348730339,5.8110289068342516,-1683.5243913649415,870016620.4438976
512,logbarrier_handoff_h25,0,0,-499.625,-287.21875,288.09375,1.0678863525390625,0.22138117253780365,0.20337799191474915,238.6439208984375,0.2116399109363556,115.64289093017578,546.4135158976487,53,1.8594477214571126,1.382378810653184e-10,1.1195170035636852,2.1007851675486573,-813.7353621805909,8098482087.082232,146,2.0196117167908376,2.6016212395233586e-10,0.9213897022778813,4.334477845270441,-1854.2961627497275,3541598170.711001
512,logbarrier_handoff_h25,50,199833,-500.0,-500.0,500.0,1.0935214757919312,0.29484057426452637,0.26729071140289307,257.99298095703125,0.085695281624794,46.82506561279297,546.4135158976487,57,1.9947910127065265,1.4052041490328856e-10,1.0514512772590594,2.1506765541146327,-880.6479154425358,7482551755.790842,146,2.150894332905487,8.156117102860469e-10,0.871090554812467,4.5240742383762305,-1818.394252075056,1068021147.596033
512,logbarrier_handoff_h25,100,399773,-500.0,-500.0,500.0,1.0973999500274658,0.3189985454082489,0.25875210762023926,350.77655029296875,0.028876526281237602,15.778520584106445,546.4135158976487,54,2.1098635799472207,1.4616993003666723e-10,1.051917529319321,2.1357586393703003,-837.8399835190482,7196538501.834433,146,2.230242877172869,2.8488460478546176e-10,0.8713110412414432,4.50575557762293,-1817.0106430415826,3058470084.3964596
512,logbarrier_handoff_h25,150,599558,-498.03125,-500.0,500.0,1.0944838523864746,0.2993015646934509,0.24882780015468597,323.5434265136719,0.07362092286348343,40.22747039794922,546.4135158976487,53,2.2047487994770725,1.351176694309118e-10,1.181143292657436,2.0951900474142127,-822.9840043731043,8741590183.076513,146,2.3071025604491244,3.9067362596771774e-10,0.9482392917906871,4.445388653499004,-1806.2328625177431,2427190444.3046336
512,logbarrier_handoff_h25,200,790975,-454.71875,-212.75,213.6875,1.0867265462875366,0.27469462156295776,0.18144948780536652,437.6055603027344,0.09221821278333664,50.389278411865234,546.4135158976487,59,2.0946470644341724,1.1132607030287869e-10,1.0894956544990855,2.1843461859274647,-916.6758885098476,9786527554.012774,146,2.2174342473109805,2.932057510184275e-10,0.8643896473897724,4.69592762717657,-1798.880311617681,2948065119.416593
