active_beta,active_fisher_beta,environment_steps,fisher_environment_steps,fisher_logdet_condition_number,fisher_logdet_effective_rank,fisher_logdet_frobenius_norm,fisher_logdet_gradient_trajectory_count,fisher_logdet_logdet_margin,fisher_logdet_maximum_eigenvalue,fisher_logdet_minimum_eigenvalue,fisher_logdet_mu,fisher_logdet_parameter_count,fisher_logdet_rank,fisher_logdet_score_backend,fisher_logdet_separate_fisher_batch,fisher_logdet_surrogate_value,fisher_logdet_trace,fisher_logdet_trajectory_count,fisher_policy_update,gradient_environment_steps,mean_batch_return,mean_episode_length,method,reward_loss,run_id,seed,total_loss,update
0.0,4.336134880313252e-07,112000000,48000,12237483114.198488,3.8574313612120887,8926.620229563216,128,-160.04564229117187,7861.173845704695,6.423848574372128e-07,0.0,68,68,vmap,True,-226467.77367981832,14690.233522587208,96,999,64000,35.08243171297775,500.0,fisher_logdet,13.532451629638672,seed_24__fisher_logdet,24,13.630651110910666,1000
0.0,4.336134880313252e-07,112112000,48000,12932979442.647339,3.354625428489001,11407.15856387433,128,-166.30973912356225,10416.63065262941,8.054316253128722e-07,0.0,68,68,vmap,True,-254328.2922935756,17517.24348327374,96,1000,64000,36.641533664566374,500.0,fisher_logdet,-2.5438499450683594,seed_24__fisher_logdet,24,-2.4335697671418917,1001
0.0,4.336134880313252e-07,112224000,48000,10463356103.417492,3.473971291359202,11646.39266663794,128,-152.0156043835685,9682.42246880009,9.253648994740477e-07,0.0,68,68,vmap,True,-197437.32916073297,18712.4366485979,96,1001,64000,36.222244782373025,500.0,fisher_logdet,-6.953180313110352,seed_24__fisher_logdet,24,-6.867568824145377,1002
0.0,4.336134880313252e-07,112336000,48000,13257591347.736023,3.402887702889719,11466.324217545873,128,-166.69716105452585,10536.48145070755,7.947508091284506e-07,0.0,68,68,vmap,True,-239056.7425620911,17670.432671595197,96,1002,64000,35.71573025946434,500.0,fisher_logdet,-4.293041229248047,seed_24__fisher_logdet,24,-4.1893830012682916,1003
0.0,4.336134880313252e-07,112448000,48000,12329995256.015858,3.5280792498316473,10299.43062407613,128,-168.51429981255862,9022.553265081631,7.317564263197497e-07,0.0,68,68,vmap,True,-251426.9726696044,16473.582655626735,96,1003,64000,35.583123137577275,500.0,fisher_logdet,-0.0581207275390625,seed_24__fisher_logdet,24,0.05090139906536134,1004
0.0,4.336134880313252e-07,112560000,48000,28054880753.399956,3.612710339036238,9924.227517812931,128,-167.40714783241333,8980.516257235508,3.2010530845500614e-07,0.0,68,68,vmap,True,-251373.4298068381,15709.520570182056,96,1004,64000,35.69062728596302,500.0,fisher_logdet,-3.67388916015625,seed_24__fisher_logdet,24,-3.5648902504593094,1005
0.0,4.336134880313252e-07,112672000,48000,8621080580.602255,3.911299281854274,9087.109545948642,128,-158.53002720517384,7389.34842504088,8.571255489325993e-07,0.0,68,68,vmap,True,-256644.97605213674,15363.892991522172,96,1005,64000,35.592333904680245,500.0,fisher_logdet,-16.973159790039062,seed_24__fisher_logdet,24,-16.86187506678738,1006
0.0,4.336134880313252e-07,112784000,48000,9898299815.086447,3.9744741941184425,8426.723113246602,128,-165.0637503088489,6576.641581139207,6.644213353807944e-07,0.0,68,68,vmap,True,-275261.96461367764,14427.65220266729,96,1006,64000,35.995349429965344,500.0,fisher_logdet,-21.14971160888672,seed_24__fisher_logdet,24,-21.030354308288228,1007
0.0,4.336134880313252e-07,112896000,48000,16201497974.434351,3.5324409930390797,10675.169556430825,128,-162.7862469323067,8861.139644593957,5.469333550870829e-07,0.0,68,68,vmap,True,-283639.8391268413,17258.44495255692,96,1007,64000,34.621718615955444,500.0,fisher_logdet,9.235748291015625,seed_24__fisher_logdet,24,9.358738351004058,1008
0.0,4.336134880313252e-07,113008000,48000,6127732844.520099,3.7518867770810336,10025.20706356087,128,-154.63822829628123,8569.781129430146,1.3985239479057772e-06,0.0,68,68,vmap,True,-192517.86871868066,16486.072087040102,96,1008,64000,36.404300559489315,500.0,fisher_logdet,11.456253051757812,seed_24__fisher_logdet,24,11.539731396321276,1009
